energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.31149731,0.00007140,0.12958363,0.00396295,0.04851297,0.11505508,0.08097177
-5.99399700,0.29342213,0.00006646,0.12271652,0.00398493,0.04497996,0.10797844,0.07672306
-5.98799400,0.27630204,0.00006216,0.11621236,0.00400862,0.04165629,0.10116508,0.07268232
-5.98199100,0.26038057,0.00005868,0.11016138,0.00403316,0.03859693,0.09468992,0.06890252
-5.97598799,0.24586277,0.00005626,0.10463867,0.00405745,0.03585019,0.08861238,0.06542741
-5.96998499,0.23291606,0.00005512,0.09970488,0.00408026,0.03345748,0.08297693,0.06229215
-5.96398199,0.22167248,0.00005557,0.09540752,0.00410031,0.03145319,0.07781423,0.05952425
-5.95797899,0.21223219,0.00005790,0.09178271,0.00411642,0.02986484,0.07314278,0.05714494
-5.95197599,0.20466762,0.00006249,0.08885728,0.00412761,0.02871323,0.06897093,0.05517064
-5.94597299,0.19902811,0.00006976,0.08665100,0.00413325,0.02801275,0.06529912,0.05361463
-5.93996998,0.19534459,0.00008019,0.08517888,0.00413318,0.02777167,0.06212221,0.05248866
-5.93396698,0.19363400,0.00009433,0.08445321,0.00412778,0.02799239,0.05943174,0.05180451
-5.92796398,0.19390315,0.00011281,0.08448543,0.00411808,0.02867172,0.05721803,0.05157532
-5.92196098,0.19615188,0.00013632,0.08528762,0.00410581,0.02980105,0.05547202,0.05181670
-5.91595798,0.20037532,0.00016564,0.08687350,0.00409343,0.03136648,0.05418673,0.05254745
-5.90995498,0.20656530,0.00020161,0.08925904,0.00408412,0.03334898,0.05335834,0.05378999
-5.90395198,0.21471084,0.00024513,0.09246251,0.00408177,0.03572440,0.05298686,0.05557035
-5.89794897,0.22479776,0.00029715,0.09650417,0.00409088,0.03846363,0.05307638,0.05791788
-5.89194597,0.23680776,0.00035863,0.10140550,0.00411653,0.04153273,0.05363486,0.06086442
-5.88594297,0.25071696,0.00043055,0.10718814,0.00416419,0.04489314,0.05467363,0.06444339
-5.87993997,0.26649409,0.00051385,0.11387257,0.00423964,0.04850205,0.05620657,0.06868838
-5.87393697,0.28409877,0.00060943,0.12147666,0.00434879,0.05231288,0.05824903,0.07363169
-5.86793397,0.30347983,0.00071805,0.13001422,0.00449752,0.05627596,0.06081659,0.07930269
-5.86193097,0.32457403,0.00084034,0.13949356,0.00469151,0.06033930,0.06392378,0.08572608
-5.85592796,0.34730527,0.00097674,0.14991624,0.00493607,0.06444967,0.06758276,0.09292028
-5.84992496,0.37158444,0.00112746,0.16127607,0.00523597,0.06855366,0.07180208,0.10089582
-5.84392196,0.39730994,0.00129242,0.17355838,0.00559532,0.07259902,0.07658560,0.10965403
-5.83791896,0.42436896,0.00147121,0.18673969,0.00601742,0.07653595,0.08193157,0.11918590
-5.83191596,0.45263948,0.00166309,0.20078773,0.00650466,0.08031848,0.08783200,0.12947132
-5.82591296,0.48199277,0.00186694,0.21566188,0.00705846,0.08390584,0.09427228,0.14047872
-5.81990995,0.51229655,0.00208126,0.23131390,0.00767921,0.08726362,0.10123104,0.15216502
-5.81390695,0.54341830,0.00230415,0.24768910,0.00836627,0.09036495,0.10868043,0.16447614
-5.80790395,0.57522889,0.00253336,0.26472763,0.00911796,0.09319128,0.11658653,0.17734773
-5.80190095,0.60760589,0.00276629,0.28236606,0.00993166,0.09573303,0.12491007,0.19070650
-5.79589795,0.64043672,0.00300008,0.30053886,0.01080382,0.09798985,0.13360730,0.20447165
-5.78989495,0.67362114,0.00323162,0.31917996,0.01173006,0.09997060,0.14263104,0.21855667
-5.78389195,0.70707287,0.00345764,0.33822402,0.01270531,0.10169295,0.15193166,0.23287121
-5.77788894,0.74072030,0.00367484,0.35760740,0.01372383,0.10318265,0.16145817,0.24732303
-5.77188594,0.77450587,0.00387991,0.37726867,0.01477940,0.10447247,0.17115908,0.26181981
-5.76588294,0.80838425,0.00406967,0.39714864,0.01586532,0.10560083,0.18098313,0.27627074
-5.75987994,0.84231910,0.00424116,0.41718971,0.01697455,0.10661021,0.19087974,0.29058786
-5.75387694,0.87627851,0.00439173,0.43733461,0.01809970,0.10754531,0.20079922,0.30468694
-5.74787394,0.91022934,0.00451910,0.45752460,0.01923311,0.10845120,0.21069261,0.31848792
-5.74187094,0.94413045,0.00462145,0.47769702,0.02036683,0.10937126,0.22051122,0.33191490
