energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.50057498,1.67791475,1.79794877,0.02136422,0.75433321,0.83807593,0.00000000
-5.99399700,3.49009193,1.66146004,1.79508090,0.02187221,0.73471299,0.84185113,0.00000000
-5.98799400,3.47506848,1.64413104,1.78982508,0.02236082,0.71417857,0.84466877,0.00000000
-5.98199100,3.45597923,1.62620874,1.78241069,0.02283079,0.69295655,0.84663639,0.00000000
-5.97598799,3.43327113,1.60793351,1.77305393,0.02328353,0.67127003,0.84785587,0.00000000
-5.96998499,3.40734257,1.58949446,1.76194776,0.02372079,0.64933209,0.84841689,0.00000000
-5.96398199,3.37852740,1.57102179,1.74925454,0.02414440,0.62734000,0.84839149,0.00000000
-5.95797899,3.34708486,1.55258241,1.73510181,0.02455596,0.60547066,0.84782992,0.00000000
-5.95197599,3.31319598,1.53417933,1.71958130,0.02495645,0.58387730,0.84675808,0.00000000
-5.94597299,3.27696651,1.51575485,1.70275135,0.02534601,0.56268773,0.84517671,0.00000000
-5.93996998,3.23843620,1.49719733,1.68464247,0.02572360,0.54200392,0.84306241,0.00000000
-5.93396698,3.19759364,1.47835134,1.66526541,0.02608690,0.52190321,0.84037024,0.00000000
-5.92796398,3.15439548,1.45903054,1.64462143,0.02643211,0.50244062,0.83703803,0.00000000
-5.92196098,3.10878881,1.43903266,1.62271365,0.02675404,0.48365231,0.83299177,0.00000000
-5.91595798,3.06073486,1.41815558,1.59955884,0.02704613,0.46555979,0.82815210,0.00000000
-5.90995498,3.01023256,1.39621386,1.57519869,0.02730070,0.44817451,0.82244113,0.00000000
-5.90395198,2.95734005,1.37305440,1.54970968,0.02750921,0.43150269,0.81578954,0.00000000
-5.89794897,2.90219283,1.34857071,1.52321075,0.02766266,0.41554974,0.80814323,0.00000000
-5.89194597,2.84501698,1.32271470,1.49586831,0.02775201,0.40032428,0.79946931,0.00000000
-5.88594297,2.78613672,1.29550537,1.46789791,0.02776865,0.38584129,0.78976095,0.00000000
