energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,1.72130895,0.00429470,0.27877727,0.01672906,0.88705319,0.52063302,0.25946251,0.62582923,0.28681736
-5.99399700,1.68052988,0.00406142,0.26974909,0.01696651,0.87060750,0.51324407,0.25048319,0.61961803,0.27839229
-5.98799400,1.64946013,0.00385459,0.26301698,0.01712134,0.85866066,0.50931075,0.24326963,0.61742603,0.27134375
-5.98199100,1.62729628,0.00367170,0.25843159,0.01718729,0.85080209,0.50860156,0.23770222,0.61887996,0.26555320
-5.97598799,1.61313624,0.00351001,0.25581518,0.01716021,0.84657838,0.51084236,0.23363891,0.62354212,0.26089534
-5.96998499,1.60600543,0.00336670,0.25496631,0.01703827,0.84550541,0.51572138,0.23092038,0.63092110,0.25724225
-5.96398199,1.60488185,0.00323896,0.25566461,0.01682196,0.84707997,0.52289472,0.22937502,0.64048344,0.25446706
-5.95797899,1.60872009,0.00312407,0.25767547,0.01651416,0.85079086,0.53199232,0.22882397,0.65166625,0.25244698
-5.95197599,1.61647392,0.00301951,0.26075488,0.01611999,0.85612944,0.54262459,0.22908585,0.66389041,0.25106577
-5.94597299,1.62711777,0.00292296,0.26465419,0.01564672,0.86259983,0.55438966,0.22998129,0.67657455,0.25021565
-5.93996998,1.63966686,0.00283236,0.26912493,0.01510347,0.86972864,0.56688126,0.23133724,0.68914924,0.24979876
-5.93396698,1.65319639,0.00274595,0.27392356,0.01450095,0.87707449,0.57969719,0.23299081,0.70107142,0.24972819
-5.92796398,1.66685944,0.00266226,0.27881628,0.01385119,0.88423706,0.59244812,0.23479289,0.71183856,0.24992871
-5.92196098,1.67990381,0.00258014,0.28358368,0.01316715,0.89086584,0.60476670,0.23661125,0.72100226,0.25033723
-5.91595798,1.69168740,0.00249871,0.28802529,0.01246238,0.89666830,0.61631653,0.23833328,0.72818088,0.25090315
-5.90995498,1.70169207,0.00241739,0.29196390,0.01175075,0.90141740,0.62680076,0.23986818,0.73307077,0.25158850
-5.90395198,1.70953550,0.00233587,0.29524953,0.01104606,0.90495808,0.63597003,0.24114869,0.73545566,0.25236810
-5.89794897,1.71498062,0.00225407,0.29776297,0.01036184,0.90721261,0.64362927,0.24213214,0.73521382,0.25322955
-5.89194597,1.71794222,0.00217218,0.29941868,0.00971104,0.90818431,0.64964316,0.24280105,0.73232270,0.25417316
-5.88594297,1.71849017,0.00209055,0.30016705,0.00910592,0.90795953,0.65393989,0.24316288,0.72686066,0.25521174
-5.87993997,1.71684885,0.00200976,0.29999579,0.00855779,0.90670740,0.65651305,0.24324929,0.71900581,0.25637024
-5.87393697,1.71339237,0.00193051,0.29893031,0.00807698,0.90467730,0.65742132,0.24311461,0.70903169,0.25768509
-5.86793397,1.70863532,0.00185366,0.29703319,0.00767272,0.90219379,0.65678613,0.24283366,0.69729991,0.25920335
-5.86193097,1.70321892,0.00178017,0.29440248,0.00735308,0.89964882,0.65478706,0.24249897,0.68424998,0.26098141
-5.85592796,1.69789257,0.00171109,0.29116891,0.00712491,0.89749144,0.65165528,0.24221734,0.67038643,0.26308338
-5.84992496,1.69349108,0.00164750,0.28749200,0.00699386,0.89621492,0.64766500,0.24210591,0.65626371,0.26557907
