energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,5.99028144,2.05608323,3.31450023,0.00335731,1.84609083,0.00612309,1.01872589
-5.99399700,5.80150584,1.93031964,3.24284160,0.00306672,1.81063542,0.00614232,0.96889140
-5.98799400,5.62335046,1.81070875,3.17593752,0.00281093,1.77786520,0.00623250,0.92096797
-5.98199100,5.45745374,1.69833436,3.11439271,0.00259226,1.74802191,0.00639398,0.87539906
-5.97598799,5.30500763,1.59405443,3.05859423,0.00241276,1.72122321,0.00662579,0.83255044
-5.96998499,5.16675282,1.49849555,3.00871121,0.00227425,1.69746338,0.00692569,0.79270931
-5.96398199,5.04298751,1.41205480,2.96470093,0.00217840,1.67661779,0.00729007,0.75608576
-5.95797899,4.93358887,1.33490812,2.92632090,0.00212675,1.65845106,0.00771399,0.72281647
-5.95197599,4.83804533,1.26702455,2.89314595,0.00212077,1.64262818,0.00819123,0.69297010
-5.94597299,4.75549824,1.20818524,2.86458991,0.00216190,1.62872832,0.00871433,0.66655416
-5.93996998,4.68479082,1.15800635,2.83993062,0.00225158,1.61626065,0.00927470,0.64352295
-5.93396698,4.62452268,1.11596461,2.81833777,0.00239124,1.60468174,0.00986277,0.62378615
-5.92796398,4.57310796,1.08142460,2.79890247,0.00258230,1.59341379,0.01046814,0.60721779
-5.92196098,4.52883535,1.05366690,2.78066794,0.00282612,1.58186347,0.01107977,0.59366514
-5.91595798,4.48992827,1.03191604,2.76266032,0.00312397,1.56944059,0.01168624,0.58295733
-5.90995498,4.45460371,1.01536760,2.74391915,0.00347694,1.55557631,0.01227594,0.57491340
-5.90395198,4.42112835,1.00321381,2.72352657,0.00388585,1.53974046,0.01283739,0.56934953
-5.89794897,4.38787071,0.99466712,2.70063479,0.00435113,1.52145753,0.01335950,0.56608530
-5.89194597,4.35334810,0.98898129,2.67449117,0.00487273,1.50032105,0.01383182,0.56494885
-5.88594297,4.31626766,0.98546964,2.64446032,0.00544997,1.47600612,0.01424487,0.56578084
-5.87993997,4.27556047,0.98352038,2.61004282,0.00608141,1.44827969,0.01459034,0.56843718
-5.87393697,4.23040816,0.98260868,2.57089001,0.00676475,1.41700848,0.01486136,0.57279064
-5.86793397,4.18026162,0.98230554,2.52681461,0.00749670,1.38216432,0.01505271,0.57873118
-5.86193097,4.12485139,0.98228338,2.47779674,0.00827293,1.34382675,0.01516093,0.58616543
-5.85592796,4.06418983,0.98231834,2.42398538,0.00908799,1.30218284,0.01518449,0.59501521
-5.84992496,3.99856512,0.98228954,2.36569505,0.00993528,1.25752425,0.01512383,0.60521538
-5.84392196,3.92852748,0.98217521,2.30339802,0.01080712,1.21024144,0.01498136,0.61671127
-5.83791896,3.85486833,0.98204612,2.23771209,0.01169481,1.16081533,0.01476137,0.62945582
-5.83191596,3.77859305,0.98205639,2.16938456,0.01258874,1.10980654,0.01446997,0.64340673
-5.82591296,3.70088847,0.98243203,2.09927282,0.01347857,1.05784250,0.01411490,0.65852380
-5.81990995,3.62308614,0.98345758,2.02832219,0.01435349,1.00560281,0.01370527,0.67476651
-5.81390695,3.54662272,0.98546116,1.95754181,0.01520244,0.95380327,0.01325136,0.69209216
-5.80790395,3.47299852,0.98879851,1.88797934,0.01601443,0.90317908,0.01276429,0.71045444
-5.80190095,3.40373574,0.99383629,1.82069525,0.01677886,0.85446764,0.01225567,0.72980257
-5.79589795,3.34033724,1.00093523,1.75673739,0.01748585,0.80839163,0.01173734,0.75008083
-5.78989495,3.28424710,1.01043365,1.69711676,0.01812657,0.76564262,0.01122096,0.77122840
-5.78389195,3.23681380,1.02263172,1.64278483,0.01869349,0.72686593,0.01071773,0.79317944
-5.77788894,3.19925665,1.03777711,1.59461310,0.01918069,0.69264705,0.01023807,0.81586308
-5.77188594,3.17263617,1.05605226,1.55337518,0.01958402,0.66349997,0.00979136,0.83920317
-5.76588294,3.15782873,1.07756392,1.51973179,0.01990124,0.63985771,0.00938568,0.86311774
-5.75987994,3.15550575,1.10233518,1.49421872,0.02013209,0.62206527,0.00902765,0.88751786
-5.75387694,3.16611771,1.13030025,1.47723783,0.02027823,0.61037508,0.00872228,0.91230598
-5.74787394,3.18988291,1.16130239,1.46905115,0.02034314,0.60494490,0.00847289,0.93737371
