energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-1.44972486,4.50699664,0.04325612,0.90541554,1.23798716,0.00000000,2.73851096,0.00000000,1.67363269,0.01145674
-1.44372186,4.62412561,0.04534990,0.91814252,1.26168732,0.00000000,2.81117970,0.00000000,1.67696366,0.01162501
-1.43771886,4.74187019,0.04758172,0.93341077,1.28376695,0.00000000,2.87914294,0.00000000,1.68421852,0.01181310
-1.43171586,4.85733702,0.04992245,0.95059238,1.30358072,0.00000000,2.94094906,0.00000000,1.69459774,0.01201188
-1.42571286,4.96776772,0.05234378,0.96905880,1.32055792,0.00000000,2.99529819,0.00000000,1.70730095,0.01221257
-1.41970985,5.07063063,0.05481916,0.98820031,1.33422196,0.00000000,3.04109164,0.00000000,1.72155425,0.01240700
-1.41370685,5.16370608,0.05732479,1.00744433,1.34420627,0.00000000,3.07747650,0.00000000,1.73663572,0.01258783
-1.40770385,5.24516178,0.05984044,1.02627205,1.35026591,0.00000000,3.10388322,0.00000000,1.75189846,0.01274873
-1.40170085,5.31361505,0.06235029,1.04423272,1.35228436,0.00000000,3.12005442,0.00000000,1.76679020,0.01288460
-1.39569785,5.36817896,0.06484356,1.06095511,1.35027517,0.00000000,3.12606321,0.00000000,1.78086887,0.01299163
-1.38969485,5.40849008,0.06731501,1.07615562,1.34437856,0.00000000,3.12231973,0.00000000,1.79381338,0.01306743
-1.38369185,5.43471597,0.06976510,1.08964275,1.33485280,0.00000000,3.10956531,0.00000000,1.80542923,0.01311100
-1.37768884,5.44754183,0.07220005,1.10131764,1.32206115,0.00000000,3.08885378,0.00000000,1.81564849,0.01312271
-1.37168584,5.44813619,0.07463152,1.11117072,1.30645461,0.00000000,3.06152040,0.00000000,1.82452428,0.01310426
-1.36568284,5.43809676,0.07707601,1.11927456,1.28855156,0.00000000,3.02913913,0.00000000,1.83221967,0.01305849
-1.35967984,5.41937834,0.07955403,1.12577327,1.26891498,0.00000000,2.99346979,0.00000000,1.83899159,0.01298922
-1.35367684,5.39420576,0.08208894,1.13086887,1.24812859,0.00000000,2.95639680,0.00000000,1.84517036,0.01290106
-1.34767384,5.36497524,0.08470562,1.13480534,1.22677271,0.00000000,2.91986190,0.00000000,1.85113562,0.01279915
-1.34167084,5.33414851,0.08742895,1.13785108,1.20540115,0.00000000,2.88579336,0.00000000,1.85728989,0.01268890
-1.33566783,5.30414399,0.09028212,1.14028065,1.18452011,0.00000000,2.85603440,0.00000000,1.86403078,0.01257575
-1.32966483,5.27722993,0.09328495,1.14235657,1.16456988,0.00000000,2.83227358,0.00000000,1.87172334,0.01246487
-1.32366183,5.25542387,0.09645222,1.14431226,1.14591024,0.00000000,2.81597994,0.00000000,1.88067366,0.01236096
-1.31765883,5.24040280,0.09979205,1.14633668,1.12881000,0.00000000,2.80834543,0.00000000,1.89110511,0.01226801
-1.31165583,5.23342784,0.10330454,1.14856159,1.11344107,0.00000000,2.81023683,0.00000000,1.90313830,0.01218913
-1.30565283,5.23528643,0.10698057,1.15105188,1.09987710,0.00000000,2.82215917,0.00000000,1.91677573,0.01212640
-1.29964982,5.24625450,0.11080102,1.15379953,1.08809665,0.00000000,2.84423202,0.00000000,1.93189196,0.01208078
-1.29364682,5.26607995,0.11473627,1.15672123,1.07799042,0.00000000,2.87617969,0.00000000,1.94822970,0.01205208
