energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,4.24738498,0.02406257,0.29094708,0.65720517,2.47843128,0.00000000,1.21550308,0.80911017
-5.99399700,4.37632115,0.02484504,0.28742988,0.67667891,2.57587181,0.00000000,1.26279144,0.81183773
-5.98799400,4.50964715,0.02563974,0.28469328,0.69769041,2.67517345,0.00000000,1.31093217,0.81628709
-5.98199100,4.64575109,0.02643723,0.28270480,0.71999080,2.77524759,0.00000000,1.35922971,0.82231988
-5.97598799,4.78275058,0.02722657,0.28141102,0.74327453,2.87484824,0.00000000,1.40693211,0.82974018
-5.96998499,4.91854017,0.02799564,0.28074156,0.76718728,2.97259900,0.00000000,1.45325038,0.83830420
-5.96398199,5.05085011,0.02873147,0.28061358,0.79133570,3.06702692,0.00000000,1.49738019,0.84773207
-5.95797899,5.17731444,0.02942070,0.28093686,0.81529887,3.15660233,0.00000000,1.53852539,0.85772116
-5.95197599,5.29554571,0.03004998,0.28161896,0.83864092,3.23978289,0.00000000,1.57592228,0.86796035
-5.94597299,5.40321351,0.03060643,0.28257045,0.86092450,3.31506047,0.00000000,1.60886379,0.87814472
-5.93996998,5.49812348,0.03107812,0.28370975,0.88172442,3.38100877,0.00000000,1.63672264,0.88798982
-5.93396698,5.57829348,0.03145444,0.28496762,0.90064109,3.43632988,0.00000000,1.65897240,0.89724496
-5.92796398,5.64202373,0.03172651,0.28629078,0.91731317,3.47989769,0.00000000,1.67520560,0.90570495
-5.92196098,5.68795784,0.03188746,0.28764472,0.93142894,3.51079652,0.00000000,1.68514813,0.91321951
-5.91595798,5.71513209,0.03193270,0.28901548,0.94273599,3.52835311,0.00000000,1.68866920,0.91970023
-5.90995498,5.72301096,0.03186008,0.29041031,0.95104880,3.53216078,0.00000000,1.68578649,0.92512439
-5.90395198,5.71150716,0.03166995,0.29185723,0.95625395,3.52209471,0.00000000,1.67666617,0.92953575
-5.89794897,5.68098574,0.03136516,0.29340341,0.95831274,3.49831773,0.00000000,1.66161776,0.93304214
-5.89194597,5.63225179,0.03095094,0.29511264,0.95726113,3.46127643,0.00000000,1.64108412,0.93580993
-5.88594297,5.56652279,0.03043477,0.29706180,0.95320704,3.41168783,0.00000000,1.61562693,0.93805579
-5.87993997,5.48538670,0.02982607,0.29933673,0.94632512,3.35051727,0.00000000,1.58590825,0.94003605
-5.87393697,5.39074788,0.02913595,0.30202756,0.93684922,3.27894851,0.00000000,1.55266896,0.94203425
-5.86793397,5.28476328,0.02837685,0.30522375,0.92506283,3.19834743,0.00000000,1.51670506,0.94434744
-5.86193097,5.16977179,0.02756216,0.30900925,0.91128806,3.11022081,0.00000000,1.47884270,0.94727200
-5.85592796,5.04821981,0.02670584,0.31345775,0.89587348,3.01617205,0.00000000,1.43991298,0.95108957
-5.84992496,4.92258625,0.02582203,0.31862853,0.87918132,2.91785561,0.00000000,1.40072756,0.95605383
-5.84392196,4.79531006,0.02492474,0.32456292,0.86157477,2.81693203,0.00000000,1.36205596,0.96237882
-5.83791896,4.66872311,0.02402745,0.33128163,0.84340567,2.71502521,0.00000000,1.32460538,0.97022912
-5.83191596,4.54499102,0.02314290,0.33878301,0.82500321,2.61368362,0.00000000,1.28900373,0.97971266
-5.82591296,4.42606399,0.02228282,0.34704234,0.80666414,2.51434670,0.00000000,1.25578637,0.99087611
-5.81990995,4.31363906,0.02145778,0.35601216,0.78864473,2.41831755,0.00000000,1.22538691,1.00370328
