energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,0.01043518,0.00307832,0.00000454,0.00296366,0.00540422,0.00000000,0.00002095,0.00091877
-5.99399700,0.00805961,0.00237754,0.00000350,0.00228898,0.00417395,0.00000000,0.00001618,0.00070961
-5.98799400,0.00618013,0.00182311,0.00000269,0.00175520,0.00320059,0.00000000,0.00001241,0.00054413
-5.98199100,0.00470491,0.00138792,0.00000205,0.00133623,0.00243660,0.00000000,0.00000944,0.00041425
-5.97598799,0.00355611,0.00104903,0.00000155,0.00100996,0.00184166,0.00000000,0.00000714,0.00031310
-5.96998499,0.00266851,0.00078720,0.00000116,0.00075788,0.00138198,0.00000000,0.00000536,0.00023495
-5.96398199,0.00198808,0.00058647,0.00000086,0.00056463,0.00102959,0.00000000,0.00000399,0.00017504
-5.95797899,0.00147051,0.00043379,0.00000064,0.00041763,0.00076155,0.00000000,0.00000295,0.00012947
-5.95197599,0.00107987,0.00031856,0.00000047,0.00030669,0.00055925,0.00000000,0.00000217,0.00009508
-5.94597299,0.00078731,0.00023225,0.00000034,0.00022360,0.00040773,0.00000000,0.00000158,0.00006932
-5.93996998,0.00056989,0.00016811,0.00000025,0.00016185,0.00029514,0.00000000,0.00000114,0.00005018
-5.93396698,0.00040956,0.00012081,0.00000018,0.00011631,0.00021210,0.00000000,0.00000082,0.00003606
-5.92796398,0.00029222,0.00008620,0.00000013,0.00008299,0.00015133,0.00000000,0.00000059,0.00002574
-5.92196098,0.00020702,0.00006106,0.00000009,0.00005879,0.00010720,0.00000001,0.00000042,0.00001824
-5.91595798,0.00014562,0.00004294,0.00000007,0.00004135,0.00007539,0.00000001,0.00000029,0.00001284
-5.90995498,0.00010173,0.00002998,0.00000005,0.00002887,0.00005265,0.00000002,0.00000021,0.00000898
-5.90395198,0.00007060,0.00002079,0.00000004,0.00002002,0.00003651,0.00000003,0.00000014,0.00000626
-5.89794897,0.00004871,0.00001431,0.00000003,0.00001378,0.00002515,0.00000005,0.00000010,0.00000436
-5.89194597,0.00003348,0.00000978,0.00000003,0.00000943,0.00001721,0.00000008,0.00000007,0.00000306
