energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,2.19727557,0.00708045,0.37764878,0.00508859,1.14218970,0.66565695,0.29249460,0.77996774,0.33005234
-5.99399700,2.09832508,0.00662292,0.35927186,0.00465226,1.09054324,0.63439636,0.28173214,0.74545414,0.31351261
-5.98799400,2.00171034,0.00617395,0.34147661,0.00424786,1.04034730,0.60501578,0.27085330,0.71203494,0.29762409
-5.98199100,1.90791176,0.00573605,0.32434761,0.00387611,0.99186105,0.57764897,0.25992074,0.67993385,0.28243876
-5.97598799,1.81738314,0.00531148,0.30796291,0.00353755,0.94532193,0.55239291,0.24899845,0.64937016,0.26800174
-5.96998499,1.73055813,0.00490232,0.29239448,0.00323254,0.90095020,0.52931188,0.23815288,0.62055840,0.25435286
-5.96398199,1.64785697,0.00451046,0.27770884,0.00296139,0.85895382,0.50844245,0.22745391,0.59370792,0.24152840
-5.95797899,1.56969307,0.00413767,0.26396776,0.00272439,0.81953342,0.48979898,0.21697546,0.56902224,0.22956288
-5.95197599,1.49647877,0.00378562,0.25122907,0.00252190,0.78288700,0.47337939,0.20679581,0.54669830,0.21849077
-5.94597299,1.42863008,0.00345591,0.23954732,0.00235446,0.74921409,0.45917081,0.19699750,0.52692532,0.20834810
-5.93996998,1.36656993,0.00315006,0.22897446,0.00222281,0.71871920,0.44715496,0.18766684,0.50988364,0.19917382
-5.93396698,1.31072994,0.00286959,0.21956027,0.00212799,0.69161431,0.43731292,0.17889310,0.49574321,0.19101087
-5.92796398,1.26155058,0.00261595,0.21135266,0.00207138,0.66812046,0.42962922,0.17076729,0.48466205,0.18390699
-5.92196098,1.21947963,0.00239061,0.20439779,0.00205474,0.64846822,0.42409503,0.16338077,0.47678447,0.17791514
-5.91595798,1.18496917,0.00219501,0.19873991,0.00208020,0.63289712,0.42071038,0.15682365,0.47223937,0.17309367
-5.90995498,1.15847115,0.00203057,0.19442103,0.00215027,0.62165396,0.41948545,0.15118305,0.47113829,0.16950612
-5.90395198,1.14043154,0.00189871,0.19148036,0.00226783,0.61499010,0.42044082,0.14654134,0.47357362,0.16722066
-5.89794897,1.13128326,0.00180081,0.18995360,0.00243602,0.61315764,0.42360668,0.14297448,0.47961661,0.16630936
-5.89194597,1.13143794,0.00173826,0.18987194,0.00265820,0.61640456,0.42902124,0.14055035,0.48931545,0.16684700
-5.88594297,1.14127656,0.00171236,0.19126098,0.00293780,0.62496887,0.43672820,0.13932719,0.50269324,0.16890969
-5.87993997,1.16113893,0.00172438,0.19413941,0.00327823,0.63907172,0.44677350,0.13935230,0.51974591,0.17257313
-5.87393697,1.19131219,0.00177547,0.19851764,0.00368266,0.65890964,0.45920141,0.14066071,0.54044003,0.17791062
-5.86793397,1.23201827,0.00186665,0.20439619,0.00415387,0.68464587,0.47405017,0.14327409,0.56471064,0.18499074
-5.86193097,1.28340059,0.00199876,0.21176409,0.00469407,0.71640106,0.49134719,0.14719978,0.59245896,0.19387471
-5.85592796,1.34551000,0.00217239,0.22059721,0.00530464,0.75424341,0.51110406,0.15242986,0.62355012,0.20461354
-5.84992496,1.41829047,0.00238781,0.23085657,0.00598596,0.79817866,0.53331150,0.15894042,0.65781111,0.21724491
-5.84392196,1.50156487,0.00264494,0.24248674,0.00673718,0.84814011,0.55793451,0.16669089,0.69502886,0.23178986
-5.83791896,1.59502136,0.00294322,0.25541444,0.00755608,0.90397920,0.58490769,0.17562352,0.73494880,0.24824944
-5.83191596,1.69820119,0.00328157,0.26954729,0.00843888,0.96545717,0.61413127,0.18566301,0.77727399,0.26660133
-5.82591296,1.81048848,0.00365831,0.28477295,0.00938010,1.03223811,0.64546767,0.19671636,0.82166506,0.28679668
-5.81990995,1.93110306,0.00407110,0.30095870,0.01037257,1.10388415,0.67873914,0.20867304,0.86774116,0.30875726
-5.81390695,2.05909690,0.00451690,0.31795154,0.01140734,1.17985329,0.71372635,0.22140539,0.91508209,0.33237305
-5.80790395,2.19335524,0.00499190,0.33557887,0.01247376,1.25950014,0.75016835,0.23476952,0.96323176,0.35750064
-5.80190095,2.33260280,0.00549157,0.35364988,0.01355965,1.34208031,0.78776377,0.24860664,1.01170316,0.38396236
-5.79589795,2.47541581,0.00601062,0.37195760,0.01465140,1.42675828,0.82617360,0.26274490,1.05998470,0.41154652
-5.78989495,2.62023988,0.00654308,0.39028169,0.01573431,1.51261931,0.86502532,0.27700176,1.10754806,0.44000878
-5.78389195,2.76541398,0.00708236,0.40839188,0.01679287,1.59868489,0.90391848,0.29118691,1.15385726,0.46907472
-5.77788894,2.90919993,0.00762135,0.42605198,0.01781116,1.68393179,0.94243157,0.30510572,1.19837876,0.49844375
