energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.76718670,0.00139120,0.83889746,0.01518848,0.31527554,0.34924952,0.73835616
-5.99399700,1.82163691,0.00157545,0.85798851,0.01688265,0.32527784,0.35522663,0.75225611
-5.98799400,1.88492715,0.00179119,0.88192136,0.01877909,0.33613029,0.36334958,0.77051805
-5.98199100,1.95754401,0.00204051,0.91096384,0.02089103,0.34789947,0.37373979,0.79336291
-5.97598799,2.03979901,0.00232532,0.94529507,0.02323001,0.36062715,0.38648255,0.82093042
-5.96998499,2.13181235,0.00264729,0.98499833,0.02580539,0.37432727,0.40162445,0.85327366
-5.96398199,2.23350119,0.00300770,1.03005604,0.02862399,0.38898384,0.41917166,0.89035558
-5.95797899,2.34457330,0.00340748,1.08034707,0.03168964,0.40454982,0.43908906,0.93204761
-5.95197599,2.46452618,0.00384705,1.13564658,0.03500286,0.42094698,0.46130026,0.97813044
-5.94597299,2.59265218,0.00432632,1.19562858,0.03856055,0.43806685,0.48568862,1.02829712
-5.93996998,2.72804937,0.00484458,1.25987111,0.04235582,0.45577272,0.51209921,1.08215847
-5.93396698,2.86963820,0.00540051,1.32786398,0.04637783,0.47390260,0.54034165,1.13925057
-5.92796398,3.01618330,0.00599209,1.39901897,0.05061176,0.49227307,0.57019381,1.19904431
-5.92196098,3.16632005,0.00661660,1.47268212,0.05503896,0.51068390,0.60140627,1.26095666
-5.91595798,3.31858484,0.00727065,1.54814789,0.05963708,0.52892316,0.63370735,1.32436338
-5.90995498,3.47144838,0.00795015,1.62467464,0.06438046,0.54677278,0.66680868,1.38861280
-5.90395198,3.62335074,0.00865038,1.70150110,0.06924052,0.56401423,0.70041106,1.45304031
-5.89794897,3.77273720,0.00936607,1.77786328,0.07418630,0.58043415,0.73421046,1.51698297
-5.89194597,3.91809372,0.01009143,1.85301129,0.07918509,0.59582978,0.76790406,1.57979413
-5.88594297,4.05798082,0.01082033,1.92622561,0.08420314,0.61001388,0.80119608,1.64085724
-5.87993997,4.19106493,0.01154633,1.99683223,0.08920637,0.62281907,0.83380328,1.69959871
-5.87393697,4.31614614,0.01226290,2.06421626,0.09416113,0.63410148,0.86545994,1.75549932
-5.86793397,4.43218150,0.01296350,2.12783359,0.09903496,0.64374347,0.89592226,1.80810383
-5.86193097,4.53830319,0.01364175,2.18722009,0.10379724,0.65165558,0.92497192,1.85702845
-5.85592796,4.63383090,0.01429157,2.24199822,0.10841987,0.65777741,0.95241885,1.90196607
-5.84992496,4.71827813,0.01490729,2.29188072,0.11287770,0.66207770,0.97810300,1.94268879
-5.84392196,4.79135226,0.01548382,2.33667120,0.11714898,0.66455352,1.00189509,1.97904801
-5.83791896,4.85294825,0.01601669,2.37626177,0.12121549,0.66522865,1.02369639,2.01097172
-5.83191596,4.90313644,0.01650215,2.41062755,0.12506265,0.66415125,1.04343743,2.03845929
-5.82591296,4.94214473,0.01693726,2.43981849,0.12867933,0.66139097,1.06107575,2.06157391
-5.81990995,4.97033594,0.01731983,2.46394861,0.13205756,0.65703561,1.07659280,2.08043287
-5.81390695,4.98818118,0.01764849,2.48318323,0.13519207,0.65118744,1.08999013,2.09519612
-5.80790395,4.99623034,0.01792262,2.49772465,0.13807962,0.64395937,1.10128497,2.10605370
