energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
5.48974487,1.25255603,0.01073817,0.07981481,0.30229638,0.00000000,0.01850844,0.09330685,0.35765488,0.90944148
5.49574787,1.26901335,0.01148052,0.08504473,0.30212243,0.00000000,0.01874169,0.09750788,0.36529976,0.91644295
5.50175088,1.28646607,0.01219410,0.09022368,0.30312015,0.00000000,0.01908037,0.10176080,0.37287599,0.92416486
5.50775388,1.30435506,0.01286572,0.09527149,0.30536596,0.00000000,0.01952125,0.10596727,0.38027860,0.93218105
5.51375688,1.32208546,0.01348246,0.10011003,0.30893685,0.00000000,0.02005949,0.11002783,0.38739241,0.94003527
5.51975988,1.33904239,0.01403198,0.10466556,0.31391054,0.00000000,0.02068837,0.11384434,0.39409687,0.94725199
5.52576288,1.35460934,0.01450295,0.10887114,0.32036610,0.00000000,0.02139918,0.11732245,0.40027149,0.95334950
5.53176588,1.36818826,0.01488538,0.11266892,0.32838467,0.00000000,0.02218116,0.12037425,0.40580174,0.95785424
5.53776888,1.37922031,0.01517092,0.11601221,0.33805009,0.00000000,0.02302145,0.12292067,0.41058489,0.96031610
5.54377189,1.38720602,0.01535322,0.11886714,0.34944912,0.00000000,0.02390523,0.12489383,0.41453548,0.96032347
5.54977489,1.39172380,0.01542805,0.12121392,0.36267104,0.00000000,0.02481587,0.12623904,0.41759006,0.95751755
5.55577789,1.39244555,0.01539351,0.12304754,0.37780627,0.00000000,0.02573519,0.12691638,0.41971086,0.95160495
5.56178089,1.38914858,0.01525010,0.12437787,0.39494388,0.00000000,0.02664379,0.12690187,0.42088807,0.94236802
5.56778389,1.38172296,0.01500065,0.12522914,0.41416784,0.00000000,0.02752148,0.12618803,0.42114077,0.92967225
5.57378689,1.37017403,0.01465024,0.12563877,0.43555186,0.00000000,0.02834768,0.12478393,0.42051609,0.91347045
5.57978989,1.35461969,0.01420605,0.12565564,0.45915310,0.00000000,0.02910199,0.12271460,0.41908695,0.89380360
5.58579290,1.33528280,0.01367705,0.12533779,0.48500467,0.00000000,0.02976469,0.12001990,0.41694826,0.87079818
5.59179590,1.31247909,0.01307376,0.12474976,0.51310729,0.00000000,0.03031733,0.11675293,0.41421192,0.84466045
5.59779890,1.28660114,0.01240782,0.12395956,0.54342062,0.00000000,0.03074320,0.11297793,0.41100082,0.81566782
5.60380190,1.25809957,0.01169169,0.12303550,0.57585454,0.00000000,0.03102792,0.10876788,0.40744223,0.78415799
5.60980490,1.22746225,0.01093822,0.12204306,0.61026102,0.00000000,0.03115988,0.10420191,0.40366094,0.75051643
5.61580790,1.19519290,0.01016030,0.12104181,0.64642719,0.00000000,0.03113063,0.09936258,0.39977254,0.71516279
5.62181091,1.16178998,0.00937047,0.12008274,0.68407013,0.00000000,0.03093525,0.09433316,0.39587726,0.67853704
5.62781391,1.12772728,0.00858064,0.11920594,0.72283408,0.00000000,0.03057252,0.08919510,0.39205471,0.64108591
5.63381691,1.09343686,0.00780178,0.11843885,0.76229033,0.00000000,0.03004510,0.08402569,0.38835977,0.60325028
5.63981991,1.05929538,0.00704377,0.11779516,0.80194042,0.00000000,0.02935952,0.07889612,0.38482007,0.56545398
5.64582291,1.02561439,0.00631517,0.11727442,0.84122276,0.00000000,0.02852611,0.07386988,0.38143487,0.52809445
5.65182591,0.99263483,0.00562320,0.11686228,0.87952273,0.00000000,0.02755882,0.06900163,0.37817584,0.49153541
5.65782891,0.96052600,0.00497364,0.11653149,0.91618623,0.00000000,0.02647490,0.06433654,0.37498932,0.45610190
5.66383192,0.92938878,0.00437091,0.11624350,0.95053624,0.00000000,0.02529463,0.05991011,0.37180025,0.42207747
5.66983492,0.89926282,0.00381812,0.11595064,0.98189199,0.00000000,0.02404081,0.05574837,0.36851736,0.38970358
5.67583792,0.87013712,0.00331717,0.11559869,1.00958995,0.00000000,0.02273841,0.05186849,0.36503951,0.35918096
5.68184092,0.84196317,0.00286890,0.11512979,1.03300584,0.00000000,0.02141402,0.04827980,0.36126272,0.33067272
