energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.96971454,0.01386541,0.09375582,0.39992663,0.24510781,0.05925479,1.79259884,0.93617692,0.56851253
-5.99399700,2.97738661,0.01390746,0.09219370,0.39851884,0.24025604,0.06167826,1.80248582,0.93713960,0.59671255
-5.98799400,2.98858592,0.01401612,0.09085452,0.39738837,0.23581089,0.06432599,1.81407524,0.93848977,0.62622704
-5.98199100,3.00314701,0.01418950,0.08975299,0.39655114,0.23185225,0.06716384,1.82716938,0.94001699,0.65678942
-5.97598799,3.02079770,0.01442487,0.08889928,0.39601985,0.22845064,0.07015587,1.84151108,0.94148736,0.68809993
-5.96998499,3.04116970,0.01471864,0.08829919,0.39580469,0.22566635,0.07326504,1.85679250,0.94265401,0.71983012
-5.96398199,3.06381461,0.01506630,0.08795467,0.39591464,0.22354918,0.07645396,1.87266676,0.94326840,0.75162839
-5.95797899,3.08822384,0.01546247,0.08786456,0.39635887,0.22213860,0.07968561,1.88876146,0.94309199,0.78312650
-5.95197599,3.11385121,0.01590091,0.08802550,0.39714837,0.22146420,0.08292400,1.90469326,0.94190751,0.81394675
-5.94597299,3.14013652,0.01637464,0.08843296,0.39829742,0.22154650,0.08613480,1.92008265,0.93952918,0.84370948
-5.93996998,3.16652884,0.01687603,0.08908232,0.39982473,0.22239787,0.08928577,1.93456793,0.93581147,0.87204084
-5.93396698,3.19250814,0.01739695,0.08996989,0.40175432,0.22402346,0.09234716,1.94781795,0.93065578,0.89858042
-5.92796398,3.21760415,0.01792894,0.09109382,0.40411572,0.22642210,0.09529197,1.95954271,0.92401489,0.92298864
-5.92196098,3.24141181,0.01846333,0.09245485,0.40694369,0.22958712,0.09809605,1.96950177,0.91589494,0.94495355
-5.91595798,3.26360261,0.01899145,0.09405681,0.41027738,0.23350694,0.10073815,1.97750998,0.90635484,0.96419720
-5.90995498,3.28393173,0.01950482,0.09590687,0.41415890,0.23816558,0.10319989,1.98344066,0.89550347,0.98048108
-5.90395198,3.30224102,0.01999528,0.09801551,0.41863151,0.24354284,0.10546564,1.98722633,0.88349450,0.99361081
-5.89794897,3.31845811,0.02045522,0.10039619,0.42373737,0.24961450,0.10752242,1.98885716,0.87051963,1.00343993
-5.89194597,3.33259208,0.02087770,0.10306474,0.42951521,0.25635230,0.10935974,1.98837759,0.85680028,1.00987275
-5.88594297,3.34472635,0.02125659,0.10603850,0.43599790,0.26372386,0.11096950,1.98588142,0.84257833,1.01286612
-5.87993997,3.35500938,0.02158673,0.10933527,0.44321007,0.27169262,0.11234592,1.98150588,0.82810644,1.01243036
-5.87393697,3.36364391,0.02186404,0.11297207,0.45116604,0.28021785,0.11348550,1.97542490,0.81363832,1.00862898
-5.86793397,3.37087521,0.02208556,0.11696380,0.45986803,0.28925461,0.11438698,1.96784214,0.79941930,1.00157758
-5.86193097,3.37697904,0.02224955,0.12132190,0.46930483,0.29875400,0.11505143,1.95898383,0.78567782,0.99144156
