energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,12.43288955,0.04140188,0.33973129,2.22853592,1.68173057,3.02904808,7.25330829,3.89727139,0.00000000
-5.99399700,12.75962122,0.04317774,0.35646721,2.33576636,1.77372656,3.20052306,7.33193984,4.02060271,0.00000000
-5.98799400,13.06909879,0.04491064,0.37349821,2.44032516,1.86751006,3.37024834,7.39347546,4.13950524,0.00000000
-5.98199100,13.35709058,0.04656853,0.39050916,2.54071346,1.96207264,3.53597832,7.43684580,4.25228939,0.00000000
-5.97598799,13.61967058,0.04812114,0.40718835,2.63543872,2.05634702,3.69546174,7.46134520,4.35731863,0.00000000
-5.96998499,13.85328340,0.04954064,0.42323274,2.72304829,2.14922636,3.84649139,7.46663233,4.45304351,0.00000000
-5.96398199,14.05479958,0.05080238,0.43835330,2.80216372,2.23958545,3.98695400,7.45271905,4.53803416,0.00000000
-5.95797899,14.22155968,0.05188543,0.45228013,2.87151441,2.32630287,4.11487863,7.41994798,4.61101025,0.00000000
-5.95197599,14.35140581,0.05277299,0.46476728,2.92996933,2.40828351,4.22848172,7.36896001,4.67086705,0.00000000
-5.94597299,14.44269993,0.05345280,0.47559719,2.97656534,2.48448078,4.32620735,7.30065333,4.71669675,0.00000000
-5.93996998,14.49432867,0.05391726,0.48458445,3.01053122,2.55391753,4.40676115,7.21613578,4.74780426,0.00000000
-5.93396698,14.50569531,0.05416352,0.49157901,3.03130622,2.61570531,4.46913672,7.11667312,4.76371684,0.00000000
-5.92796398,14.47670006,0.05419340,0.49646840,3.03855259,2.66906119,4.51263382,7.00363538,4.76418756,0.00000000
-5.92196098,14.40771018,0.05401312,0.49917920,3.03216164,2.71332172,4.53686779,6.87844409,4.74919255,0.00000000
-5.91595798,14.29952232,0.05363302,0.49967749,3.01225330,2.74795382,4.54177010,6.74252284,4.71892248,0.00000000
-5.90995498,14.15331944,0.05306713,0.49796842,2.97916932,2.77256233,4.52758037,6.59725343,4.67376897,0.00000000
-5.90395198,13.97062491,0.05233264,0.49409478,2.93346056,2.78689427,4.49483058,6.44393967,4.61430678,0.00000000
-5.89794897,13.75325635,0.05144935,0.48813474,2.87586921,2.79083985,4.44432215,6.28378030,4.54127281,0.00000000
-5.89194597,13.50328156,0.05043912,0.48019885,2.80730662,2.78443059,4.37709734,6.11785208,4.45554302,0.00000000
-5.88594297,13.22297841,0.04932522,0.47042626,2.72882787,2.76783467,4.29440613,5.94710344,4.35810839,0.00000000
-5.87993997,12.91480010,0.04813181,0.45898055,2.64160402,2.74135009,4.19766997,5.77235839,4.25005088,0.00000000
-5.87393697,12.58134656,0.04688331,0.44604505,2.54689311,2.70539581,4.08844387,5.59433001,4.13252031,0.00000000
-5.86793397,12.22534204,0.04560389,0.43181807,2.44601083,2.66050142,3.96837807,5.41364197,4.00671297,0.00000000
-5.86193097,11.84961846,0.04431701,0.41650793,2.34030178,2.60729566,3.83918054,5.23085633,3.87385224,0.00000000
-5.85592796,11.45710330,0.04304488,0.40032820,2.23111205,2.54649405,3.70258133,5.04650539,3.73517168,0.00000000
-5.84992496,11.05081073,0.04180811,0.38349310,2.11976373,2.47888599,3.56029950,4.86112517,3.59190057,0.00000000
-5.84392196,10.63383381,0.04062532,0.36621323,2.00753177,2.40532148,3.41401334,4.67528815,3.44525180,0.00000000
-5.83791896,10.20933623,0.03951276,0.34869176,1.89562365,2.32669775,3.26533428,4.48963269,3.29641176,0.00000000
-5.83191596,9.78054144,0.03848408,0.33112117,1.78516192,2.24394578,3.11578458,4.30488730,3.14653200,0.00000000
-5.82591296,9.35071774,0.03755002,0.31368047,1.67716986,2.15801699,2.96677905,4.12188776,2.99672216,0.00000000
-5.81990995,8.92315813,0.03671822,0.29653306,1.57256024,2.06987009,2.81961059,3.94158602,2.84804369,0.00000000
-5.81390695,8.50115403,0.03599306,0.27982518,1.47212713,1.98045833,2.67543946,3.76504991,2.70150420,0.00000000
-5.80790395,8.08796309,0.03537561,0.26368486,1.37654074,1.89071718,2.53528611,3.59345371,2.55805199,0.00000000
-5.80190095,7.68677122,0.03486353,0.24822151,1.28634516,1.80155256,2.40002728,3.42805978,2.41857073,0.00000000
-5.79589795,7.30065012,0.03445121,0.23352593,1.20195889,1.71382995,2.27039521,3.27019223,2.28387417,0.00000000
-5.78989495,6.93251162,0.03412989,0.21967072,1.12367793,1.62836440,2.14697964,3.12120400,2.15470104,0.00000000
-5.78389195,6.58506085,0.03388792,0.20671117,1.05168133,1.54591168,2.03023246,2.98243894,2.03171028,0.00000000
-5.77788894,6.26075026,0.03371113,0.19468633,0.98603891,1.46716082,1.92047483,2.85519095,1.91547683,0.00000000
-5.77188594,5.96173661,0.03358328,0.18362039,0.92672093,1.39272806,1.81790636,2.74066215,1.80648832,0.00000000
-5.76588294,5.68984318,0.03348662,0.17352420,0.87360937,1.32315255,1.72261643,2.63992218,1.70514291,0.00000000
-5.75987994,5.44652890,0.03340256,0.16439688,0.82651046,1.25889366,1.63459700,2.55387075,1.61174853,0.00000000
-5.75387694,5.23286610,0.03331228,0.15622754,0.78516814,1.20033013,1.55375697,2.48320491,1.52652377,0.00000000
-5.74787394,5.04952801,0.03319758,0.14899687,0.74927790,1.14776092,1.47993744,2.42839295,1.44960043,0.00000000
-5.74187094,4.89678662,0.03304155,0.14267884,0.71850072,1.10140772,1.41292764,2.38965578,1.38102785,0.00000000
-5.73586793,4.77452120,0.03282930,0.13724212,0.69247644,1.06141896,1.35248103,2.36695680,1.32077879,0.00000000
-5.72986493,4.68223717,0.03254868,0.13265154,0.67083638,1.02787516,1.29833107,2.36000067,1.26875685,0.00000000
-5.72386193,4.61909453,0.03219084,0.12886932,0.65321452,1.00079531,1.25020618,2.36824091,1.22480494,0.00000000
-5.71785893,4.58394486,0.03175070,0.12585610,0.63925713,0.98014413,1.20784344,2.39089612,1.18871471,0.00000000
-5.71185593,4.57537520,0.03122732,0.12357190,0.62863042,0.96583977,1.17100050,2.42697405,1.16023632,0.00000000
-5.70585293,4.59175740,0.03062407,0.12197677,0.62102604,0.95776179,1.13946540,2.47530246,1.13908831,0.00000000
-5.69984992,4.63130069,0.02994867,0.12103143,0.61616441,0.95575904,1.11306384,2.53456559,1.12496716,0.00000000
-5.69384692,4.69210565,0.02921306,0.12069756,0.61379578,0.95965722,1.09166385,2.60334459,1.11755608,0.00000000
-5.68784392,4.77221748,0.02843308,0.12093813,0.61369921,0.96926568,1.07517742,2.68016028,1.11653279,0.00000000
-5.68184092,4.86967636,0.02762800,0.12171744,0.61567958,0.98438353,1.06355938,2.76351644,1.12157600,0.00000000
-5.67583792,4.98256308,0.02681997,0.12300112,0.61956315,1.00480442,1.05680338,2.85194166,1.13237032,0.00000000
-5.66983492,5.10903813,0.02603327,0.12475605,0.62519172,1.03032014,1.05493524,2.94402818,1.14860944,0.00000000
-5.66383192,5.24737251,0.02529351,0.12695011,0.63241606,1.06072270,1.05800383,3.03846578,1.16999754,0.00000000
-5.65782891,5.39596915,0.02462682,0.12955194,0.64108900,1.09580469,1.06607002,3.13406939,1.19624883,0.00000000
-5.65182591,5.55337394,0.02405890,0.13253058,0.65105854,1.13535813,1.07919394,3.22979910,1.22708534,0.00000000
-5.64582291,5.71827591,0.02361415,0.13585510,0.66216157,1.17917141,1.09742112,3.32477182,1.26223286,0.00000000
-5.63981991,5.88949652,0.02331482,0.13949412,0.67421848,1.22702465,1.12076804,3.41826392,1.30141550,0.00000000
-5.63381691,6.06596873,0.02318023,0.14341536,0.68702905,1.27868354,1.14920757,3.50970508,1.34434880,0.00000000
-5.62781391,6.24670676,0.02322598,0.14758514,0.70036998,1.33389183,1.18265501,3.59866356,1.39073188,0.00000000
-5.62181091,6.43076839,0.02346341,0.15196782,0.71399407,1.39236279,1.22095515,3.68482406,1.44023897,0.00000000
-5.61580790,6.61721170,0.02389907,0.15652528,0.72763126,1.45377019,1.26387098,3.76795928,1.49251065,0.00000000
-5.60980490,6.80504913,0.02453439,0.16121647,0.74099153,1.51773909,1.31107460,3.84789715,1.54714548,0.00000000
-5.60380190,6.99320142,0.02536550,0.16599690,0.75376949,1.58383728,1.36214076,3.92448560,1.60369235,0.00000000
-5.59779890,7.18045483,0.02638316,0.17081834,0.76565048,1.65156773,1.41654342,3.99755713,1.66164429,0.00000000
-5.59179590,7.36542439,0.02757295,0.17562854,0.77631793,1.72036292,1.47365581,4.06689553,1.72043408,0.00000000
-5.58579290,7.54652641,0.02891552,0.18037117,0.78546158,1.78958161,1.53275396,4.13220670,1.77943235,0.00000000
-5.57978989,7.72196246,0.03038709,0.18498594,0.79278618,1.85850857,1.59302411,4.19309580,1.83794858,0.00000000
-5.57378689,7.88971710,0.03196000,0.18940892,0.79802029,1.92635784,1.65357367,4.24905214,1.89523515,0.00000000
-5.56778389,8.04757038,0.03360351,0.19357314,0.80092462,1.99227972,1.71344589,4.29944303,1.95049492,0.00000000
-5.56178089,8.19312580,0.03528458,0.19740944,0.80129966,2.05537177,1.77163753,4.34351719,2.00289211,0.00000000
-5.55577789,8.32385317,0.03696884,0.20084755,0.79899208,2.11469359,1.82711949,4.38041782,2.05156656,0.00000000
-5.54977489,8.43714514,0.03862151,0.20381743,0.79389965,2.16928519,1.87885941,4.40920474,2.09565080,0.00000000
-5.54377189,8.53038522,0.04020843,0.20625085,0.78597446,2.21818840,1.92584583,4.42888444,2.13428961,0.00000000
-5.53776888,8.60102434,0.04169697,0.20808302,0.77522418,2.26047055,1.96711280,4.43844667,2.16666127,0.00000000
-5.53176588,8.64666264,0.04305699,0.20925440,0.76171149,2.29524956,2.00176439,4.43690536,2.19199972,0.00000000
-5.52576288,8.66513235,0.04426160,0.20971251,0.74555156,2.32171945,2.02899788,4.42334182,2.20961666,0.00000000
-5.51975988,8.65457795,0.04528786,0.20941367,0.72690774,2.33917497,2.04812498,4.39694785,2.21892265,0.00000000
