energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.44325875,0.02234010,0.00000000,0.41376471,0.79593030,0.00357555,1.11360692
-5.99399700,1.38937077,0.01954870,0.00000000,0.38702505,0.78717009,0.00318986,1.08937871
-5.98799400,1.34111126,0.01716105,0.00000000,0.36358323,0.77828649,0.00288589,1.06654854
-5.98199100,1.29774652,0.01515937,0.00000000,0.34316597,0.76901285,0.00266340,1.04462974
-5.97598799,1.25865338,0.01352420,0.00000000,0.32551252,0.75917375,0.00252206,1.02324678
-5.96998499,1.22335048,0.01223545,0.00000000,0.31038718,0.74869588,0.00246167,1.00215433
-5.96398199,1.19151898,0.01127321,0.00000000,0.29758861,0.73761346,0.00248215,0.98124850
-5.95797899,1.16301235,0.01061846,0.00000000,0.28695592,0.72606804,0.00258365,0.96057015
-5.95197599,1.13785554,0.01025347,0.00000000,0.27837159,0.71430278,0.00276655,0.94030038
-5.94597299,1.11623436,0.01016213,0.00000000,0.27176139,0.70265182,0.00303140,0.92074910
-5.93996998,1.09847627,0.01032994,0.00000000,0.26709170,0.69152530,0.00337889,0.90233737
-5.93396698,1.08502428,0.01074403,0.00000000,0.26436471,0.68139100,0.00380967,0.88557501
-5.92796398,1.07640574,0.01139287,0.00000000,0.26361205,0.67275362,0.00432426,0.87103474
-5.92196098,1.07319829,0.01226606,0.00000000,0.26488745,0.66613277,0.00492284,0.85932453
-5.91595798,1.07599488,0.01335392,0.00000000,0.26825903,0.66204092,0.00560510,0.85105968
-5.90995498,1.08537017,0.01464719,0.00000000,0.27380197,0.66096241,0.00637001,0.84683624
-5.90395198,1.10185017,0.01613665,0.00000000,0.28159190,0.66333457,0.00721567,0.84720721
-5.89794897,1.12588691,0.01781287,0.00000000,0.29169978,0.66953200,0.00813913,0.85266273
-5.89194597,1.15783966,0.01966606,0.00000000,0.30418850,0.67985461,0.00913628,0.86361544
-5.88594297,1.19796374,0.02168596,0.00000000,0.31911159,0.69452026,0.01020174,0.88039159
-5.87993997,1.24640767,0.02386196,0.00000000,0.33651419,0.71366205,0.01132883,0.90322844
-5.87393697,1.30321883,0.02618334,0.00000000,0.35643636,0.73733071,0.01250960,0.93227804
-5.86793397,1.36835752,0.02863962,0.00000000,0.37891850,0.76550165,0.01373494,0.96761714
-5.86193097,1.44171851,0.03122113,0.00000000,0.40400879,0.79808644,0.01499468,1.00926252
-5.85592796,1.52315911,0.03391967,0.00000000,0.43177195,0.83494803,0.01627788,1.05719096
-5.84992496,1.61253186,0.03672923,0.00000000,0.46229911,0.87591891,0.01757310,1.11136248
-5.84392196,1.70972009,0.03964682,0.00000000,0.49571768,0.92082094,0.01886870,1.17174544
-5.83791896,1.81467373,0.04267329,0.00000000,0.53220078,0.96948601,0.02015328,1.23834168
-5.83191596,1.92744303,0.04581407,0.00000000,0.57197512,1.02177581,0.02141606,1.31121002
-5.82591296,2.04820735,0.04907978,0.00000000,0.61532654,1.07759974,0.02264730,1.39048613
-5.81990995,2.17729639,0.05248672,0.00000000,0.66260229,1.13692931,0.02383870,1.47639693
-5.81390695,2.31520145,0.05605702,0.00000000,0.71420927,1.19980802,0.02498373,1.56926795
-5.80790395,2.46257454,0.05981854,0.00000000,0.77060753,1.26635562,0.02607800,1.66952216
-5.80190095,2.62021357,0.06380435,0.00000000,0.83229854,1.33676584,0.02711937,1.77766924
-5.79589795,2.78903279,0.06805190,0.00000000,0.89980804,1.41129716,0.02810817,1.89428466
-5.78989495,2.97001806,0.07260164,0.00000000,0.97366345,1.49025649,0.02904711,2.01997863
-5.78389195,3.16416766,0.07749535,0.00000000,1.05436627,1.57397596,0.02994120,2.15535537
-5.77788894,3.37242023,0.08277400,0.00000000,1.14236012,1.66278353,0.03079747,2.30096393
-5.77188594,3.59557219,0.08847536,0.00000000,1.23799564,1.75696861,0.03162456,2.45724247
-5.76588294,3.83418837,0.09463125,0.00000000,1.34149352,1.85674407,0.03243226,2.62445832
-5.75987994,4.08850968,0.10126478,0.00000000,1.45290745,1.96220673,0.03323087,2.80264681
-5.75387694,4.35836305,0.10838750,0.00000000,1.57208888,2.07329819,0.03403055,2.99155221
-5.74787394,4.64307867,0.11599670,0.00000000,1.69865569,2.18976862,0.03484056,3.19057437
-5.74187094,4.94142001,0.12407300,0.00000000,1.83196681,2.31114565,0.03566863,3.39872454
-5.73586793,5.25153184,0.13257844,0.00000000,1.97110490,2.43671068,0.03652020,3.61459400
-5.72986493,5.57091096,0.14145507,0.00000000,2.11486867,2.56548471,0.03739784,3.83633826
-5.72386193,5.89640348,0.15062438,0.00000000,2.26177653,2.69622522,0.03830079,4.06167951
-5.71785893,6.22423145,0.15998746,0.00000000,2.41008229,2.82743532,0.03922457,4.28792884
-5.71185593,6.55005009,0.16942616,0.00000000,2.55780349,2.95738575,0.04016085,4.51202878
-5.70585293,6.86903544,0.17880510,0.00000000,2.70276198,3.08414954,0.04109743,4.73061597
-5.69984992,7.17600056,0.18797465,0.00000000,2.84263605,3.20564848,0.04201853,4.94010230
-5.69384692,7.46553667,0.19677468,0.00000000,2.97502229,3.31971007,0.04290517,5.13677200
-5.68784392,7.73217409,0.20503914,0.00000000,3.09750532,3.42413254,0.04373582,5.31689100
-5.68184092,7.97055674,0.21260105,0.00000000,3.20773238,3.51675552,0.04448716,5.47682433
-5.67583792,8.17562250,0.21929796,0.00000000,3.30348996,3.59553312,0.04513501,5.61315631
-5.66983492,8.34278158,0.22497746,0.00000000,3.38277895,3.65860615,0.04565532,5.72280834
-5.66383192,8.46808451,0.22950260,0.00000000,3.44388508,3.70437022,0.04602519,5.80314880
-5.65782891,8.54837198,0.23275692,0.00000000,3.48544118,3.73153634,0.04622396,5.85208999
-5.65182591,8.58139906,0.23464883,0.00000000,3.50647862,3.73918133,0.04623407,5.86816736
-5.64582291,8.56592794,0.23511525,0.00000000,3.50646510,3.72678549,0.04604201,5.85059747
-5.63981991,8.50178468,0.23412419,0.00000000,3.48532732,3.69425579,0.04563894,5.79931183
-5.63381691,8.38987701,0.23167621,0.00000000,3.44345710,3.64193364,0.04502123,5.71496509
-5.62781391,8.23217254,0.22780473,0.00000000,3.38170096,3.57058676,0.04419071,5.59891733
-5.62181091,8.03163841,0.22257509,0.00000000,3.30133336,3.48138581,0.04315477,5.45319145
-5.61580790,7.79214540,0.21608252,0.00000000,3.20401512,3.37586692,0.04192614,5.28040778
-5.60980490,7.51834107,0.20844902,0.00000000,3.09173882,3.25588196,0.04052253,5.08369922
