energy_ev,total_up,Au_p_up,Au_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-6.00000000,4.16243163,0.56062629,3.75029103,0.43877935,0.00000000,0.00834756,0.14371668
-5.99399700,4.19813797,0.56183600,3.78547836,0.42604800,0.00000000,0.00869924,0.14485529
-5.98799400,4.23026238,0.56415784,3.81660702,0.41374120,0.00000000,0.00903372,0.14596775
-5.98199100,4.25667183,0.56722287,3.84179239,0.40170785,0.00000000,0.00934098,0.14698079
-5.97598799,4.27544943,0.57069357,3.85934752,0.38982990,0.00000000,0.00961188,0.14782666
-5.96998499,4.28493571,0.57427038,3.86781919,0.37802308,0.00000000,0.00983846,0.14844492
-5.96398199,4.28376194,0.57769649,3.86601705,0.36623613,0.00000000,0.01001410,0.14878408
-5.95797899,4.27087515,0.58076089,3.85303541,0.35444883,0.00000000,0.01013367,0.14880290
-5.95197599,4.24555438,0.58329949,3.82826749,0.34266888,0.00000000,0.01019365,0.14847131
-5.94597299,4.20741813,0.58519447,3.79141213,0.33092806,0.00000000,0.01019218,0.14777112
-5.93996998,4.15642331,0.58637183,3.74247311,0.31927765,0.00000000,0.01012907,0.14669613
-5.93396698,4.09285617,0.58679737,3.68175156,0.30778362,0.00000000,0.01000576,0.14525210
-5.92796398,4.01731571,0.58647139,3.60983200,0.29652169,0.00000000,0.00982518,0.14345612
-5.92196098,3.93069087,0.58542232,3.52756281,0.28557244,0.00000000,0.00959162,0.14133586
-5.91595798,3.83413212,0.58369985,3.43603194,0.27501685,0.00000000,0.00931056,0.13892841
-5.90995498,3.72901900,0.58136771,3.33653887,0.26493232,0.00000000,0.00898841,0.13627896
-5.90395198,3.61692463,0.57849673,3.23056370,0.25538930,0.00000000,0.00863232,0.13343933
-5.89794897,3.49957831,0.57515848,3.11973447,0.24644877,0.00000000,0.00824985,0.13046636
-5.89194597,3.37882762,0.57141980,3.00579348,0.23816043,0.00000000,0.00784880,0.12742034
-5.88594297,3.25660066,0.56733851,2.89056351,0.23056175,0.00000000,0.00743691,0.12436345
-5.87993997,3.13486955,0.56296052,2.77591453,0.22367787,0.00000000,0.00702165,0.12135823
-5.87393697,3.01561559,0.55831841,2.66373162,0.21752210,0.00000000,0.00661005,0.11846621
-5.86793397,2.90079662,0.55343137,2.55588422,0.21209707,0.00000000,0.00620848,0.11574665
-5.86193097,2.79231686,0.54830655,2.45419722,0.20739637,0.00000000,0.00582259,0.11325536
-5.85592796,2.69199904,0.54294148,2.36042374,0.20340642,0.00000000,0.00545713,0.11104374
-5.84992496,2.60155895,0.53732727,2.27621979,0.20010848,0.00000000,0.00511599,0.10915785
-5.84392196,2.52258206,0.53145243,2.20312064,0.19748064,0.00000000,0.00480211,0.10763759
-5.83791896,2.45650200,0.52530672,2.14251870,0.19549955,0.00000000,0.00451749,0.10651603
