energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.56451271,0.00124715,0.10682706,0.40960301,0.02938912,0.75401814,0.30218904,0.74333922
-5.99399700,2.65681230,0.00140925,0.11047961,0.42677686,0.03039369,0.78291425,0.31449294,0.76748871
-5.98799400,2.73966717,0.00159153,0.11372984,0.44210247,0.03129508,0.80899885,0.32570985,0.78899526
-5.98199100,2.81148665,0.00179677,0.11651145,0.45527867,0.03207633,0.83179313,0.33564024,0.80742179
-5.97598799,2.87079982,0.00202804,0.11876288,0.46603599,0.03272184,0.85085666,0.34410117,0.82236078
-5.96998499,2.91630595,0.00228862,0.12042941,0.47414584,0.03321796,0.86580247,0.35093226,0.83344853
-5.96398199,2.94692186,0.00258200,0.12146507,0.47942860,0.03355349,0.87631100,0.35600120,0.84037859
-5.95797899,2.96182361,0.00291174,0.12183443,0.48176022,0.03372010,0.88214227,0.35920856,0.84291391
-5.95197599,2.96048055,0.00328135,0.12151402,0.48107700,0.03371269,0.88314566,0.36049169,0.84089690
-5.94597299,2.94267974,0.00369418,0.12049346,0.47737835,0.03352966,0.87926664,0.35982730,0.83425691
-5.93996998,2.90853934,0.00415324,0.11877610,0.47072716,0.03317300,0.87055025,0.35723269,0.82301483
-5.93396698,2.85851021,0.00466098,0.11637921,0.46124805,0.03264828,0.85714080,0.35276554,0.80728433
-5.92796398,2.79336527,0.00521912,0.11333369,0.44912328,0.03196453,0.83927802,0.34652212,0.78726987
-5.92196098,2.71417709,0.00582846,0.10968326,0.43458667,0.03113390,0.81728966,0.33863407,0.76326126
-5.91595798,2.62228475,0.00648865,0.10548324,0.41791574,0.03017134,0.79158082,0.32926387,0.73562528
-5.90995498,2.51925129,0.00719804,0.10079891,0.39942249,0.02909405,0.76262066,0.31859920,0.70479457
-5.90395198,2.40681391,0.00795348,0.09570353,0.37944325,0.02792092,0.73092691,0.30684647,0.67125431
-5.89794897,2.28682922,0.00875026,0.09027620,0.35832797,0.02667193,0.69704913,0.29422381,0.63552739
-5.89194597,2.16121605,0.00958205,0.08459949,0.33642962,0.02536749,0.66155137,0.28095388,0.59815870
-5.88594297,2.03189838,0.01044085,0.07875710,0.31409392,0.02402785,0.62499501,0.26725683,0.55969924
-5.87993997,1.90075094,0.01131714,0.07283157,0.29165003,0.02267244,0.58792267,0.25334374,0.52069070
-5.87393697,1.76954972,0.01219995,0.06690216,0.26940238,0.02131945,0.55084374,0.23941082,0.48165130
-5.86793397,1.63992926,0.01307718,0.06104293,0.24762407,0.01998529,0.51422217,0.22563461,0.44306315
-5.86193097,1.51334822,0.01393579,0.05532120,0.22655181,0.01868434,0.47846689,0.21216837,0.40536187
-5.85592796,1.39106410,0.01476227,0.04979622,0.20638274,0.01742869,0.44392515,0.19913965,0.36892855
-5.84992496,1.27411765,0.01554298,0.04451839,0.18727282,0.01622802,0.41087895,0.18664936,0.33408423
-5.84392196,1.16332679,0.01626468,0.03952866,0.16933704,0.01508965,0.37954428,0.17477185,0.30108708
-5.83791896,1.05928955,0.01691494,0.03485846,0.15265094,0.01401858,0.35007326,0.16355638,0.27013198
-5.83191596,0.96239497,0.01748271,0.03052981,0.13725348,0.01301778,0.32255852,0.15302940,0.24135239
-5.82591296,0.87284084,0.01795870,0.02655589,0.12315091,0.01208838,0.29703963,0.14319774,0.21482415
-5.81990995,0.79065661,0.01833585,0.02294168,0.11032127,0.01123006,0.27351104,0.13405228,0.19057093
-5.81390695,0.71573000,0.01860968,0.01968491,0.09871944,0.01044136,0.25193085,0.12557200,0.16857079
-5.80790395,0.64783560,0.01877856,0.01677710,0.08828224,0.00972013,0.23223007,0.11772806,0.14876353
-5.80190095,0.58666402,0.01884385,0.01420464,0.07893356,0.00906383,0.21432183,0.11048776,0.13105842
-5.79589795,0.53185012,0.01881001,0.01194994,0.07058911,0.00846993,0.19811001,0.10381820,0.11534189
-5.78989495,0.48299920,0.01868449,0.00999258,0.06316081,0.00793624,0.18349707,0.09768938,0.10148489
-5.78389195,0.43971024,0.01847760,0.00831030,0.05656054,0.00746115,0.17039069,0.09207675,0.08934967
-5.77788894,0.40159561,0.01820216,0.00688003,0.05070332,0.00704389,0.15870920,0.08696313,0.07879574
-5.77188594,0.36829674,0.01787313,0.00567873,0.04550983,0.00668470,0.14838548,0.08233987,0.06968500
-5.76588294,0.33949581,0.01750709,0.00468414,0.04090822,0.00638493,0.13936954,0.07820737,0.06188577
-5.75987994,0.31492353,0.01712170,0.00387541,0.03683538,0.00614713,0.13162983,0.07457508,0.05527594
-5.75387694,0.29436326,0.01673503,0.00323361,0.03323771,0.00597506,0.12515326,0.07146083,0.04974517
-5.74787394,0.27765196,0.01636496,0.00274211,0.03007136,0.00587366,0.11994431,0.06888990,0.04519617
-5.74187094,0.26467864,0.01602850,0.00238687,0.02730216,0.00584901,0.11602336,0.06689372,0.04154530
-5.73586793,0.25538057,0.01574115,0.00215666,0.02490538,0.00590822,0.11342441,0.06550847,0.03872251
-5.72986493,0.24973830,0.01551636,0.00204314,0.02286515,0.00605932,0.11219251,0.06477365,0.03667082
-5.72386193,0.24776957,0.01536498,0.00204091,0.02117399,0.00631115,0.11238105,0.06473070,0.03534538
