energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.25097969,0.00057760,0.09004995,0.25845270,0.16439231,0.00948308,0.67322728,0.37929407,0.16768994
-5.99399700,1.20455981,0.00053632,0.08457392,0.24940611,0.16061386,0.00923105,0.65134102,0.35731901,0.16265405
-5.98799400,1.16262514,0.00050062,0.07945853,0.24164869,0.15792078,0.00896131,0.63175855,0.33753927,0.15781707
-5.98199100,1.12581170,0.00047052,0.07478034,0.23528456,0.15640814,0.00867450,0.61479205,0.32024643,0.15326382
-5.97598799,1.09470273,0.00044600,0.07061037,0.23040298,0.15615820,0.00837217,0.60072823,0.30568078,0.14908332
-5.96998499,1.06981420,0.00042702,0.06701373,0.22707571,0.15723734,0.00805675,0.58981953,0.29402731,0.14536718
-5.96398199,1.05157997,0.00041348,0.06404938,0.22535406,0.15969293,0.00773131,0.58227492,0.28541292,0.14220753
-5.95797899,1.04033720,0.00040520,0.06177001,0.22526603,0.16355048,0.00739948,0.57825082,0.27990490,0.13969473
-5.95197599,1.03631297,0.00040195,0.06022200,0.22681360,0.16881096,0.00706523,0.57784259,0.27751074,0.13791494
-5.94597299,1.03961287,0.00040344,0.05944546,0.22997049,0.17544872,0.00673265,0.58107724,0.27817916,0.13694765
-5.93996998,1.05021229,0.00040930,0.05947433,0.23468058,0.18341009,0.00640582,0.58790786,0.28180251,0.13686334
-5.93396698,1.06795140,0.00041909,0.06033651,0.24085713,0.19261268,0.00608860,0.59821027,0.28822047,0.13772126
-5.92796398,1.09253429,0.00043231,0.06205398,0.24838313,0.20294577,0.00578451,0.61178228,0.29722496,0.13956765
-5.92196098,1.12353278,0.00044842,0.06464296,0.25711269,0.21427164,0.00549657,0.62834589,0.30856624,0.14243427
-5.91595798,1.16039513,0.00046682,0.06811415,0.26687368,0.22642803,0.00522725,0.64755260,0.32196011,0.14633750
-5.90995498,1.20245971,0.00048687,0.07247285,0.27747165,0.23923164,0.00497842,0.66899171,0.33709600,0.15127797
-5.90395198,1.24897330,0.00050793,0.07771921,0.28869474,0.25248265,0.00475133,0.69220155,0.35364581,0.15724070
-5.89794897,1.29911350,0.00052933,0.08384855,0.30031966,0.26597010,0.00454662,0.71668321,0.37127323,0.16419591
-5.89194597,1.35201442,0.00055041,0.09085161,0.31211834,0.27947801,0.00436440,0.74191622,0.38964324,0.17210030
-5.88594297,1.40679471,0.00057056,0.09871501,0.32386515,0.29279186,0.00420432,0.76737562,0.40843154,0.18089891
-5.87993997,1.46258665,0.00058917,0.10742168,0.33534413,0.30570531,0.00406566,0.79254952,0.42733346,0.19052733
-5.87393697,1.51856498,0.00060571,0.11695148,0.34635607,0.31802684,0.00394745,0.81695643,0.44607210,0.20091434
-5.86793397,1.57397425,0.00061970,0.12728184,0.35672500,0.32958586,0.00384859,0.84016140,0.46440522,0.21198473
-5.86193097,1.62815319,0.00063076,0.13838847,0.36630377,0.34023814,0.00376794,0.86179024,0.48213078,0.22366229
-5.85592796,1.68055503,0.00063858,0.15024623,0.37497833,0.34987026,0.00370443,0.88154106,0.49909063,0.23587277
-5.84992496,1.73076270,0.00064296,0.16282995,0.38267064,0.35840276,0.00365717,0.89919250,0.51517233,0.24854681
-5.84392196,1.77849812,0.00064378,0.17611531,0.38933985,0.36579198,0.00362546,0.91460820,0.53030900,0.26162247
-5.83791896,1.82362521,0.00064104,0.19007960,0.39498178,0.37203026,0.00360890,0.92773740,0.54447716,0.27504762
-5.83191596,1.86614633,0.00063485,0.20470254,0.39962673,0.37714478,0.00360734,0.93861150,0.55769265,0.28878164
-5.82591296,1.90619262,0.00062541,0.21996674,0.40333564,0.38119485,0.00362093,0.94733691,0.57000499,0.30279673
-5.81990995,1.94400848,0.00061301,0.23585816,0.40619498,0.38426793,0.00365007,0.95408460,0.58149045,0.31707850
-5.81390695,1.97993140,0.00059806,0.25236612,0.40831043,0.38647462,0.00369538,0.95907697,0.59224413,0.33162591
-5.80790395,2.01436803,0.00058101,0.26948320,0.40979998,0.38794280,0.00375764,0.96257281,0.60237173,0.34645042
-5.80190095,2.04776806,0.00056243,0.28720460,0.41078664,0.38881143,0.00383777,0.96485132,0.61198138,0.36157455
-5.79589795,2.08059718,0.00054295,0.30552736,0.41139140,0.38922412,0.00393674,0.96619608,0.62117603,0.37702970
-5.78989495,2.11331090,0.00052324,0.32444911,0.41172661,0.38932316,0.00405553,0.96687998,0.63004698,0.39285337
-5.78389195,2.14633049,0.00050405,0.34396663,0.41189048,0.38924400,0.00419511,0.96715198,0.63866884,0.40908597
-5.77788894,2.18002270,0.00048617,0.36407414,0.41196276,0.38911087,0.00435645,0.96722652,0.64709634,0.42576727
-5.77188594,2.21468416,0.00047046,0.38476156,0.41200211,0.38903343,0.00454047,0.96727626,0.65536319,0.44293271
-5.76588294,2.25053160,0.00045778,0.40601272,0.41204515,0.38910488,0.00474810,0.96742847,0.66348294,0.46060979
-5.75987994,2.28769838,0.00044906,0.42780374,0.41210736,0.38940155,0.00498036,0.96776537,0.67145208,0.47881477
-5.75387694,2.32623764,0.00044527,0.45010177,0.41218573,0.38998395,0.00523835,0.96832841,0.67925491,0.49754986
-5.74787394,2.36613186,0.00044739,0.47286414,0.41226312,0.39089916,0.00552341,0.96912611,0.68687006,0.51680115
-5.74187094,2.40730838,0.00045644,0.49603811,0.41231391,0.39218446,0.00583716,0.97014507,0.69427817,0.53653741
-5.73586793,2.44966003,0.00047346,0.51956132,0.41231074,0.39387188,0.00618161,0.97136341,0.70147030,0.55671009
-5.72986493,2.49306961,0.00049949,0.54336308,0.41223186,0.39599335,0.00655921,0.97276575,0.70845653,0.57725432
-5.72386193,2.53743681,0.00053560,0.56736633,0.41206868,0.39858607,0.00697294,0.97435884,0.71527408,0.59809119
-5.71785893,2.58270596,0.00058279,0.59149053,0.41183299,0.40169770,0.00742630,0.97618671,0.72199455,0.61913116
-5.71185593,2.62889273,0.00064205,0.61565506,0.41156344,0.40539095,0.00792333,0.97834439,0.72872965,0.64027844
-5.70585293,2.67610814,0.00071431,0.63978319,0.41133076,0.40974723,0.00846852,0.98098914,0.73563502,0.66143618
-5.69984992,2.72457792,0.00080038,0.66380639,0.41124145,0.41486894,0.00906674,0.98434835,0.74291170,0.68251221
-5.69384692,2.77465590,0.00090096,0.68766853,0.41143941,0.42088025,0.00972305,0.98872345,0.75080513,0.70342486
-5.68784392,2.82682982,0.00101656,0.71132992,0.41210556,0.42792598,0.01044248,0.99448912,0.75960140,0.72410869
-5.68184092,2.88171873,0.00114752,0.73477066,0.41345509,0.43616867,0.01122981,1.00208775,0.76962086,0.74451949
-5.67583792,2.94006127,0.00129390,0.75799309,0.41573245,0.44578381,0.01208922,1.01201884,0.78120915,0.76463831
-5.66983492,3.00269466,0.00145549,0.78102309,0.41920417,0.45695316,0.01302400,1.02482369,0.79472597,0.78447415
-5.66383192,3.07052465,0.00163178,0.80390992,0.42414967,0.46985670,0.01403620,1.04106581,0.81053183,0.80406493
-5.65782891,3.14448735,0.00182191,0.82672450,0.43085041,0.48466319,0.01512627,1.06130765,0.82897350,0.82347661
-5.65182591,3.22550407,0.00202463,0.84955612,0.43957777,0.50152002,0.01629276,1.08608457,0.85036847,0.84280036
-5.64582291,3.31443101,0.00223836,0.87250751,0.45058013,0.52054256,0.01753203,1.11587714,0.87498927,0.86214776
-5.63981991,3.41200591,0.00246110,0.89568866,0.46406970,0.54180376,0.01883803,1.15108287,0.90304816,0.88164425
-5.63381691,3.51879406,0.00269052,0.91920941,0.48020962,0.56532436,0.02020215,1.19198866,0.93468305,0.90142113
-5.62781391,3.63513638,0.00292394,0.94317147,0.49910194,0.59106428,0.02161315,1.23874539,0.96994523,0.92160640
-5.62181091,3.76110232,0.00315838,0.96766008,0.52077706,0.61891571,0.02305721,1.29134561,1.00878958,0.94231514
-5.61580790,3.89645021,0.00339062,0.99273602,0.54518512,0.64869837,0.02451805,1.34960591,1.05106790,0.96363983
-5.60980490,4.04059766,0.00361726,1.01842844,0.57218983,0.68015721,0.02597722,1.41315461,1.09652584,0.98564129
-5.60380190,4.19260413,0.00383480,1.04472901,0.60156518,0.71296288,0.02741444,1.48142600,1.14480369,1.00834085
-5.59779890,4.35116742,0.00403973,1.07158784,0.63299526,0.74671519,0.02880805,1.55366147,1.19544142,1.03171425
-5.59179590,4.51463521,0.00422859,1.09891165,0.66607744,0.78094944,0.03013555,1.62891810,1.24788785,1.05568771
-5.58579290,4.68103214,0.00439812,1.12656427,0.70032893,0.81514566,0.03137423,1.70608468,1.30151400,1.08013664
-5.57978989,4.84810205,0.00454528,1.15436975,0.73519665,0.84874048,0.03250178,1.78390484,1.35563007,1.10488689
-5.57378689,5.01336450,0.00466740,1.18211781,0.77007023,0.88114129,0.03349698,1.86100699,1.40950577,1.12971892
-5.56778389,5.17418357,0.00476224,1.20957165,0.80429768,0.91174216,0.03434038,1.93593981,1.46239312,1.15437443
-5.56178089,5.32784658,0.00482802,1.23647748,0.83720341,0.93994113,0.03501490,2.00721255,1.51355103,1.17856522
-5.55577789,5.47164956,0.00486353,1.26257539,0.86810775,0.96515799,0.03550640,2.07333834,1.56227051,1.20198391
-5.54977489,5.60298591,0.00486813,1.28761099,0.89634756,0.98685215,0.03580419,2.13287925,1.60789963,1.22431575
-5.54377189,5.71943444,0.00484178,1.31134689,0.92129688,1.00453964,0.03590138,2.18449114,1.64986702,1.24525103
-5.53776888,5.81884280,0.00478505,1.33357359,0.94238702,1.01780874,0.03579517,2.22696662,1.68770281,1.26449716
-5.53176588,5.89940255,0.00469907,1.35411889,0.95912517,1.02633352,0.03548699,2.25927447,1.72105611,1.28179000
-5.52576288,5.95971233,0.00458554,1.37285531,0.97111081,1.02988478,0.03498245,2.28059367,1.74970801,1.29690355
-5.51975988,5.99882618,0.00444663,1.38970497,0.97804925,1.02833785,0.03429123,2.29034084,1.77357949,1.30965760
-5.51375688,6.01628480,0.00428496,1.40464167,0.97976167,1.02167706,0.03342683,2.28818985,1.79273375,1.31992290
