energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,1.12548438,0.19783570,0.74653485,0.00102455,0.04502670,0.33834812,0.10905213,0.00301790,0.18898646
-5.99399700,1.12128419,0.19200919,0.75514707,0.00097840,0.04391588,0.32989756,0.10571811,0.00279059,0.18127801
-5.98799400,1.12009648,0.18643248,0.76608721,0.00093644,0.04287197,0.32176672,0.10271756,0.00258337,0.17382442
-5.98199100,1.12186190,0.18110011,0.77925425,0.00089903,0.04189078,0.31396177,0.10007402,0.00239700,0.16666000
-5.97598799,1.12643017,0.17599533,0.79447436,0.00086641,0.04096526,0.30647088,0.09780642,0.00223160,0.15981298
-5.96998499,1.13356485,0.17109155,0.81150528,0.00083872,0.04008588,0.29926530,0.09592858,0.00208675,0.15330514
-5.96398199,1.14295287,0.16635449,0.83004401,0.00081595,0.03924127,0.29230178,0.09444920,0.00196153,0.14715203
-5.95797899,1.15421846,0.16174494,0.84973772,0.00079798,0.03841895,0.28552577,0.09337232,0.00185461,0.14136378
-5.95197599,1.16694030,0.15722170,0.87019710,0.00078455,0.03760607,0.27887543,0.09269804,0.00176432,0.13594633
-5.94597299,1.18067101,0.15274464,0.89101152,0.00077528,0.03679021,0.27228586,0.09242350,0.00168878,0.13090288
-5.93996998,1.19495789,0.14827760,0.91176531,0.00076969,0.03596014,0.26569342,0.09254408,0.00162594,0.12623553
-5.93396698,1.20936364,0.14379105,0.93205422,0.00076720,0.03510648,0.25903980,0.09305454,0.00157366,0.12194680
-5.92796398,1.22348603,0.13926414,0.95150145,0.00076720,0.03422223,0.25227562,0.09395010,0.00152982,0.11804099
-5.92196098,1.23697551,0.13468630,0.96977220,0.00076903,0.03330317,0.24536329,0.09522744,0.00149237,0.11452526
-5.91595798,1.24954981,0.13005808,0.98658639,0.00077201,0.03234806,0.23827916,0.09688537,0.00145940,0.11141029
-5.90995498,1.26100479,0.12539134,1.00172855,0.00077550,0.03135874,0.23101470,0.09892522,0.00142914,0.10871051
-5.90395198,1.27122109,0.12070878,1.01505473,0.00077889,0.03033998,0.22357678,0.10135089,0.00140007,0.10644383
-5.89794897,1.28016622,0.11604283,1.02649592,0.00078163,0.02929923,0.21598714,0.10416854,0.00137089,0.10463096
-5.89194597,1.28789207,0.11143402,1.03605792,0.00078328,0.02824620,0.20828104,0.10738593,0.00134054,0.10329426
-5.88594297,1.29452792,0.10692891,1.04381756,0.00078346,0.02719239,0.20050524,0.11101138,0.00130823,0.10245626
-5.87993997,1.30026949,0.10257774,1.04991562,0.00078195,0.02615045,0.19271555,0.11505255,0.00127344,0.10213790
-5.87393697,1.30536446,0.09843195,1.05454671,0.00077863,0.02513364,0.18497390,0.11951496,0.00123587,0.10235661
-5.86793397,1.31009536,0.09454161,1.05794656,0.00077349,0.02415513,0.17734541,0.12440041,0.00119545,0.10312434
-5.86193097,1.31476056,0.09095301,1.06037747,0.00076669,0.02322741,0.16989526,0.12970548,0.00115233,0.10444571
-5.85592796,1.31965451,0.08770647,1.06211260,0.00075845,0.02236178,0.16268589,0.13541998,0.00110680,0.10631626
