energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.59267129,0.00426136,0.01161880,0.38036072,0.15820619,0.00669080,0.38546519,0.09838081,0.04212678
-5.99399700,0.59801428,0.00439723,0.01160245,0.41139097,0.15139183,0.00625868,0.39368266,0.10385171,0.04381058
-5.98799400,0.60775066,0.00463021,0.01162313,0.44603256,0.14549088,0.00585982,0.40491257,0.11081101,0.04576987
-5.98199100,0.62194853,0.00495768,0.01168396,0.48404479,0.14060247,0.00549823,0.41915472,0.11921193,0.04799269
-5.97598799,0.64061320,0.00537684,0.01178702,0.52513905,0.13681067,0.00517703,0.43636687,0.12899316,0.05046267
-5.96998499,0.66368651,0.00588460,0.01193348,0.56898002,0.13418406,0.00489834,0.45646447,0.14007779,0.05315925
-5.96398199,0.69104858,0.00647754,0.01212372,0.61518847,0.13277602,0.00466330,0.47932210,0.15237269,0.05605804
-5.95797899,0.72252169,0.00715192,0.01235750,0.66334579,0.13262541,0.00447200,0.50477625,0.16576817,0.05913137
-5.95197599,0.75787598,0.00790356,0.01263417,0.71300006,0.13375765,0.00432356,0.53262935,0.18013823,0.06234894
-5.94597299,0.79683647,0.00872786,0.01295284,0.76367347,0.13618595,0.00421619,0.56265475,0.19534131,0.06567863
-5.93996998,0.83909085,0.00961977,0.01331256,0.81487081,0.13991266,0.00414727,0.59460227,0.21122166,0.06908724
-5.93396698,0.88429751,0.01057377,0.01371246,0.86608858,0.14493039,0.00411348,0.62820399,0.22761120,0.07254136
-5.92796398,0.93209316,0.01158390,0.01415181,0.91682448,0.15122294,0.00411091,0.66317988,0.24433193,0.07600810
-5.92196098,0.98209952,0.01264374,0.01463010,0.96658663,0.15876578,0.00413522,0.69924285,0.26119875,0.07945574
-5.91595798,1.03392873,0.01374650,0.01514696,1.01490223,0.16752603,0.00418178,0.73610301,0.27802258,0.08285426
