energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
0.41120560,1.86697311,0.17140046,0.00018149,0.27745446,0.81801214,0.00362043,1.05937696
0.41720860,1.96686679,0.16080252,0.00017688,0.26289881,0.86055688,0.00330658,1.13648804
0.42321161,2.07295069,0.15209340,0.00017478,0.25129636,0.90571344,0.00308084,1.21570292
0.42921461,2.18354384,0.14521188,0.00017511,0.24251744,0.95271037,0.00295081,1.29599118
0.43521761,2.29689056,0.14008457,0.00017775,0.23641373,1.00074877,0.00292512,1.37627214
0.44122061,2.41121040,0.13663422,0.00018260,0.23283063,1.04902382,0.00301371,1.45544010
0.44722361,2.52474837,0.13478764,0.00018955,0.23161875,1.09674600,0.00322813,1.53239080
0.45322661,2.63582374,0.13448264,0.00019848,0.23264414,1.14316155,0.00358170,1.60604827
0.45922961,2.74287559,0.13567406,0.00020930,0.23579674,1.18757130,0.00408963,1.67539113
0.46523262,2.84450382,0.13833822,0.00022191,0.24099699,1.22934739,0.00476908,1.73947751
0.47123562,2.93950384,0.14247602,0.00023625,0.24820007,1.26794732,0.00563902,1.79746754
0.47723862,3.02689380,0.14811416,0.00025225,0.25739779,1.30292479,0.00672004,1.84864282
0.48324162,3.10593323,0.15530471,0.00026986,0.26861804,1.33393709,0.00803393,1.89242187
0.48924462,3.17613244,0.16412265,0.00028904,0.28192160,1.36074869,0.00960317,1.92837124
0.49524762,3.23725220,0.17466180,0.00030977,0.29739665,1.38323103,0.01145028,1.95621175
0.50125063,3.28929374,0.18702878,0.00033202,0.31515086,1.40135854,0.01359694,1.97581970
0.50725363,3.33247948,0.20133565,0.00035576,0.33530157,1.41520110,0.01606303,1.98722306
0.51325663,3.36722529,0.21769103,0.00038097,0.35796421,1.42491336,0.01886557,1.99059289
0.51925963,3.39410550,0.23619031,0.00040760,0.38323950,1.43072125,0.02201755,1.98623049
0.52526263,3.41381216,0.25690527,0.00043559,0.41119994,1.43290655,0.02552671,1.97455070
0.53126563,3.42711051,0.27987349,0.00046485,0.44187617,1.43178996,0.02939438,1.95606249
0.53726863,3.43479259,0.30508821,0.00049527,0.47524393,1.42771355,0.03361436,1.93134732
0.54327164,3.43763126,0.33248899,0.00052669,0.51121218,1.42102345,0.03817192,1.90103661
0.54927464,3.43633690,0.36195392,0.00055890,0.54961325,1.41205340,0.04304309,1.86578908
0.55527764,3.43151879,0.39329386,0.00059167,0.59019563,1.40111007,0.04819416,1.82626903
0.56128064,3.42365336,0.42624906,0.00062470,0.63262002,1.38846071,0.05358149,1.78312651
0.56728364,3.41306073,0.46048882,0.00065766,0.67645912,1.37432373,0.05915184,1.73697998
0.57328664,3.39989109,0.49561431,0.00069016,0.72120168,1.35886272,0.06484296,1.68840232
0.57928964,3.38412150,0.53116482,0.00072178,0.76626081,1.34218395,0.07058481,1.63791052
0.58529265,3.36556365,0.56662733,0.00075208,0.81098676,1.32433781,0.07630109,1.58595927
0.59129565,3.34388215,0.60144941,0.00078058,0.85468376,1.30532368,0.08191127,1.53293862
0.59729865,3.31862269,0.63505492,0.00080682,0.89663061,1.28509834,0.08733303,1.47917542
0.60330165,3.28924855,0.66686215,0.00083032,0.93610422,1.26358716,0.09248491,1.42493823
0.60930465,3.25518384,0.69630355,0.00085063,0.97240530,1.24069770,0.09728925,1.37044529
0.61530765,3.21586111,0.72284636,0.00086737,1.00488511,1.21633484,0.10167521,1.31587465
0.62131066,3.17077084,0.74601325,0.00088018,1.03297205,1.19041670,0.10558172,1.26137590
0.62731366,3.11951023,0.76540181,0.00088878,1.05619688,1.16289038,0.10896029,1.20708269
0.63331666,3.06182849,0.78070222,0.00089299,1.07421534,1.13374676,0.11177749,1.15312498
0.63931966,2.99766622,0.79171196,0.00089271,1.08682685,1.10303336,0.11401694,1.09964057
0.64532266,2.92718641,0.79834683,0.00088797,1.09398840,1.07086461,0.11568084,1.04678492
0.65132566,2.85079540,0.80064776,0.00087887,1.09582266,1.03742888,0.11679067,0.99473874
0.65732866,2.76915224,0.79878270,0.00086565,1.09261972,1.00299170,0.11738727,0.94371297
0.66333167,2.68316571,0.79304361,0.00084865,1.08483214,0.96789498,0.11753012,0.89395076
0.66933467,2.59397891,0.78383843,0.00082831,1.07306331,0.93255213,0.11729577,0.84572631
0.67533767,2.50294168,0.77167821,0.00080515,1.05804935,0.89743914,0.11677559,0.79934076
0.68134067,2.41157225,0.75716010,0.00077978,1.04063534,0.86308204,0.11607276,0.75511516
0.68734367,2.32150941,0.74094660,0.00075283,1.02174654,0.83004122,0.11529879,0.71338114
0.69334667,2.23445761,0.72374222,0.00072500,1.00235602,0.79889330,0.11456946,0.67446951
0.69934967,2.15212734,0.70626826,0.00069698,0.98344976,0.77021143,0.11400052,0.63869764
0.70535268,2.07617344,0.68923703,0.00066946,0.96599088,0.74454475,0.11370332,0.60635618
0.71135568,2.00813430,0.67332647,0.00064311,0.95088446,0.72239820,0.11378042,0.57769581
0.71735868,1.94937463,0.65915621,0.00061852,0.93894433,0.70421345,0.11432151,0.55291480
0.72336168,1.90103430,0.64726625,0.00059623,0.93086346,0.69035185,0.11539970,0.53214796
0.72936468,1.86398567,0.63809895,0.00057671,0.92718890,0.68108028,0.11706844,0.51545760
0.73536768,1.83880127,0.63198516,0.00056031,0.92830270,0.67656044,0.11935914,0.50282706
