energy_ev,total_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.94249635,0.67016776,0.48342600,1.23868623,1.23849037,0.00093610,0.72926755,0.01440192,1.35409573
-5.99399700,3.95522948,0.67388143,0.48873243,1.23215271,1.24175894,0.00092619,0.72850991,0.01490177,1.36562502
-5.98799400,3.96430734,0.67718236,0.49382413,1.22420429,1.24359711,0.00093154,0.72700776,0.01533482,1.37638934
-5.98199100,3.96927436,0.68002272,0.49868407,1.21478491,1.24381370,0.00095102,0.72461020,0.01569235,1.38631510
-5.97598799,3.96972028,0.68236209,0.50329455,1.20386535,1.24223110,0.00098367,0.72117416,0.01596713,1.39533483
-5.96998499,3.96528669,0.68416604,0.50763633,1.19144157,1.23869054,0.00102866,0.71657013,0.01615364,1.40338297
-5.96398199,3.95567359,0.68540489,0.51168775,1.17753304,1.23305722,0.00108529,0.71068796,0.01624831,1.41039207
-5.95797899,3.94064561,0.68605250,0.51542409,1.16218137,1.22522524,0.00115299,0.70344219,0.01624961,1.41628975
-5.95197599,3.92003764,0.68608548,0.51881698,1.14544892,1.21512187,0.00123124,0.69477676,0.01615812,1.42099659
-5.94597299,3.89375929,0.68548246,0.52183412,1.12741747,1.20271109,0.00131958,0.68466875,0.01597653,1.42442505
-5.93996998,3.86179775,0.68422374,0.52443914,1.10818680,1.18799604,0.00141756,0.67313086,0.01570954,1.42647944
-5.93396698,3.82421894,0.68229111,0.52659177,1.08787302,1.17102035,0.00152467,0.66021260,0.01536369,1.42705683
-5.92796398,3.78116649,0.67966781,0.52824819,1.06660657,1.15186815,0.00164031,0.64600000,0.01494711,1.42604895
-5.92196098,3.73285866,0.67633870,0.52936168,1.04452974,1.13066282,0.00176376,0.63061385,0.01446928,1.42334487
-5.91595798,3.67958324,0.67229054,0.52988351,1.02179387,1.10756461,0.00189412,0.61420661,0.01394066,1.41883430
-5.90995498,3.62169086,0.66751231,0.52976412,0.99855600,1.08276713,0.00203030,0.59695817,0.01337234,1.41241135
-5.90395198,3.55958697,0.66199573,0.52895442,0.97497532,1.05649310,0.00217099,0.57907070,0.01277570,1.40397861
-5.89794897,3.49372327,0.65573578,0.52740750,0.95120952,1.02898944,0.00231464,0.56076289,0.01216199,1.39345144
-5.89194597,3.42458917,0.64873142,0.52508036,0.92741122,1.00052230,0.00245948,0.54226396,0.01154208,1.38076224
-5.88594297,3.35270401,0.64098649,0.52193598,0.90372479,0.97137191,0.00260352,0.52380781,0.01092605,1.36586468
-5.87993997,3.27861061,0.63251072,0.51794536,0.88028384,0.94182800,0.00274462,0.50562758,0.01032302,1.34873780
-5.87393697,3.20287078,0.62332107,0.51308980,0.85720955,0.91218565,0.00288048,0.48795100,0.00974091,1.32938985
-5.86793397,3.12606316,0.61344323,0.50736311,0.83461019,0.88274198,0.00300874,0.47099663,0.00918635,1.30786179
-5.86193097,3.04878335,0.60291334,0.50077382,0.81258170,0.85379371,0.00312702,0.45497133,0.00866453,1.28423048
-5.85592796,2.97164646,0.59177990,0.49334723,0.79120963,0.82563561,0.00323301,0.44006873,0.00817932,1.25861134
-5.84992496,2.89529146,0.58010569,0.48512725,0.77057210,0.79855970,0.00332454,0.42646895,0.00773321,1.23116038
-5.84392196,2.82038687,0.56796974,0.47617793,0.75074381,0.77285512,0.00339967,0.41433915,0.00732751,1.20207557
-5.83791896,2.74763668,0.55546899,0.46658449,0.73180062,0.74880836,0.00345674,0.40383485,0.00696250,1.17159727
-5.83191596,2.67778579,0.54271969,0.45645389,0.71382450,0.72670356,0.00349445,0.39510162,0.00663758,1.14000764
-5.82591296,2.61162351,0.52985814,0.44591472,0.69690821,0.70682249,0.00351191,0.38827692,0.00635152,1.10762885
-5.81990995,2.54998420,0.51704085,0.43511628,0.68115954,0.68944397,0.00350867,0.38349157,0.00610269,1.07481989
-5.81390695,2.49374401,0.50444364,0.42422700,0.66670435,0.67484231,0.00348477,0.38087070,0.00588924,1.04197195
-5.80790395,2.44381278,0.49225990,0.41343190,0.65368831,0.66328454,0.00344072,0.38053377,0.00570935,1.00950226
-5.80190095,2.40112064,0.48069770,0.40292922,0.64227685,0.65502627,0.00337750,0.38259343,0.00556137,0.97784636
-5.79589795,2.36659909,0.46997578,0.39292626,0.63265316,0.65030613,0.00329650,0.38715332,0.00544394,0.94744899
-5.78989495,2.34115673,0.46031858,0.38363439,0.62501424,0.64933877,0.00319953,0.39430442,0.00535616,0.91875359
-5.78389195,2.32565021,0.45195031,0.37526351,0.61956495,0.65230666,0.00308868,0.40412043,0.00529756,0.89219092
-5.77788894,2.32085154,0.44508835,0.36801586,0.61651044,0.65935102,0.00296631,0.41665215,0.00526814,0.86816693
-5.77188594,2.32741300,0.43993616,0.36207969,0.61604715,0.67056219,0.00283497,0.43192123,0.00526833,0.84705045
-5.76588294,2.34583138,0.43667602,0.35762273,0.61835284,0.68597011,0.00269724,0.44991373,0.00529890,0.82916112
-5.75987994,2.37641347,0.43546201,0.35478585,0.62357636,0.70553539,0.00255573,0.47057386,0.00536084,0.81475817
-5.75387694,2.41924472,0.43641346,0.35367716,0.63182749,0.72914152,0.00241297,0.49379838,0.00545523,0.80403040
-5.74787394,2.47416301,0.43960924,0.35436678,0.64316760,0.75658898,0.00227131,0.51943221,0.00558301,0.79708813
-5.74187094,2.54073940,0.44508326,0.35688250,0.65760161,0.78759162,0.00213290,0.54726553,0.00574487,0.79395729
-5.73586793,2.61826722,0.45282134,0.36120664,0.67507179,0.82177585,0.00199961,0.57703280,0.00594107,0.79457620
-5.72986493,2.70576078,0.46275966,0.36727421,0.69545371,0.85868290,0.00187298,0.60841393,0.00617121,0.79879521
-5.72386193,2.80196432,0.47478494,0.37497259,0.71855471,0.89777440,0.00175424,0.64103779,0.00643414,0.80637932
-5.71785893,2.90537126,0.48873633,0.38414269,0.74411491,0.93844121,0.00164427,0.67448786,0.00672782,0.81701371
-5.71185593,3.01425351,0.50440891,0.39458183,0.77181082,0.98001530,0.00154361,0.70831020,0.00704927,0.83031216
-5.70585293,3.12669986,0.52155873,0.40604797,0.80126143,1.02178447,0.00145249,0.74202314,0.00739449,0.84582782
-5.69984992,3.24066200,0.53990911,0.41826552,0.83203640,1.06300919,0.00137082,0.77512859,0.00775848,0.86306611
-5.69384692,3.35400654,0.55915783,0.43093235,0.86366605,1.10294111,0.00129829,0.80712433,0.00813533,0.88149909
-5.68784392,3.46457067,0.57898513,0.44372776,0.89565272,1.14084243,0.00123434,0.83751682,0.00851830,0.90058076
-5.68184092,3.57021949,0.59906187,0.45632131,0.92748286,1.17600533,0.00117827,0.86583395,0.00889996,0.91976263
-5.67583792,3.66890236,0.61905773,0.46838194,0.95863951,1.20777067,0.00112924,0.89163719,0.00927240,0.93850896
-5.66983492,3.75870627,0.63864900,0.47958733,0.98861450,1.23554522,0.00108635,0.91453261,0.00962743,0.95631098
-5.66383192,3.83790396,0.65752573,0.48963295,1.01692005,1.25881667,0.00104864,0.93418025,0.00995685,0.97269972
-5.65782891,3.90499514,0.67539801,0.49824053,1.04309922,1.27716595,0.00101518,0.95030170,0.01025266,0.98725686
-5.65182591,3.95873941,0.69200123,0.50516569,1.06673509,1.29027632,0.00098508,0.96268531,0.01050735,0.99962329
-5.64582291,3.99817993,0.70710018,0.51020447,1.08745832,1.29793897,0.00095751,0.97118922,0.01071413,1.00950534
-5.63981991,4.02265749,0.72049202,0.51319841,1.10495297,1.30005514,0.00093171,0.97574201,0.01086716,1.01667836
