energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.88594297,2.76860888,0.00709381,0.24179200,1.45128663,0.41455915,0.94074434,0.66113147,0.01781174,1.30342055
-5.87993997,2.81857202,0.00732360,0.24943787,1.47114494,0.42261690,0.95451638,0.67940670,0.01772548,1.32212870
-5.87393697,2.86425576,0.00751976,0.25745022,1.48623400,0.42983496,0.96706991,0.69714065,0.01755362,1.33788941
-5.86793397,2.90575460,0.00767975,0.26584936,1.49644066,0.43624407,0.97818583,0.71442071,0.01730345,1.35069625
-5.86193097,2.94339419,0.00780198,0.27466604,1.50182655,0.44191037,0.98771578,0.73138347,0.01698412,1.36066950
-5.85592796,2.97772596,0.00788589,0.28394025,1.50263358,0.44693360,0.99559067,0.74820937,0.01660628,1.36805740
-5.84992496,3.00951054,0.00793196,0.29371913,1.49928260,0.45144383,1.00182539,0.76511470,0.01618168,1.37323199
-5.84392196,3.03969054,0.00794168,0.30405395,1.49236538,0.45559666,1.00651964,0.78234111,0.01572271,1.37667957
-5.83791896,3.06935376,0.00791756,0.31499646,1.48263014,0.45956714,1.00985475,0.80014335,0.01524197,1.37898626
-5.83191596,3.09968870,0.00786298,0.32659458,1.47096111,0.46354275,1.01208685,0.81877551,0.01475179,1.38081926
-5.82591296,3.13193445,0.00778218,0.33888785,1.45835316,0.46771568,1.01353660,0.83847677,0.01426384,1.38290466
-5.81990995,3.16732745,0.00768005,0.35190283,1.44588238,0.47227485,1.01457631,0.85945716,0.01378870,1.38600269
-5.81390695,3.20704770,0.00756204,0.36564866,1.43467371,0.47739808,1.01561480,0.88188426,0.01333556,1.39088171
-5.80790395,3.25216699,0.00743397,0.38011316,1.42586692,0.48324470,1.01708096,0.90587143,0.01291196,1.39829176
-5.80190095,3.30360155,0.00730191,0.39525960,1.42058206,0.48994902,1.01940657,0.93146836,0.01252364,1.40893895
-5.79589795,3.36207118,0.00717195,0.41102446,1.41988540,0.49761487,1.02300922,0.95865433,0.01217440,1.42346140
-5.78989495,3.42806649,0.00705008,0.42731623,1.42475710,0.50631156,1.02827584,0.98733455,0.01186615,1.44240772
-5.78389195,3.50182532,0.00694203,0.44401536,1.43606111,0.51607117,1.03554743,1.01733990,0.01159896,1.46621856
-5.77788894,3.58331899,0.00685314,0.46097550,1.45451841,0.52688744,1.04510552,1.04842986,0.01137117,1.49521163
-5.77188594,3.67224849,0.00678819,0.47802577,1.48068384,0.53871613,1.05716059,1.08029868,0.01117968,1.52957049
-5.76588294,3.76804990,0.00675137,0.49497422,1.51492710,0.55147667,1.07184271,1.11258424,0.01102012,1.56933717
-5.75987994,3.86990858,0.00674615,0.51161206,1.55741820,0.56505505,1.08919465,1.14487918,0.01088715,1.61440857
-5.75387694,3.97678059,0.00677520,0.52771869,1.60811754,0.57930770,1.10916737,1.17674387,0.01077478,1.66453642
-5.74787394,4.08742024,0.00684042,0.54306715,1.66677079,0.59406598,1.13161807,1.20772025,0.01067666,1.71933063
-5.74187094,4.20041210,0.00694281,0.55742981,1.73290867,0.60914127,1.15631067,1.23734616,0.01058633,1.77826568
-5.73586793,4.31420626,0.00708255,0.57058411,1.80585162,0.62433020,1.18291877,1.26516940,0.01049751,1.84068990
-5.72986493,4.42715534,0.00725895,0.58231804,1.88471954,0.63941990,1.21103090,1.29076088,0.01040433,1.90583726
-5.72386193,4.53755216,0.00747047,0.59243524,1.96844635,0.65419310,1.24015815,1.31372647,0.01030148,1.97284148
-5.71785893,4.64366728,0.00771474,0.60075953,2.05579960,0.66843291,1.26974398,1.33371715,0.01018440,2.04075234
-5.71185593,4.74378553,0.00798861,0.60713886,2.14540465,0.68192726,1.29917611,1.35043713,0.01004931,2.10855394
-5.70585293,4.83624125,0.00828819,0.61144848,2.23577348,0.69447285,1.32780037,1.36364992,0.00989335,2.17518474
-5.69984992,4.91945178,0.00860886,0.61359335,2.32533746,0.70587876,1.35493624,1.37318233,0.00971451,2.23955922
-5.69384692,4.99194914,0.00894539,0.61350990,2.41248371,0.71596965,1.37989383,1.37892644,0.00951165,2.30059091
-5.68784392,5.05240973,0.00929198,0.61116704,2.49559420,0.72458860,1.40199194,1.38083975,0.00928444,2.35721636
-5.68184092,5.09968181,0.00964233,0.60656655,2.57308665,0.73159969,1.42057671,1.37894383,0.00903331,2.40841977
-5.67583792,5.13281067,0.00998979,0.59974292,2.64345622,0.73689029,1.43504043,1.37332157,0.00875933,2.45325761
-5.66983492,5.15106099,0.01032745,0.59076267,2.70531659,0.74037322,1.44483972,1.36411345,0.00846413,2.49088267
-5.66383192,5.15393605,0.01064827,0.57972320,2.75743905,0.74198850,1.44951270,1.35151286,0.00814982,2.52056677
-5.65782891,5.14119305,0.01094520,0.56675125,2.79878837,0.74170503,1.44869426,1.33576099,0.00781885,2.54172132
-5.65182591,5.11285396,0.01121141,0.55200100,2.82855377,0.73952172,1.44212891,1.31714101,0.00747398,2.55391495
-5.64582291,5.06921100,0.01144036,0.53565177,2.84617382,0.73546833,1.42968058,1.29597211,0.00711816,2.55688738
-5.63981991,5.01082621,0.01162604,0.51790532,2.85135410,0.72960574,1.41133894,1.27260303,0.00675446,2.55055880
-5.63381691,4.93852430,0.01176309,0.49898288,2.84407665,0.72202549,1.38722169,1.24740542,0.00638604,2.53503417
-5.62781391,4.85337842,0.01184699,0.47912168,2.82460071,0.71284865,1.35757284,1.22076690,0.00601606,2.51060207
-5.62181091,4.75668866,0.01187416,0.45857117,2.79345433,0.70222385,1.32275676,1.19308385,0.00564767,2.47772777
-5.61580790,4.64995340,0.01184209,0.43758889,2.75141714,0.69032435,1.28324826,1.16475389,0.00528396,2.43704070
-5.60980490,4.53483389,0.01174944,0.41643592,2.69949470,0.67734432,1.23961891,1.13616832,0.00492795,2.38931648
-5.60380190,4.41311297,0.01159609,0.39537213,2.63888532,0.66349426,1.19252027,1.10770430,0.00458255,2.33545416
-5.59779890,4.28664914,0.01138315,0.37465125,2.57094064,0.64899564,1.14266449,1.07971721,0.00425059,2.27644942
-5.59179590,4.15732734,0.01111293,0.35451574,2.49712146,0.63407503,1.09080319,1.05253313,0.00393476,2.21336469
-5.58579290,4.02700832,0.01078889,0.33519186,2.41895048,0.61895780,1.03770545,1.02644184,0.00363761,2.14729734
-5.57978989,3.89747837,0.01041556,0.31688480,2.33796396,0.60386176,0.98413561,1.00169048,0.00336158,2.07934728
-5.57378689,3.77040156,0.00999834,0.29977425,2.25566406,0.58899086,0.93083208,0.97847822,0.00310897,2.01058511
-5.56778389,3.64727620,0.00954342,0.28401047,2.17347380,0.57452935,0.87848752,0.95695214,0.00288193,1.94202219
-5.56178089,3.52939754,0.00905754,0.26971100,2.09269636,0.56063657,0.82773157,0.93720457,0.00268250,1.87458377
-5.55577789,3.41782805,0.00854781,0.25695830,2.01448015,0.54744276,0.77911634,0.91927210,0.00251256,1.80908619
-5.54977489,3.31337673,0.00802149,0.24579827,1.93979100,0.53504590,0.73310532,0.90313644,0.00237383,1.74621898
-5.54377189,3.21658805,0.00748582,0.23623982,1.86939224,0.52350996,0.69006585,0.88872708,0.00226790,1.68653247
-5.53776888,3.12774111,0.00694779,0.22825560,1.80383330,0.51286448,0.65026544,0.87592585,0.00219620,1.63043120
-5.53176588,3.04685876,0.00641401,0.22178381,1.74344689,0.50310563,0.61387163,0.86457324,0.00215997,1.57817327
-5.52576288,2.97372628,0.00589052,0.21673114,1.68835463,0.49419861,0.58095541,0.85447625,0.00216024,1.52987522
-5.51975988,2.90791864,0.00538271,0.21297672,1.63848040,0.48608131,0.55149777,0.84541755,0.00219784,1.48552221
-5.51375688,2.84883482,0.00489520,0.21037698,1.59357069,0.47866912,0.52539888,0.83716560,0.00227330,1.44498264
-5.50775388,2.79573772,0.00443181,0.20877125,1.55322054,0.47186049,0.50248952,0.82948525,0.00238686,1.40802627
-5.50175088,2.74779768,0.00399553,0.20798801,1.51690396,0.46554304,0.48254403,0.82214859,0.00253838,1.37434506
-5.49574787,2.70413748,0.00358855,0.20785144,1.48400698,0.45959996,0.46529424,0.81494535,0.00272733,1.34357531
-5.48974487,2.66387700,0.00321225,0.20818816,1.45386212,0.45391620,0.45044391,0.80769263,0.00295268,1.31532021
-5.48374187,2.62617532,0.00286730,0.20883386,1.42578240,0.44838431,0.43768293,0.80024338,0.00321286,1.28917158
-5.47773887,2.59026867,0.00255374,0.20963968,1.39909355,0.44290948,0.42670086,0.79249340,0.00350574,1.26472989
-5.47173587,2.55550252,0.00227104,0.21047809,1.37316314,0.43741363,0.41719950,0.78438651,0.00382852,1.24162153
-5.46573287,2.52135681,0.00201823,0.21124805,1.34742546,0.43183833,0.40890391,0.77591768,0.00417778,1.21951293
-5.45972986,2.48746333,0.00179395,0.21187935,1.32140131,0.42614639,0.40157183,0.76713401,0.00454939,1.19812078
-5.45372686,2.45361505,0.00159662,0.21233600,1.29471217,0.42032210,0.39500121,0.75813356,0.00493857,1.17721837
-5.44772386,2.41976721,0.00142443,0.21261856,1.26708854,0.41437016,0.38903580,0.74906213,0.00533989,1.15663782
-5.44172086,2.38603086,0.00127552,0.21276536,1.23837237,0.40831344,0.38356874,0.74010810,0.00574736,1.13626865
-5.43571786,2.35265938,0.00114797,0.21285258,1.20851411,0.40218967,0.37854437,0.73149558,0.00615452,1.11605301
-5.42971486,2.32002927,0.00103991,0.21299322,1.17756482,0.39604735,0.37395805,0.72347629,0.00655452,1.09597813
-5.42371186,2.28861638,0.00094949,0.21333499,1.14566416,0.38994121,0.36985448,0.71632044,0.00694032,1.07606680
-5.41770885,2.25896898,0.00087499,0.21405717,1.11302525,0.38392740,0.36632441,0.71030697,0.00730482,1.05636666
-5.41170585,2.23167923,0.00081478,0.21536642,1.07991740,0.37805880,0.36350009,0.70571359,0.00764103,1.03693899
-5.40570285,2.20735436,0.00076734,0.21749181,1.04664773,0.37238080,0.36154951,0.70280707,0.00794232,1.01784796
-5.39969985,2.18658885,0.00073126,0.22067893,1.01354276,0.36692759,0.36066971,0.70183389,0.00820256,0.99915084
-5.39369685,2.16993866,0.00070524,0.22518336,0.98093082,0.36171942,0.36107920,0.70301177,0.00841633,0.98088994
-5.38769385,2.15789841,0.00068807,0.23126346,0.94912616,0.35676082,0.36300979,0.70652222,0.00857909,0.96308647
-5.38169085,2.15088210,0.00067859,0.23917266,0.91841527,0.35203983,0.36669775,0.71250423,0.00868730,0.94573675
-5.37568784,2.14920749,0.00067573,0.24915138,0.88904603,0.34752841,0.37237472,0.72104925,0.00873859,0.92881082
