energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.31321992,0.01120024,0.77988588,0.64795633,0.99971050,1.13617941,0.00000000,0.86922683,0.75925914
-5.99399700,3.37475100,0.01170337,0.79761705,0.66531770,1.01602467,1.15814865,0.00000000,0.89955808,0.77899555
-5.98799400,3.42917383,0.01217963,0.81261165,0.68213415,1.03094902,1.17860875,0.00000000,0.92793979,0.79655636
-5.98199100,3.47618881,0.01262026,0.82474026,0.69829279,1.04438025,1.19748210,0.00000000,0.95409306,0.81179169
-5.97598799,3.51561251,0.01301743,0.83392223,0.71369619,1.05622239,1.21472362,0.00000000,0.97778717,0.82459100
-5.96998499,3.54737434,0.01336445,0.84012740,0.72826137,1.06638711,1.23031629,0.00000000,0.99884361,0.83488436
-5.96398199,3.57151036,0.01365598,0.84337628,0.74191857,1.07479439,1.24426609,0.00000000,1.01713821,0.84264236
-5.95797899,3.58815475,0.01388813,0.84373860,0.75460991,1.08137371,1.25659673,0.00000000,1.03260158,0.84787477
-5.95197599,3.59752913,0.01405857,0.84133021,0.76628805,1.08606552,1.26734437,0.00000000,1.04521769,0.85062802
-5.94597299,3.59993016,0.01416656,0.83630859,0.77691497,1.08882301,1.27655253,0.00000000,1.05502071,0.85098153
-5.93996998,3.59571591,0.01421290,0.82886701,0.78646091,1.08961398,1.28426757,0.00000000,1.06209037,0.84904322
-5.93396698,3.58529160,0.01419985,0.81922771,0.79490341,1.08842260,1.29053474,0.00000000,1.06654591,0.84494425
-5.92796398,3.56909520,0.01413099,0.80763445,0.80222677,1.08525110,1.29539509,0.00000000,1.06853914,0.83883344
-5.92196098,3.54758342,0.01401105,0.79434457,0.80842156,1.08012097,1.29888327,0.00000000,1.06824683,0.83087154
-5.91595798,3.52121899,0.01384563,0.77962129,0.81348453,1.07307386,1.30102628,0.00000000,1.06586291,0.82122558
-5.90995498,3.49045937,0.01364101,0.76372623,0.81741870,1.06417188,1.30184325,0.00000000,1.06159085,0.81006382
-5.90395198,3.45574773,0.01340384,0.74691283,0.82023362,1.05349739,1.30134615,0.00000000,1.05563666,0.79755118
-5.89794897,3.41750632,0.01314087,0.72942065,0.82194584,1.04115218,1.29954139,0.00000000,1.04820275,0.78384573
-5.89194597,3.37613251,0.01285874,0.71147108,0.82257949,1.02725620,1.29643218,0.00000000,1.03948313,0.76909607
-5.88594297,3.33199758,0.01256369,0.69326430,0.82216680,1.01194574,1.29202143,0.00000000,1.02965982,0.75343985
-5.87993997,3.28544799,0.01226142,0.67497782,0.82074858,0.99537127,1.28631497,0.00000000,1.01890087,0.73700335
-5.87393697,3.23680888,0.01195685,0.65676626,0.81837456,0.97769495,1.27932493,0.00000000,1.00735978,0.71990205
-5.86793397,3.18638915,0.01165410,0.63876253,0.81510337,0.95908784,1.27107280,0.00000000,0.99517613,0.70224209
-5.86193097,3.13448759,0.01135637,0.62107998,0.81100220,0.93972703,1.26159216,0.00000000,0.98247743,0.68412234
-5.85592796,3.08139928,0.01106593,0.60381539,0.80614587,0.91979263,1.25093049,0.00000000,0.96938159,0.66563694
-5.84992496,3.02742136,0.01078415,0.58705235,0.80061552,0.89946470,1.23915019,0.00000000,0.95599985,0.64687792
-5.84392196,2.97285762,0.01051158,0.57086489,0.79449652,0.87892023,1.22632832,0.00000000,0.94243972,0.62793773
-5.83791896,2.91802116,0.01024802,0.55532081,0.78787600,0.85833015,1.21255524,0.00000000,0.92880756,0.60891146
-5.83191596,2.86323463,0.00999267,0.54048466,0.78083973,0.83785646,1.19793190,0.00000000,0.91521046,0.58989835
-5.82591296,2.80882789,0.00974424,0.52641991,0.77346871,0.81764953,1.18256615,0.00000000,0.90175718,0.57100267
-5.81990995,2.75513300,0.00950110,0.51319029,0.76583543,0.79784568,1.16656807,0.00000000,0.88855810,0.55233367
-5.81390695,2.70247682,0.00926141,0.50086017,0.75800022,0.77856503,1.15004463,0.00000000,0.87572383,0.53400468
-5.80790395,2.65117169,0.00902326,0.48949385,0.75000773,0.75990984,1.13309428,0.00000000,0.86336289,0.51613142
