energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.23374467,0.00078305,0.02028715,0.00025714,0.10497624,0.09949306,0.04367330
-5.99399700,0.26513977,0.00091546,0.02468945,0.00027863,0.11676503,0.11613301,0.05113562
-5.98799400,0.29962995,0.00106553,0.02986638,0.00030156,0.12925657,0.13500772,0.05966593
-5.98199100,0.33735890,0.00123462,0.03589948,0.00032581,0.14242410,0.15629310,0.06936018
-5.97598799,0.37845748,0.00142400,0.04286977,0.00035137,0.15623532,0.18015424,0.08031334
-5.96998499,0.42303855,0.00163480,0.05085526,0.00037843,0.17065303,0.20673871,0.09261647
-5.96398199,0.47119131,0.00186797,0.05992816,0.00040734,0.18563581,0.23616937,0.10635352
-5.95797899,0.52297532,0.00212418,0.07015204,0.00043865,0.20113863,0.26853689,0.12159795
-5.95197599,0.57841446,0.00240384,0.08157893,0.00047320,0.21711343,0.30389225,0.13840928
-5.94597299,0.63749106,0.00270703,0.09424647,0.00051209,0.23350974,0.34223953,0.15682972
-5.93996998,0.70014074,0.00303343,0.10817544,0.00055674,0.25027520,0.38352960,0.17688101
-5.93396698,0.76624807,0.00338236,0.12336750,0.00060897,0.26735611,0.42765481,0.19856175
-5.92796398,0.83564391,0.00375270,0.13980366,0.00067096,0.28469803,0.47444544,0.22184530
-5.92196098,0.90810446,0.00414296,0.15744325,0.00074534,0.30224647,0.52366804,0.24667847
-5.91595798,0.98335269,0.00455123,0.17622382,0.00083520,0.31994779,0.57502621,0.27298121
-5.90995498,1.06106226,0.00497527,0.19606188,0.00094409,0.33775023,0.62816392,0.30064726
-5.90395198,1.14086415,0.00541254,0.21685448,0.00107601,0.35560524,0.68267156,0.32954603
-5.89794897,1.22235601,0.00586028,0.23848180,0.00123546,0.37346902,0.73809473,0.35952549
-5.89194597,1.30511386,0.00631558,0.26081042,0.00142733,0.39130435,0.79394550,0.39041608
-5.88594297,1.38870587,0.00677546,0.28369744,0.00165690,0.40908249,0.84971582,0.42203554
-5.87993997,1.47270751,0.00723701,0.30699486,0.00192973,0.42678524,0.90489262,0.45419427
-5.87393697,1.55671720,0.00769741,0.33055445,0.00225163,0.44440687,0.95897377,0.48670105
-5.86793397,1.64037156,0.00815407,0.35423237,0.00262845,0.46195580,1.01148435,0.51936870
