energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.40328667,0.10697551,0.00083389,0.03312211,1.51344420,1.25686587,0.58875509
-5.99399700,2.41358230,0.10900357,0.00083959,0.03381688,1.51882382,1.24937929,0.59358411
-5.98799400,2.41607279,0.11069998,0.00084203,0.03446905,1.51925175,1.23726518,0.59729164
-5.98199100,2.41071427,0.11203864,0.00084128,0.03507072,1.51472221,1.22055606,0.59988711
-5.97598799,2.39759324,0.11299781,0.00083747,0.03561379,1.50531515,1.19937706,0.60139057
-5.96998499,2.37692854,0.11356068,0.00083080,0.03609015,1.49119692,1.17394691,0.60183255
-5.96398199,2.34906893,0.11371593,0.00082150,0.03649184,1.47261800,1.14457505,0.60125375
-5.95797899,2.31448646,0.11345801,0.00080988,0.03681131,1.44990785,1.11165529,0.59970452
-5.95197599,2.27376579,0.11278741,0.00079626,0.03704160,1.42346715,1.07565598,0.59724426
-5.94597299,2.22758999,0.11171073,0.00078103,0.03717658,1.39375769,1.03710759,0.59394061
-5.93996998,2.17672356,0.11024062,0.00076458,0.03721117,1.36129055,0.99658806,0.58986866
-5.93396698,2.12199348,0.10839555,0.00074732,0.03714153,1.32661306,0.95470682,0.58511004
-5.92796398,2.06426934,0.10619959,0.00072967,0.03696525,1.29029522,0.91208830,0.57975208
-5.92196098,2.00444328,0.10368195,0.00071204,0.03668155,1.25291631,0.86935575,0.57388708
-5.91595798,1.94341099,0.10087655,0.00069481,0.03629139,1.21505212,0.82711611,0.56761161
-5.90995498,1.88205435,0.09782153,0.00067834,0.03579758,1.17726368,0.78594669,0.56102602
-5.90395198,1.82122643,0.09455867,0.00066297,0.03520485,1.14008759,0.74638409,0.55423410
-5.89794897,1.76173945,0.09113288,0.00064898,0.03451988,1.10402844,0.70891581,0.54734288
-5.89194597,1.70435572,0.08759158,0.00063659,0.03375122,1.06955353,0.67397471,0.54046242
-5.88594297,1.64978186,0.08398419,0.00062601,0.03290926,1.03708961,0.64193633,0.53370582
-5.87993997,1.59866570,0.08036152,0.00061736,0.03200602,1.00702182,0.61311883,0.52718894
-5.87393697,1.55159584,0.07677525,0.00061074,0.03105497,0.97969415,0.58778531,0.52103017
-5.86793397,1.50910285,0.07327728,0.00060621,0.03007075,0.95541136,0.56614787,0.51534973
-5.86193097,1.47166176,0.06991920,0.00060378,0.02906882,0.93444147,0.54837299,0.51026874
-5.85592796,1.43969477,0.06675166,0.00060344,0.02806511,0.91701859,0.53458744,0.50590770
-5.84992496,1.41357348,0.06382367,0.00060516,0.02707561,0.90334537,0.52488422,0.50238451
-5.84392196,1.39362006,0.06118199,0.00060891,0.02611591,0.89359459,0.51932777,0.49981187
-5.83791896,1.38010652,0.05887033,0.00061462,0.02520076,0.88790953,0.51795803,0.49829409
-5.83191596,1.37325189,0.05692860,0.00062226,0.02434365,0.88640276,0.52079285,0.49792345
-5.82591296,1.37321705,0.05539216,0.00063176,0.02355634,0.88915332,0.52782850,0.49877610
-5.81990995,1.38009718,0.05429092,0.00064310,0.02284855,0.89620218,0.53903817,0.50090782
