energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.88178906,0.00205088,0.07329403,0.72827200,1.03431468,0.04181583,0.59652296
-5.99399700,1.89601964,0.00217391,0.07125262,0.71608285,1.05530096,0.04226037,0.59679220
-5.98799400,1.91029258,0.00230522,0.06901355,0.70193022,1.07781034,0.04265986,0.59663984
-5.98199100,1.92487706,0.00244316,0.06661009,0.68611100,1.10185131,0.04301407,0.59621879
-5.97598799,1.94009474,0.00258606,0.06407960,0.66896342,1.12744418,0.04332344,0.59570270
-5.96998499,1.95629373,0.00273228,0.06146195,0.65085326,1.15461028,0.04358879,0.59527564
-5.96398199,1.97382191,0.00288022,0.05879793,0.63215934,1.18336089,0.04381105,0.59512139
-5.95797899,1.99300085,0.00302830,0.05612773,0.61325913,1.21368686,0.04399107,0.59541298
-5.95197599,2.01410198,0.00317504,0.05348954,0.59451494,1.24554971,0.04412936,0.59630297
-5.94597299,2.03732630,0.00331903,0.05091823,0.57626138,1.27887468,0.04422607,0.59791489
-5.93996998,2.06278856,0.00345895,0.04844435,0.55879438,1.31354642,0.04428086,0.60033637
-5.93396698,2.09050663,0.00359357,0.04609331,0.54236228,1.34940731,0.04429296,0.60361403
-5.92796398,2.12039651,0.00372179,0.04388480,0.52715919,1.38625876,0.04426120,0.60775050
-5.92196098,2.15227279,0.00384259,0.04183255,0.51332075,1.42386508,0.04418407,0.61270354
-5.91595798,2.18585441,0.00395507,0.03994421,0.50092231,1.46195974,0.04405992,0.61838726
-5.90995498,2.22077498,0.00405841,0.03822161,0.48997948,1.50025346,0.04388702,0.62467524
-5.90395198,2.25659680,0.00415190,0.03666116,0.48045095,1.53844340,0.04366372,0.63140544
-5.89794897,2.29282767,0.00423490,0.03525438,0.47224314,1.57622300,0.04338862,0.63838638
-5.89194597,2.32893911,0.00430688,0.03398869,0.46521667,1.61329144,0.04306059,0.64540458
-5.88594297,2.36438523,0.00436734,0.03284819,0.45919407,1.64936230,0.04267893,0.65223246
-5.87993997,2.39862079,0.00441589,0.03181457,0.45396845,1.68417069,0.04224340,0.65863668
-5.87393697,2.43111790,0.00445222,0.03086802,0.44931279,1.71747849,0.04175422,0.66438636
-5.86793397,2.46138025,0.00447608,0.02998816,0.44498940,1.74907742,0.04121210,0.66926081
-5.86193097,2.48895473,0.00448734,0.02915487,0.44075927,1.77878981,0.04061817,0.67305664
-5.85592796,2.51343992,0.00448596,0.02834909,0.43639091,1.80646727,0.03997400,0.67559378
-5.84992496,2.53449152,0.00447201,0.02755354,0.43166839,1.83198759,0.03928146,0.67672048
-5.84392196,2.55182504,0.00444573,0.02675326,0.42639846,1.85525031,0.03854273,0.67631698
-5.83791896,2.56521608,0.00440750,0.02593610,0.42041636,1.87617151,0.03776020,0.67429800
-5.83191596,2.57449884,0.00435785,0.02509301,0.41359038,1.89467871,0.03693643,0.67061391
-5.82591296,2.57956353,0.00429753,0.02421824,0.40582493,1.91070631,0.03607415,0.66525089
-5.81990995,2.58035343,0.00422745,0.02330937,0.39706227,1.92419244,0.03517617,0.65822997
-5.81390695,2.57686216,0.00414872,0.02236723,0.38728283,1.93507764,0.03424546,0.64960536
-5.80790395,2.56913185,0.00406264,0.02139569,0.37650418,1.94330575,0.03328514,0.63946210
-5.80190095,2.55725259,0.00397068,0.02040139,0.36477900,1.94882730,0.03229850,0.62791331
-5.79589795,2.54136324,0.00387445,0.01939332,0.35219194,1.95160523,0.03128909,0.61509720
-5.78989495,2.52165380,0.00377569,0.01838237,0.33885583,1.95162277,0.03026080,0.60117397
-5.78389195,2.49836895,0.00367624,0.01738086,0.32490724,1.94889297,0.02921791,0.58632280
-5.77788894,2.47181241,0.00357796,0.01640205,0.31050186,1.94346911,0.02816518,0.57073895
-5.77188594,2.44235144,0.00348274,0.01545956,0.29580963,1.93545532,0.02710793,0.55463101
-5.76588294,2.41042093,0.00339239,0.01456697,0.28101010,1.92501638,0.02605213,0.53821835
-5.75987994,2.37652608,0.00330866,0.01373732,0.26628794,1.91238585,0.02500442,0.52172875
-5.75387694,2.34124318,0.00323314,0.01298273,0.25182901,1.89787161,0.02397223,0.50539604
-5.74787394,2.30521760,0.00316726,0.01231408,0.23781683,1.88185820,0.02296372,0.48945783
-5.74187094,2.26915864,0.00311224,0.01174075,0.22442975,1.86480522,0.02198786,0.47415309
-5.73586793,2.23383087,0.00306905,0.01127044,0.21183869,1.84724163,0.02105438,0.45971964
-5.72986493,2.20004189,0.00303842,0.01090909,0.20020554,1.82975589,0.02017376,0.44639141
-5.72386193,2.16862661,0.00302082,0.01066083,0.18968211,1.81298205,0.01935716,0.43439542
-5.71785893,2.14042863,0.00301648,0.01052807,0.18040966,1.79758241,0.01861635,0.42394855
-5.71185593,2.11627916,0.00302539,0.01051154,0.17251875,1.78422734,0.01796362,0.41525405
-5.70585293,2.09697442,0.00304732,0.01061053,0.16612942,1.77357325,0.01741163,0.40849787
-5.69984992,2.08325231,0.00308189,0.01082299,0.16135156,1.76623962,0.01697331,0.40384492
-5.69384692,2.07576947,0.00312857,0.01114580,0.15828526,1.76278622,0.01666162,0.40143535
-5.68784392,2.07507949,0.00318674,0.01157496,0.15702098,1.76369157,0.01648940,0.40138089
-5.68184092,2.08161328,0.00325574,0.01210583,0.15763958,1.76933352,0.01646907,0.40376154
-5.67583792,2.09566235,0.00333490,0.01273323,0.16021180,1.77997283,0.01661241,0.40862256
-5.66983492,2.11736538,0.00342359,0.01345171,0.16479743,1.79574041,0.01693021,0.41597194
-5.66383192,2.14669878,0.00352123,0.01425555,0.17144374,1.81662860,0.01743191,0.42577847
-5.65782891,2.18347108,0.00362732,0.01513887,0.18018347,1.84248667,0.01812520,0.43797038
-5.65182591,2.22732141,0.00374143,0.01609563,0.19103214,1.87302070,0.01901564,0.45243472
