energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.19716724,0.72096992,0.53637668,0.00391710,0.10706649,0.66988479,0.15480396,1.31439336,0.00000000
-5.99399700,2.18509916,0.71529103,0.53544767,0.00399413,0.10626122,0.66593858,0.15446887,1.30792752,0.00000000
-5.98799400,2.16708938,0.70778366,0.53277218,0.00404553,0.10538340,0.66033406,0.15371464,1.29761436,0.00000000
-5.98199100,2.14298162,0.69840632,0.52833566,0.00407019,0.10441093,0.65302962,0.15252816,1.28337594,0.00000000
-5.97598799,2.11282501,0.68718732,0.52217127,0.00406752,0.10333036,0.64405010,0.15091290,1.26526150,0.00000000
-5.96998499,2.07688158,0.67422686,0.51436105,0.00403757,0.10213783,0.63348758,0.14888936,1.24345108,0.00000000
-5.96398199,2.03562277,0.65969539,0.50503479,0.00398097,0.10083947,0.62149856,0.14649468,1.21825264,0.00000000
-5.95797899,1.98971521,0.64382828,0.49436644,0.00389891,0.09945108,0.60829774,0.14378144,1.19009267,0.00000000
-5.95197599,1.93999648,0.62691715,0.48256835,0.00379312,0.09799729,0.59414888,0.14081565,1.15950096,0.00000000
-5.94597299,1.88744207,0.60929831,0.46988350,0.00366582,0.09651015,0.57935301,0.13767401,1.12709008,0.00000000
-5.93996998,1.83312535,0.59133878,0.45657630,0.00351960,0.09502729,0.56423492,0.13444070,1.09353089,0.00000000
-5.93396698,1.77817263,0.57342086,0.44292220,0.00335735,0.09358971,0.54912841,0.13120374,1.05952510,0.00000000
-5.92796398,1.72371562,0.55592575,0.42919685,0.00318222,0.09223935,0.53436125,0.12805111,1.02577647,0.00000000
-5.92196098,1.67084374,0.53921733,0.41566519,0.00299742,0.09101665,0.52024052,0.12506692,0.99296196,0.00000000
-5.91595798,1.62055873,0.52362661,0.40257123,0.00280621,0.08995806,0.50703914,0.12232770,0.96170434,0.00000000
-5.90995498,1.57373376,0.50943794,0.39012883,0.00261176,0.08909381,0.49498421,0.11989907,0.93254766,0.00000000
-5.90395198,1.53107907,0.49687731,0.37851413,0.00241711,0.08844601,0.48424778,0.11783290,0.90593657,0.00000000
-5.89794897,1.49311582,0.48610357,0.36785988,0.00222502,0.08802711,0.47494039,0.11616520,0.88220071,0.00000000
-5.89194597,1.46015924,0.47720280,0.35825192,0.00203801,0.08783892,0.46710777,0.11491463,0.86154464,0.00000000
-5.88594297,1.43231195,0.47018616,0.34972805,0.00185824,0.08787214,0.46073073,0.11408201,0.84404391,0.00000000
-5.87993997,1.40946757,0.46499125,0.34227931,0.00168751,0.08810651,0.45572829,0.11365052,0.82964728,0.00000000
-5.87393697,1.39132426,0.46148700,0.33585343,0.00152727,0.08851150,0.45196378,0.11358683,0.81818498,0.00000000
-5.86793397,1.37740770,0.45948162,0.33036047,0.00137858,0.08904759,0.44925360,0.11384302,0.80938246,0.00000000
-5.86193097,1.36710191,0.45873354,0.32568015,0.00124216,0.08966801,0.44737833,0.11435920,0.80287901,0.00000000
-5.85592796,1.35968674,0.45896447,0.32167062,0.00111844,0.09032082,0.44609533,0.11506662,0.79825034,0.00000000
-5.84992496,1.35437991,0.45987425,0.31817815,0.00100754,0.09095141,0.44515261,0.11589139,0.79503382,0.00000000
-5.84392196,1.35038170,0.46115664,0.31504728,0.00090936,0.09150500,0.44430300,0.11675826,0.79275545,0.00000000
-5.83791896,1.34692015,0.46251536,0.31213100,0.00082362,0.09192932,0.44331808,0.11759465,0.79095707,0.00000000
-5.83191596,1.34329459,0.46367964,0.30930035,0.00074992,0.09217713,0.44200129,0.11833448,0.78922266,0.00000000
-5.82591296,1.33891550,0.46441861,0.30645311,0.00068779,0.09220856,0.44019952,0.11892175,0.78720244,0.00000000
-5.81990995,1.33333890,0.46455379,0.30352109,0.00063672,0.09199307,0.43781264,0.11931366,0.78463369,0.00000000
-5.81390695,1.32629357,0.46396913,0.30047577,0.00059622,0.09151107,0.43480069,0.11948315,0.78135732,0.00000000
-5.80790395,1.31769991,0.46261824,0.29733188,0.00056586,0.09075497,0.43118814,0.11942068,0.77732948,0.00000000
-5.80190095,1.30767959,0.46052825,0.29414892,0.00054531,0.08972970,0.42706533,0.11913520,0.77262747,0.00000000
-5.79589795,1.29655538,0.45780030,0.29103043,0.00053431,0.08845264,0.42258669,0.11865433,0.76744989,0.00000000
-5.78989495,1.28484120,0.45460652,0.28812098,0.00053275,0.08695304,0.41796601,0.11802352,0.76211079,0.00000000
-5.78389195,1.27322273,0.45118355,0.28560110,0.00054062,0.08527084,0.41346876,0.11730446,0.75702802,0.00000000
-5.77788894,1.26252924,0.44782295,0.28368025,0.00055803,0.08345496,0.40940184,0.11657264,0.75270633,0.00000000
-5.77188594,1.25369795,0.44485874,0.28258806,0.00058518,0.08156130,0.40610112,0.11591423,0.74971574,0.00000000
-5.76588294,1.24773218,0.44265271,0.28256432,0.00062234,0.07965035,0.40391717,0.11542235,0.74866612,0.00000000
-5.75987994,1.24565511,0.44157799,0.28384790,0.00066980,0.07778457,0.40319985,0.11519301,0.75017898,0.00000000
-5.75387694,1.24846108,0.44200155,0.28666516,0.00072789,0.07602574,0.40428222,0.11532070,0.75485762,0.00000000
