energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,4.01439979,0.01332399,0.52822418,1.78838641,1.40267283,0.05293576,1.85802063,1.14494789,0.43626453
-5.99399700,4.15119475,0.01390624,0.54279010,1.87955918,1.43210327,0.05758649,1.92193412,1.18702553,0.44879416
-5.98799400,4.31452436,0.01461411,0.55924091,1.98183726,1.46658892,0.06268111,2.00045970,1.23810508,0.46598637
-5.98199100,4.50384635,0.01544644,0.57753788,2.09499189,1.50594237,0.06818706,2.09340272,1.29821150,0.48789860
-5.97598799,4.71810936,0.01640088,0.59760174,2.21855516,1.54983459,0.07406113,2.20029375,1.36723376,0.51451165
-5.96998499,4.95574806,0.01747412,0.61931384,2.35180983,1.59780143,0.08024959,2.32038138,1.44491098,0.54572567
-5.96398199,5.21469107,0.01866210,0.64251860,2.49378589,1.64925495,0.08668853,2.45263106,1.53082060,0.58135769
-5.95797899,5.49238246,0.01996036,0.66702744,2.64326500,1.70349937,0.09330457,2.59573087,1.62436942,0.62114067
-5.95197599,5.78581754,0.02136426,0.69262406,2.79879346,1.75975130,0.10001593,2.74810458,1.72478822,0.66472453
-5.94597299,6.09159321,0.02286939,0.71907096,2.95870448,1.81716343,0.10673388,2.90793258,1.83113105,0.71167914
-5.93996998,6.40597229,0.02447179,0.74611707,3.12114967,1.87485108,0.11336444,3.07318075,1.94227979,0.76149953
-5.93396698,6.72496119,0.02616829,0.77350623,3.28413957,1.93192057,0.11981042,3.24163718,2.05695466,0.81361343
-5.92796398,7.04439904,0.02795673,0.80098619,3.44559232,1.98749849,0.12597367,3.41095625,2.17373114,0.86739102
-5.92196098,7.36005609,0.02983616,0.82831774,3.60338911,2.04076054,0.13175754,3.57870916,2.29106340,0.92215678
-5.91595798,7.66773836,0.03180697,0.85528358,3.75543447,2.09095899,0.13706934,3.74243971,2.40731394,0.97720340
-5.90995498,7.96339495,0.03387092,0.88169642,3.89971914,2.13744738,0.14182288,3.89972361,2.52078887,1.03180707
-5.90395198,8.24322390,0.03603108,0.90740592,4.03438280,2.17970140,0.14594088,4.04822936,2.62977798,1.08524401
-5.89794897,8.50377236,0.03829167,0.93230390,4.15777378,2.21733498,0.14935718,4.18577850,2.73259802,1.13680744
-5.89194597,8.74202671,0.04065774,0.95632758,4.26850271,2.25011057,0.15201866,4.31040275,2.82763778,1.18582456
-5.88594297,8.95548825,0.04313481,0.97946039,4.36548747,2.27794324,0.15388685,4.42039581,2.91340306,1.23167262
-5.87993997,9.14223112,0.04572838,1.00173023,4.44798669,2.30089797,0.15493905,4.51435731,2.98855942,1.27379371
-5.87393697,9.30093907,0.04844326,1.02320509,4.51561999,2.31918038,0.15516896,4.59122714,3.05197103,1.31170729
-5.86793397,9.43091946,0.05128299,1.04398608,4.56837348,2.33312100,0.15458687,4.65030835,3.10273350,1.34502022
-5.86193097,9.53209326,0.05424905,1.06419811,4.60658986,2.34315390,0.15321922,4.69127761,3.14019924,1.37343363
-5.85592796,9.60496179,0.05734020,1.08397861,4.63094338,2.34979054,0.15110774,4.71418280,3.16399406,1.39674643
-5.84992496,9.65055146,0.06055174,1.10346490,4.64240080,2.35359024,0.14830807,4.71942766,3.17402419,1.41485536
-5.84392196,9.67033968,0.06387492,1.12278070,4.64216996,2.35512857,0.14488801,4.70774461,3.17047343,1.42775164
-5.83791896,9.66616573,0.06729640,1.14202265,4.63163887,2.35496561,0.14092535,4.68015682,3.15379049,1.43551442
-5.83191596,9.64013136,0.07079792,1.16124767,4.61230816,2.35361537,0.13650553,4.63793180,3.12466749,1.43830160
-5.82591296,9.59449651,0.07435612,1.18046181,4.58572062,2.35151847,0.13171914,4.58252858,3.08401042,1.43633840
-5.81990995,9.53157562,0.07794261,1.19961142,4.55339140,2.34901917,0.12665930,4.51554128,3.03290343,1.42990451
-5.81390695,9.45364005,0.08152421,1.21857732,4.51674259,2.34634834,0.12141916,4.43864177,2.97256855,1.41932046
-5.80790395,9.36283144,0.08506352,1.23717240,4.47704537,2.34361316,0.11608954,4.35352393,2.90432289,1.40493393
-5.80190095,9.26109026,0.08851969,1.25514299,4.43537283,2.34079411,0.11075669,4.26185210,2.82953536,1.38710677
-5.79589795,9.15010252,0.09184937,1.27217413,4.39256530,2.33774947,0.10550048,4.16521562,2.74958479,1.36620321
-5.78989495,9.03126669,0.09500790,1.28789861,4.34920999,2.33422698,0.10039278,4.06509114,2.66582119,1.34257986
-5.78389195,8.90568123,0.09795061,1.30190949,4.30563517,2.32988196,0.09549635,3.96281365,2.57953161,1.31657773
-5.77788894,8.77415205,0.10063426,1.31377544,4.26191871,2.32430076,0.09086396,3.85955665,2.49191156,1.28851649
