energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,2.50067229,0.00259609,0.30461977,1.25183999,1.20256955,0.02283447,0.57866992
-5.99399700,2.51770716,0.00270227,0.30652930,1.26193289,1.20370907,0.02328483,0.58983404
-5.98799400,2.52869093,0.00280774,0.30706940,1.26780180,1.20150768,0.02370555,0.60075791
-5.98199100,2.53350526,0.00291198,0.30629296,1.26935406,1.19607836,0.02409096,0.61121711
-5.97598799,2.53219206,0.00301431,0.30429161,1.26660447,1.18761827,0.02443635,0.62099734
-5.96998499,2.52494461,0.00311392,0.30119337,1.25967250,1.17639930,0.02473808,0.62989774
-5.96398199,2.51209429,0.00320984,0.29715903,1.24877591,1.16275660,0.02499372,0.63773395
-5.95797899,2.49409355,0.00330098,0.29237722,1.23422120,1.14707573,0.02520202,0.64434096
-5.95197599,2.47149634,0.00338609,0.28705841,1.21639134,1.12977883,0.02536300,0.64957582
-5.94597299,2.44493642,0.00346384,0.28142805,1.19573116,1.11131047,0.02547789,0.65332006
-5.93996998,2.41510471,0.00353284,0.27571910,1.17273130,1.09212362,0.02554905,0.65548191
-5.93396698,2.38272612,0.00359166,0.27016405,1.14791093,1.07266606,0.02557990,0.65599814
-5.92796398,2.34853663,0.00363890,0.26498703,1.12180013,1.05336764,0.02557475,0.65483546
-5.92196098,2.31326109,0.00367325,0.26039593,1.09492248,1.03462862,0.02553866,0.65199136
-5.91595798,2.27759234,0.00369353,0.25657507,1.06777831,1.01680931,0.02547719,0.64749438
-5.90995498,2.24217191,0.00369877,0.25367858,1.04082925,1.00022113,0.02539622,0.64140352
-5.90395198,2.20757283,0.00368822,0.25182471,1.01448454,0.98511935,0.02530167,0.63380701
-5.89794897,2.17428483,0.00366145,0.25109140,0.98908948,0.97169740,0.02519926,0.62482016
-5.89194597,2.14270232,0.00361832,0.25151312,0.96491644,0.96008305,0.02509427,0.61458249
-5.88594297,2.11311537,0.00355907,0.25307931,0.94215851,0.95033644,0.02499131,0.60325413
-5.87993997,2.08570415,0.00348427,0.25573437,0.92092627,0.94244995,0.02489414,0.59101149
-5.87393697,2.06053680,0.00339485,0.25937927,0.90124753,0.93635006,0.02480545,0.57804264
-5.86793397,2.03757115,0.00329206,0.26387482,0.88307002,0.93190113,0.02472680,0.56454218
-5.86193097,2.01666005,0.00317748,0.26904634,0.86626715,0.92891100,0.02465856,0.55070610
-5.85592796,1.99756053,0.00305291,0.27468982,0.85064633,0.92713842,0.02459988,0.53672672
-5.84992496,1.97994633,0.00292037,0.28057910,0.83595971,0.92630197,0.02454878,0.52278784
-5.84392196,1.96342348,0.00278205,0.28647401,0.82191683,0.92609034,0.02450224,0.50906041
-5.83791896,1.94754848,0.00264017,0.29212905,0.80819877,0.92617364,0.02445643,0.49569878
-5.83191596,1.93184834,0.00249699,0.29730229,0.79447304,0.92621530,0.02440687,0.48283768
-5.82591296,1.91584167,0.00235473,0.30176411,0.78040886,0.92588417,0.02434874,0.47059008
-5.81990995,1.89906001,0.00221547,0.30530549,0.76569197,0.92486638,0.02427709,0.45904591
-5.81390695,1.88106850,0.00208115,0.30774542,0.75003847,0.92287655,0.02418719,0.44827163
-5.80790395,1.86148498,0.00195351,0.30893713,0.73320708,0.91966775,0.02407472,0.43831079
-5.80190095,1.83999684,0.00183403,0.30877298,0.71500939,0.91504004,0.02393610,0.42918530
-5.79589795,1.81637478,0.00172394,0.30718766,0.69531759,0.90884715,0.02376866,0.42089754
-5.78989495,1.79048311,0.00162422,0.30415974,0.67406949,0.90100110,0.02357078,0.41343302
-5.78389195,1.76228615,0.00153557,0.29971136,0.65127069,0.89147463,0.02334210,0.40676364
-5.77788894,1.73185079,0.00145847,0.29390634,0.62699386,0.88030148,0.02308347,0.40085130
-5.77188594,1.69934498,0.00139316,0.28684661,0.60137526,0.86757448,0.02279707,0.39565177
-5.76588294,1.66503274,0.00133969,0.27866732,0.57460887,0.85344188,0.02248631,0.39111867
-5.75987994,1.62926581,0.00129800,0.26953085,0.54693831,0.83810177,0.02215575,0.38720736
-5.75387694,1.59247264,0.00126787,0.25961995,0.51864726,0.82179538,0.02181099,0.38387866
-5.74787394,1.55514528,0.00124906,0.24913057,0.49004862,0.80479920,0.02145852,0.38110220
-5.74187094,1.51782468,0.00124128,0.23826441,0.46147312,0.78741647,0.02110553,0.37885928
-5.73586793,1.48108512,0.00124425,0.22722183,0.43325794,0.76996834,0.02075970,0.37714509
-5.72986493,1.44551824,0.00125772,0.21619515,0.40573556,0.75278494,0.02042905,0.37597013
-5.72386193,1.41171722,0.00128151,0.20536285,0.37922364,0.73619673,0.02012169,0.37536079
-5.71785893,1.38026138,0.00131548,0.19488462,0.35401589,0.72052612,0.01984566,0.37535901
-5.71185593,1.35170154,0.00135955,0.18489763,0.33037454,0.70607977,0.01960869,0.37602091
-5.70585293,1.32654640,0.00141371,0.17551392,0.30852428,0.69314140,0.01941807,0.37741443
-5.69984992,1.30524992,0.00147797,0.16681894,0.28864793,0.68196539,0.01928046,0.37961602
-5.69384692,1.28819999,0.00155231,0.15887132,0.27088366,0.67277102,0.01920168,0.38270655
-5.68784392,1.27570823,0.00163670,0.15170356,0.25532385,0.66573751,0.01918662,0.38676631
-5.68184092,1.26800118,0.00173104,0.14532368,0.24201529,0.66099974,0.01923906,0.39186973
-5.67583792,1.26521283,0.00183510,0.13971752,0.23096059,0.65864479,0.01936153,0.39807953
-5.66983492,1.26737876,0.00194850,0.13485157,0.22212059,0.65870922,0.01955518,0.40544107
-5.66383192,1.27443178,0.00207067,0.13067618,0.21541761,0.66117730,0.01981968,0.41397672
-5.65782891,1.28619963,0.00220086,0.12712886,0.21073925,0.66598006,0.02015316,0.42368096
-5.65182591,1.30240460,0.00233806,0.12413764,0.20794259,0.67299541,0.02055205,0.43451611
-5.64582291,1.32266544,0.00248105,0.12162419,0.20685868,0.68204936,0.02101116,0.44640924
-5.63981991,1.34650179,0.00262840,0.11950682,0.20729718,0.69291831,0.02152358,0.45925031
-5.63381691,1.37334105,0.00277849,0.11770305,0.20905093,0.70533263,0.02208078,0.47289174
-5.62781391,1.40252790,0.00292955,0.11613187,0.21190065,0.71898135,0.02267264,0.48714955
-5.62181091,1.43333639,0.00307971,0.11471564,0.21561936,0.73351803,0.02328765,0.50180598
-5.61580790,1.46498433,0.00322709,0.11338155,0.21997681,0.74856774,0.02391304,0.51661367
-5.60980490,1.49664979,0.00336983,0.11206278,0.22474374,0.76373483,0.02453503,0.53130119
-5.60380190,1.52748923,0.00350621,0.11069933,0.22969587,0.77861159,0.02513914,0.54557970
-5.59779890,1.55665678,0.00363473,0.10923863,0.23461779,0.79278719,0.02571047,0.55915056
-5.59179590,1.58332417,0.00375415,0.10763584,0.23930652,0.80585702,0.02623405,0.57171357
-5.58579290,1.60670049,0.00386362,0.10585407,0.24357488,0.81743184,0.02669526,0.58297547
-5.57978989,1.62605129,0.00396272,0.10386443,0.24725442,0.82714660,0.02708019,0.59265844
-5.57378689,1.64071633,0.00405150,0.10164593,0.25019803,0.83466863,0.02737600,0.60050814
-5.56778389,1.65012542,0.00413055,0.09918534,0.25228215,0.83970505,0.02757131,0.60630124
