energy_ev,total_up,Al_p_up,Al_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.27336100,0.01139117,0.00000000,0.08237616,0.10249186,0.00244801,0.06446342
-5.99399700,0.28047312,0.01276853,0.00000000,0.08712537,0.10168144,0.00280175,0.06370547
-5.98799400,0.28817867,0.01431002,0.00000000,0.09234753,0.10072342,0.00318732,0.06295765
-5.98199100,0.29643516,0.01600954,0.00000000,0.09799571,0.09962397,0.00360358,0.06220907
-5.97598799,0.30519685,0.01785910,0.00000000,0.10401480,0.09839526,0.00404877,0.06145233
-5.96998499,0.31441298,0.01984884,0.00000000,0.11034183,0.09705424,0.00452047,0.06068300
-5.96398199,0.32402628,0.02196712,0.00000000,0.11690660,0.09562121,0.00501558,0.05989904
-5.95797899,0.33397220,0.02420070,0.00000000,0.12363278,0.09411847,0.00553043,0.05910024
-5.95197599,0.34417869,0.02653493,0.00000000,0.13043943,0.09256897,0.00606078,0.05828765
-5.94597299,0.35456689,0.02895414,0.00000000,0.13724281,0.09099511,0.00660191,0.05746312
-5.93996998,0.36505254,0.03144190,0.00000000,0.14395870,0.08941778,0.00714878,0.05662891
-5.93396698,0.37554822,0.03398146,0.00000000,0.15050485,0.08785561,0.00769609,0.05578752
-5.92796398,0.38596600,0.03655609,0.00000000,0.15680364,0.08632448,0.00823847,0.05494156
-5.92196098,0.39622065,0.03914944,0.00000000,0.16278476,0.08483730,0.00877060,0.05409381
-5.91595798,0.40623281,0.04174584,0.00000000,0.16838774,0.08340402,0.00928733,0.05324740
-5.90995498,0.41593209,0.04433050,0.00000000,0.17356423,0.08203183,0.00978383,0.05240597
-5.90395198,0.42525962,0.04688963,0.00000000,0.17827981,0.08072545,0.01025571,0.05157404
-5.89794897,0.43416998,0.04941045,0.00000000,0.18251525,0.07948754,0.01069907,0.05075716
-5.89194597,0.44263218,0.05188106,0.00000000,0.18626714,0.07831912,0.01111059,0.04996217
-5.88594297,0.45062961,0.05429025,0.00000000,0.18954774,0.07721996,0.01148754,0.04919734
-5.87993997,0.45815877,0.05662715,0.00000000,0.19238410,0.07618888,0.01182779,0.04847230
-5.87393697,0.46522713,0.05888083,0.00000000,0.19481641,0.07522392,0.01212974,0.04779799
-5.86793397,0.47184981,0.06103992,0.00000000,0.19689571,0.07432249,0.01239233,0.04718633
-5.86193097,0.47804567,0.06309215,0.00000000,0.19868097,0.07348128,0.01261486,0.04664980
-5.85592796,0.48383286,0.06502396,0.00000000,0.20023573,0.07269613,0.01279700,0.04620094
-5.84992496,0.48922421,0.06682025,0.00000000,0.20162456,0.07196188,0.01293861,0.04585166
-5.84392196,0.49422285,0.06846421,0.00000000,0.20290927,0.07127207,0.01303970,0.04561256
-5.83791896,0.49881828,0.06993729,0.00000000,0.20414540,0.07061871,0.01310031,0.04549221
-5.83191596,0.50298338,0.07121943,0.00000000,0.20537887,0.06999215,0.01312047,0.04549641
-5.82591296,0.50667238,0.07228937,0.00000000,0.20664320,0.06938088,0.01310016,0.04562758
-5.81990995,0.50982022,0.07312529,0.00000000,0.20795726,0.06877161,0.01303927,0.04588421
-5.81390695,0.51234324,0.07370549,0.00000000,0.20932381,0.06814939,0.01293767,0.04626049
-5.80790395,0.51414118,0.07400923,0.00000000,0.21072881,0.06749787,0.01279522,0.04674608
-5.80190095,0.51510056,0.07401773,0.00000000,0.21214160,0.06679970,0.01261183,0.04732610
-5.79589795,0.51509913,0.07371513,0.00000000,0.21351586,0.06603714,0.01238758,0.04798132
-5.78989495,0.51401119,0.07308944,0.00000000,0.21479140,0.06519261,0.01212281,0.04868856
-5.78389195,0.51171346,0.07213342,0.00000000,0.21589658,0.06424944,0.01181819,0.04942131
-5.77788894,0.50809129,0.07084528,0.00000000,0.21675132,0.06319257,0.01147485,0.05015047
-5.77188594,0.50304468,0.06922928,0.00000000,0.21727055,0.06200925,0.01109443,0.05084533
-5.76588294,0.49649396,0.06729596,0.00000000,0.21736789,0.06068973,0.01067915,0.05147458
-5.75987994,0.48838478,0.06506221,0.00000000,0.21695945,0.05922780,0.01023186,0.05200748
-5.75387694,0.47869213,0.06255109,0.00000000,0.21596754,0.05762126,0.00975598,0.05241500
-5.74787394,0.46742329,0.05979129,0.00000000,0.21432415,0.05587222,0.00925553,0.05267098
-5.74187094,0.45461959,0.05681646,0.00000000,0.21197410,0.05398733,0.00873502,0.05275324
-5.73586793,0.44035683,0.05366425,0.00000000,0.20887760,0.05197775,0.00819940,0.05264459
-5.72986493,0.42474461,0.05037530,0.00000000,0.20501236,0.04985911,0.00765388,0.05233370
-5.72386193,0.40792441,0.04699198,0.00000000,0.20037488,0.04765121,0.00710386,0.05181578
-5.71785893,0.39006675,0.04355728,0.00000000,0.19498120,0.04537774,0.00655477,0.05109316
-5.71185593,0.37136747,0.04011351,0.00000000,0.18886684,0.04306583,0.00601190,0.05017551
-5.70585293,0.35204343,0.03670124,0.00000000,0.18208610,0.04074556,0.00548030,0.04908001
-5.69984992,0.33232775,0.03335826,0.00000000,0.17471074,0.03844943,0.00496464,0.04783114
-5.69384692,0.31246488,0.03011877,0.00000000,0.16682806,0.03621186,0.00446907,0.04646040
-5.68784392,0.29270559,0.02701266,0.00000000,0.15853860,0.03406860,0.00399719,0.04500568
-5.68184092,0.27330211,0.02406512,0.00000000,0.14995338,0.03205625,0.00355197,0.04351055
-5.67583792,0.25450353,0.02129634,0.00000000,0.14119094,0.03021171,0.00313569,0.04202334
-5.66983492,0.23655165,0.01872152,0.00000000,0.13237427,0.02857171,0.00274996,0.04059608
-5.66383192,0.21967716,0.01635100,0.00000000,0.12362772,0.02717235,0.00239574,0.03928330
-5.65782891,0.20409638,0.01419058,0.00000000,0.11507395,0.02604867,0.00207336,0.03814076
