energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.42934174,0.13150960,0.00000000,0.11562749,1.65618410,0.77181152,0.66037462
-5.99399700,3.43728204,0.13157317,0.00000000,0.11334822,1.67296501,0.77510678,0.65505793
-5.98799400,3.43489177,0.13097289,0.00000000,0.11078984,1.68636465,0.77560226,0.64779894
-5.98199100,3.42253122,0.12971896,0.00000000,0.10799626,1.69639428,0.77341982,0.63874047
-5.97598799,3.40073201,0.12783639,0.00000000,0.10501493,1.70310246,0.76874015,0.62805058
-5.96998499,3.37017724,0.12536429,0.00000000,0.10189582,1.70656886,0.76179706,0.61591767
-5.96398199,3.33167753,0.12235470,0.00000000,0.09869020,1.70689788,0.75286991,0.60254519
-5.95797899,3.28614440,0.11887106,0.00000000,0.09544941,1.70421253,0.74227444,0.58814605
-5.95197599,3.23456179,0.11498630,0.00000000,0.09222363,1.69864895,0.73035256,0.57293698
-5.94597299,3.17795741,0.11078071,0.00000000,0.08906065,1.69035181,0.71746134,0.55713300
-5.93996998,3.11737469,0.10633971,0.00000000,0.08600474,1.67947085,0.70396190,0.54094232
-5.93396698,3.05384701,0.10175147,0.00000000,0.08309564,1.66615874,0.69020860,0.52456173
-5.92796398,2.98837488,0.09710471,0.00000000,0.08036774,1.65057024,0.67653910,0.50817276
-5.92196098,2.92190718,0.09248651,0.00000000,0.07784945,1.63286273,0.66326567,0.49193866
-5.91595798,2.85532687,0.08798045,0.00000000,0.07556280,1.61319786,0.65066821,0.47600243
-5.90995498,2.78944172,0.08366493,0.00000000,0.07352330,1.59174424,0.63898919,0.46048572
-5.90395198,2.72497991,0.07961193,0.00000000,0.07174010,1.56868079,0.62843069,0.44548884
-5.89794897,2.66259033,0.07588603,0.00000000,0.07021631,1.54420048,0.61915357,0.43109162
-5.89194597,2.60284713,0.07254384,0.00000000,0.06894964,1.51851405,0.61127873,0.41735517
-5.88594297,2.54625752,0.06963375,0.00000000,0.06793319,1.49185350,0.60489021,0.40432427
-5.87993997,2.49327225,0.06719599,0.00000000,0.06715637,1.46447473,0.60003975,0.39203030
-5.87393697,2.44429724,0.06526294,0.00000000,0.06660597,1.43665934,0.59675259,0.38049443
-5.86793397,2.39970561,0.06385962,0.00000000,0.06626720,1.40871500,0.59503389,0.36973096
-5.86193097,2.35984873,0.06300427,0.00000000,0.06612479,1.38097445,0.59487530,0.35975049
-5.85592796,2.32506523,0.06270904,0.00000000,0.06616390,1.35379275,0.59626128,0.35056275
-5.84992496,2.29568721,0.06298057,0.00000000,0.06637100,1.32754289,0.59917461,0.34217902
-5.84392196,2.27204260,0.06382055,0.00000000,0.06673448,1.30260965,0.60360067,0.33461380
-5.83791896,2.25445354,0.06522606,0.00000000,0.06724510,1.27938188,0.60953023,0.32788574
-5.83191596,2.24323021,0.06718985,0.00000000,0.06789615,1.25824330,0.61696052,0.32201782
-5.82591296,2.23866038,0.06970029,0.00000000,0.06868336,1.23956207,0.62589441,0.31703660
-5.81990995,2.24099509,0.07274130,0.00000000,0.06960462,1.22367956,0.63633779,0.31297076
-5.81390695,2.25043098,0.07629196,0.00000000,0.07065940,1.21089850,0.64829528,0.30984883
-5.80790395,2.26709043,0.08032616,0.00000000,0.07184798,1.20147115,0.66176456,0.30769646
-5.80190095,2.29100052,0.08481206,0.00000000,0.07317061,1.19558783,0.67672970,0.30653308
-5.79589795,2.32207229,0.08971165,0.00000000,0.07462649,1.19336645,0.69315395,0.30636857
-5.78989495,2.36008173,0.09498041,0.00000000,0.07621275,1.19484343,0.71097257,0.30719968
-5.78389195,2.40465392,0.10056703,0.00000000,0.07792352,1.19996662,0.73008617,0.30900682
-5.77788894,2.45525174,0.10641350,0.00000000,0.07974902,1.20859071,0.75035524,0.31175124
-5.77188594,2.51117047,0.11245538,0.00000000,0.08167487,1.22047539,0.77159627,0.31537283
-5.76588294,2.57153905,0.11862246,0.00000000,0.08368162,1.23528681,0.79357991,0.31978876
-5.75987994,2.63532883,0.12483980,0.00000000,0.08574455,1.25260229,0.81603159,0.32489309
-5.75387694,2.70137002,0.13102904,0.00000000,0.08783371,1.27191853,0.83863459,0.33055737
-5.74787394,2.76837552,0.13711010,0.00000000,0.08991433,1.29266311,0.86103582,0.33663244
-5.74187094,2.83497174,0.14300312,0.00000000,0.09194751,1.31420902,0.88285400,0.34295121
-5.73586793,2.89973511,0.14863058,0.00000000,0.09389120,1.33589183,0.90369003,0.34933246
-5.72986493,2.96123306,0.15391952,0.00000000,0.09570139,1.35702891,0.92313919,0.35558549
-5.72386193,3.01806747,0.15880375,0.00000000,0.09733357,1.37693987,0.94080441,0.36151546
