energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.38655841,0.43522198,0.48619087,0.00346403,0.01342405,0.01804592,0.87613106,0.21966628,0.05640844
-5.99399700,1.37614968,0.43981925,0.47992557,0.00348608,0.01353107,0.01702897,0.87230081,0.22186658,0.05583079
-5.98799400,1.36885748,0.44576231,0.47369934,0.00349196,0.01375395,0.01607086,0.87067343,0.22433255,0.05557110
-5.98199100,1.36454792,0.45292321,0.46751740,0.00348102,0.01409712,0.01517117,0.87112982,0.22699098,0.05561597
-5.97598799,1.36304916,0.46115656,0.46138624,0.00345302,0.01456328,0.01432821,0.87352401,0.22976938,0.05594728
-5.96998499,1.36416083,0.47030367,0.45531583,0.00340812,0.01515332,0.01353940,0.87768968,0.23259822,0.05654288
-5.96398199,1.36766144,0.48019622,0.44932111,0.00334687,0.01586608,0.01280144,0.88344540,0.23541289,0.05737712
-5.95797899,1.37331338,0.49065938,0.44342230,0.00327024,0.01669828,0.01211063,0.89059849,0.23815491,0.05842144
-5.95197599,1.38086546,0.50151443,0.43764432,0.00317951,0.01764430,0.01146307,0.89894736,0.24077274,0.05964488
-5.94597299,1.39005356,0.51258073,0.43201522,0.00307630,0.01869611,0.01085487,0.90828272,0.24322198,0.06101449
-5.93996998,1.40059948,0.52367748,0.42656394,0.00296246,0.01984310,0.01028225,0.91838769,0.24546511,0.06249575
-5.93396698,1.41220910,0.53462516,0.42131749,0.00284004,0.02107211,0.00974172,0.92903757,0.24747093,0.06405300
-5.92796398,1.42457036,0.54524700,0.41629810,0.00271120,0.02236737,0.00923008,0.93999946,0.24921376,0.06564980
-5.92196098,1.43735200,0.55537062,0.41152034,0.00257814,0.02371065,0.00874449,0.95103244,0.25067261,0.06724937
-5.91595798,1.45020382,0.56483006,0.40698876,0.00244303,0.02508140,0.00828248,0.96188860,0.25183035,0.06881509
-5.90995498,1.46275907,0.57346822,0.40269622,0.00230798,0.02645706,0.00784192,0.97231544,0.25267315,0.07031102
-5.90395198,1.47463938,0.58113988,0.39862307,0.00217492,0.02781347,0.00742101,0.98205973,0.25319017,0.07170252
-5.89794897,1.48546239,0.58771520,0.39473744,0.00204563,0.02912529,0.00701822,0.99087296,0.25337359,0.07295691
-5.89194597,1.49485201,0.59308359,0.39099649,0.00192164,0.03036666,0.00663226,0.99851827,0.25321895,0.07404418
-5.88594297,1.50245079,0.59715783,0.38734875,0.00180426,0.03151179,0.00626204,1.00477852,0.25272592,0.07493778
-5.87993997,1.50793394,0.59987813,0.38373728,0.00169455,0.03253569,0.00590663,1.00946514,0.25189917,0.07561530
-5.87393697,1.51102384,0.60121583,0.38010346,0.00159332,0.03341492,0.00556524,1.01242702,0.25074949,0.07605916
-5.86793397,1.51150426,0.60117648,0.37639114,0.00150113,0.03412826,0.00523719,1.01355899,0.24929481,0.07625724
-5.86193097,1.50923305,0.59980178,0.37255081,0.00141835,0.03465746,0.00492191,1.01280895,0.24756116,0.07620328
-5.85592796,1.50415217,0.59717035,0.36854341,0.00134513,0.03498779,0.00461890,1.01018313,0.24558317,0.07589721
-5.84992496,1.49629423,0.59339685,0.36434360,0.00128148,0.03510860,0.00432777,1.00574880,0.24340433,0.07534521
-5.84392196,1.48578455,0.58862936,0.35994201,0.00122724,0.03501369,0.00404820,0.99963401,0.24107644,0.07455952
-5.83791896,1.47283841,0.58304498,0.35534644,0.00118214,0.03470150,0.00377997,0.99202398,0.23865863,0.07355807
-5.83191596,1.45775304,0.57684370,0.35058172,0.00114585,0.03417525,0.00352292,0.98315421,0.23621561,0.07236383
