energy_ev,total_up,Au_p_up,Au_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-5.61580790,1.63979844,0.68214352,1.19662424,0.12823370,0.00000000,0.19737427,0.00000000
-5.60980490,1.57143599,0.66372940,1.13670971,0.12688823,0.00000000,0.19323634,0.00000000
-5.60380190,1.52089796,0.64863412,1.09190680,0.12616059,0.00000000,0.19072209,0.00000000
-5.59779890,1.48740579,0.63677648,1.06146427,0.12600324,0.00000000,0.18986487,0.00000000
-5.59179590,1.47011810,0.62800656,1.04459917,0.12635963,0.00000000,0.19068705,0.00000000
-5.58579290,1.46818419,0.62212185,1.04054102,0.12716751,0.00000000,0.19320352,0.00000000
-5.57978989,1.48079155,0.61888429,1.04857006,0.12836245,0.00000000,0.19742488,0.00000000
-5.57378689,1.50720531,0.61803716,1.06804791,0.12988099,0.00000000,0.20336001,0.00000000
-5.56778389,1.54679764,0.61932096,1.09843952,0.13166364,0.00000000,0.21101776,0.00000000
-5.56178089,1.59906585,0.62248732,1.13932552,0.13365729,0.00000000,0.22040759,0.00000000
-5.55577789,1.66363857,0.62731026,1.19040456,0.13581700,0.00000000,0.23153905,0.00000000
-5.54977489,1.74026976,0.63359435,1.25148610,0.13810715,0.00000000,0.24441996,0.00000000
-5.54377189,1.82882146,0.64117946,1.32247390,0.14050177,0.00000000,0.25905359,0.00000000
-5.53776888,1.92923621,0.64994198,1.40334174,0.14298420,0.00000000,0.27543473,0.00000000
-5.53176588,2.04150142,0.65979291,1.49410273,0.14554597,0.00000000,0.29354512,0.00000000
-5.52576288,2.16560791,0.67067300,1.59477431,0.14818518,0.00000000,0.31334847,0.00000000
-5.51975988,2.30150558,0.68254574,1.70534122,0.15090438,0.00000000,0.33478556,0.00000000
-5.51375688,2.44905950,0.69538891,1.82571896,0.15370817,0.00000000,0.35776976,0.00000000
-5.50775388,2.60800948,0.70918542,1.95572023,0.15660070,0.00000000,0.38218348,0.00000000
-5.50175088,2.77793644,0.72391453,2.09502688,0.15958321,0.00000000,0.40787597,0.00000000
-5.49574787,2.95823840,0.73954404,2.24316946,0.16265196,0.00000000,0.43466285,0.00000000
-5.48974487,3.14811822,0.75602446,2.39951631,0.16579647,0.00000000,0.46232761,0.00000000
-5.48374187,3.34658494,0.77328543,2.56327332,0.16899841,0.00000000,0.49062523,0.00000000
-5.47773887,3.55246911,0.79123505,2.73349497,0.17223114,0.00000000,0.51928801,0.00000000
-5.47173587,3.76445209,0.80976215,2.90910645,0.17545993,0.00000000,0.54803344,0.00000000
-5.46573287,3.98110792,0.82874132,3.08893603,0.17864291,0.00000000,0.57657380,0.00000000
-5.45972986,4.20095546,0.84804059,3.27175576,0.18173267,0.00000000,0.60462711,0.00000000
-5.45372686,4.42251780,0.86753094,3.45632824,0.18467837,0.00000000,0.63192888,0.00000000
-5.44772386,4.64438488,0.88709715,3.64145645,0.18742824,0.00000000,0.65824396,0.00000000
-5.44172086,4.86527524,0.90664890,3.82603324,0.18993234,0.00000000,0.68337786,0.00000000
-5.43571786,5.08409221,0.92613136,4.00908699,0.19214529,0.00000000,0.70718676,0.00000000
-5.42971486,5.29997029,0.94553427,4.18981991,0.19402887,0.00000000,0.72958553,0.00000000
-5.42371186,5.51230778,0.96489857,4.36763590,0.19555422,0.00000000,0.75055323,0.00000000
-5.41770885,5.72078244,0.98432000,4.54215542,0.19670359,0.00000000,0.77013549,0.00000000
-5.41170585,5.92534814,1.00394898,4.71321542,0.19747139,0.00000000,0.78844355,0.00000000
-5.40570285,6.12621146,1.02398662,4.88085363,0.19786453,0.00000000,0.80564973,0.00000000
-5.39969985,6.32378873,1.04467661,5.04527730,0.19790204,0.00000000,0.82197950,0.00000000
-5.39369685,6.51864518,1.06629336,5.20681770,0.19761397,0.00000000,0.83770033,0.00000000
-5.38769385,6.71141941,1.08912685,5.36587269,0.19703952,0.00000000,0.85310779,0.00000000
-5.38169085,6.90273710,1.11346476,5.52284052,0.19622476,0.00000000,0.86850961,0.00000000
-5.37568784,7.09311935,1.13957291,5.67804888,0.19521988,0.00000000,0.88420830,0.00000000
-5.36968484,7.28289096,1.16767498,5.83168368,0.19407615,0.00000000,0.90048335,0.00000000
-5.36368184,7.47209466,1.19793257,5.98372202,0.19284295,0.00000000,0.91757382,0.00000000
-5.35767884,7.66041692,1.23042678,6.13387404,0.19156482,0.00000000,0.93566213,0.00000000
-5.35167584,7.84713028,1.26514226,6.28153773,0.19027892,0.00000000,0.95486006,0.00000000
-5.34567284,8.03105664,1.30195482,6.42577002,0.18901279,0.00000000,0.97519757,0.00000000
-5.33966983,8.21055437,1.34062314,6.56527678,0.18778286,0.00000000,0.99661495,0.00000000
-5.33366683,8.38353103,1.38078547,6.69842303,0.18659345,0.00000000,1.01895899,0.00000000
-5.32766383,8.54748192,1.42196129,6.82326373,0.18543654,0.00000000,1.04198309,0.00000000
-5.32166083,8.69955322,1.46355842,6.93759395,0.18429222,0.00000000,1.06535161,0.00000000
-5.31565783,8.83662713,1.50488509,7.03901667,0.18312970,0.00000000,1.08864817,0.00000000
-5.30965483,8.95542522,1.54516678,7.12502468,0.18190902,0.00000000,1.11138764,0.00000000
-5.30365183,9.05262504,1.58356726,7.19309313,0.18058311,0.00000000,1.13303129,0.00000000
-5.29764882,9.12498488,1.61921292,7.24077791,0.17910023,0.00000000,1.15300456,0.00000000
-5.29164582,9.16947048,1.65121960,7.26581543,0.17740668,0.00000000,1.17071664,0.00000000
-5.28564282,9.18337820,1.67872081,7.26621886,0.17544949,0.00000000,1.18558113,0.00000000
-5.27963982,9.16444891,1.70089635,7.24036650,0.17317913,0.00000000,1.19703693,0.00000000
-5.27363682,9.11096777,1.71700015,7.18707815,0.17055196,0.00000000,1.20456861,0.00000000
-5.26763382,9.02184571,1.72638637,7.10567642,0.16753253,0.00000000,1.20772536,0.00000000
-5.26163082,8.89667942,1.72853265,6.99603024,0.16409535,0.00000000,1.20613789,0.00000000
-5.25562781,8.73578771,1.72305969,6.85857917,0.16022634,0.00000000,1.19953264,0.00000000
-5.24962481,8.54022331,1.70974644,6.69433795,0.15592378,0.00000000,1.18774278,0.00000000
-5.24362181,8.31176008,1.68854031,6.50488125,0.15119873,0.00000000,1.17071558,0.00000000
-5.23761881,8.05285683,1.65956197,6.29231014,0.14607504,0.00000000,1.14851598,0.00000000
-5.23161581,7.76659961,1.62310459,6.05920170,0.14058884,0.00000000,1.12132628,0.00000000
-5.22561281,7.45662520,1.57962765,5.80854436,0.13478762,0.00000000,1.08944185,0.00000000
-5.21960980,7.12702912,1.52974537,5.54366179,0.12872898,0.00000000,1.05326339,0.00000000
-5.21360680,6.78226173,1.47421037,5.26812823,0.12247908,0.00000000,1.01328569,0.00000000
-5.20760380,6.42701640,1.41389314,4.98567856,0.11611079,0.00000000,0.97008376,0.00000000
-5.20160080,6.06611357,1.34975795,4.70011632,0.10970183,0.00000000,0.92429655,0.00000000
-5.19559780,5.70438459,1.28283642,4.41522245,0.10333270,0.00000000,0.87660911,0.00000000
-5.18959480,5.34655899,1.21419934,4.13466789,0.09708472,0.00000000,0.82773381,0.00000000
-5.18359180,4.99715848,1.14492807,3.86193210,0.09103808,0.00000000,0.77839137,0.00000000
-5.17758879,4.66040059,1.07608639,3.60023003,0.08527013,0.00000000,0.72929228,0.00000000
-5.17158579,4.34011437,1.00869385,3.35244891,0.07985371,0.00000000,0.68111941,0.00000000
-5.16558279,4.03967028,0.94370144,3.12109654,0.07485593,0.00000000,0.63451230,0.00000000
-5.15957979,3.76192563,0.88197046,2.90826165,0.07033707,0.00000000,0.59005368,0.00000000
-5.15357679,3.50918647,0.82425510,2.71558732,0.06634988,0.00000000,0.54825856,0.00000000
-5.14757379,3.28318650,0.77118937,2.54425721,0.06293917,0.00000000,0.50956624,0.00000000
-5.14157079,3.08508280,0.72327837,2.39499472,0.06014172,0.00000000,0.47433529,0.00000000
-5.13556778,2.91546776,0.68089428,2.26807442,0.05798649,0.00000000,0.44284159,0.00000000
-5.12956478,2.77439621,0.64427678,2.16334493,0.05649509,0.00000000,0.41527923,0.00000000
-5.12356178,2.66142613,0.61353761,2.08026204,0.05568249,0.00000000,0.39176414,0.00000000
-5.11755878,2.57567103,0.58866892,2.01793081,0.05555786,0.00000000,0.37233994,0.00000000
-5.11155578,2.51586171,0.56955472,1.97515467,0.05612555,0.00000000,0.35698582,0.00000000
-5.10555278,2.48041473,0.55598483,1.95049001,0.05738607,0.00000000,0.34562564,0.00000000
-5.09954977,2.46750482,0.54767045,1.94230380,0.05933704,0.00000000,0.33813804,0.00000000
-5.09354677,2.47513829,0.54426067,1.94883253,0.06197400,0.00000000,0.33436672,0.00000000
-5.08754377,2.50122446,0.54535908,1.96823989,0.06529103,0.00000000,0.33413055,0.00000000
-5.08154077,2.54364229,0.55053977,1.99867139,0.06928113,0.00000000,0.33723280,0.00000000
-5.07553777,2.60029960,0.55936189,2.03830382,0.07393628,0.00000000,0.34346926,0.00000000
-5.06953477,2.66918272,0.57138254,2.08538785,0.07924717,0.00000000,0.35263469,0.00000000
-5.06353177,2.74839476,0.58616718,2.13828239,0.08520260,0.00000000,0.36452739,0.00000000
-5.05752876,2.83618134,0.60329769,2.19547980,0.09178855,0.00000000,0.37895184,0.00000000
-5.05152576,2.93094356,0.62237767,2.25562138,0.09898698,0.00000000,0.39571920,0.00000000
-5.04552276,3.03123816,0.64303529,2.31750321,0.10677443,0.00000000,0.41464597,0.00000000
-5.03951976,3.13576625,0.66492385,2.38007297,0.11512049,0.00000000,0.43555089,0.00000000
-5.03351676,3.24335210,0.68772042,2.44241869,0.12398629,0.00000000,0.45825058,0.00000000
-5.02751376,3.35291447,0.71112319,2.50375110,0.13332312,0.00000000,0.48255420,0.00000000
-5.02151076,3.46343334,0.73484801,2.56338138,0.14307132,0.00000000,0.50825781,0.00000000
-5.01550775,3.57391515,0.75862485,2.62069660,0.15315956,0.00000000,0.53513895,0.00000000
-5.00950475,3.68335988,0.78219474,2.67513491,0.16350465,0.00000000,0.56295196,0.00000000
-5.00350175,3.79073316,0.80530776,2.72616303,0.17401200,0.00000000,0.59142463,0.00000000
-4.99749875,3.89494629,0.82772271,2.77325771,0.18457668,0.00000000,0.62025668,0.00000000
-4.99149575,3.99484647,0.84920851,2.81589321,0.19508536,0.00000000,0.64912046,0.00000000
-4.98549275,4.08921897,0.86954778,2.85353577,0.20541879,0.00000000,0.67766401,0.00000000
-4.97948974,4.17680193,0.88854237,2.88564593,0.21545501,0.00000000,0.70551681,0.00000000
-4.97348674,4.25631378,0.90602074,2.91168869,0.22507313,0.00000000,0.73229788,0.00000000
-4.96748374,4.32649220,0.92184678,2.93115108,0.23415746,0.00000000,0.75762625,0.00000000
-4.96148074,4.38614273,0.93592940,2.94356582,0.24260180,0.00000000,0.78113325,0.00000000
-4.95547774,4.43419436,0.94823243,2.94853976,0.25031381,0.00000000,0.80247625,0.00000000
-4.94947474,4.46975889,0.95878382,2.94578484,0.25721906,0.00000000,0.82135309,0.00000000
-4.94347174,4.49219033,0.96768354,2.93514947,0.26326467,0.00000000,0.83751652,0.00000000
-4.93746873,4.50114081,0.97510937,2.91664802,0.26842221,0.00000000,0.85078806,0.00000000
-4.93146573,4.49660909,0.98131988,2.89048608,0.27268976,0.00000000,0.86107035,0.00000000
-4.92546273,4.47897867,0.98665411,2.85707968,0.27609292,0.00000000,0.86835753,0.00000000
-4.91945973,4.44904254,0.99152759,2.81706661,0.27868471,0.00000000,0.87274290,0.00000000
-4.91345673,4.40801280,0.99642450,2.77130895,0.28054428,0.00000000,0.87442355,0.00000000
-4.90745373,4.35751384,1.00188611,2.72088595,0.28177453,0.00000000,0.87370163,0.00000000
-4.90145073,4.29955899,1.00849572,2.66707737,0.28249856,0.00000000,0.87098208,0.00000000
-4.89544772,4.23651113,1.01686064,2.61133773,0.28285532,0.00000000,0.86676690,0.00000000
-4.88944472,4.17102892,1.02759190,2.55526252,0.28299445,0.00000000,0.86164617,0.00000000
-4.88344172,4.10600062,1.04128251,2.50054762,0.28307062,0.00000000,0.85628602,0.00000000
-4.87743872,4.04446833,1.05848520,2.44894391,0.28323767,0.00000000,0.85141416,0.00000000
-4.87143572,3.98954570,1.07969068,2.40220877,0.28364271,0.00000000,0.84780331,0.00000000
-4.86543272,3.94433237,1.10530736,2.36205653,0.28442061,0.00000000,0.84625328,0.00000000
-4.85942971,3.91182823,1.13564351,2.33010982,0.28568892,0.00000000,0.84757204,0.00000000
-4.85342671,3.89485078,1.17089269,2.30785360,0.28754364,0.00000000,0.85255664,0.00000000
