energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.63527564,0.03834635,0.00000000,1.53135027,0.95614554,0.01183455,1.61202988
-5.99399700,2.65159915,0.03933253,0.00000000,1.54032799,0.96791505,0.01227644,1.61586719
-5.98799400,2.66658781,0.04044665,0.00000000,1.54691465,0.98028231,0.01276443,1.61707596
-5.98199100,2.68082481,0.04169496,0.00000000,1.55132584,0.99348818,0.01330079,1.61601858
-5.97598799,2.69497047,0.04308151,0.00000000,1.55382546,1.00779436,0.01388706,1.61312193
-5.96998499,2.70973646,0.04460769,0.00000000,1.55471211,1.02347563,0.01452387,1.60886291
-5.96398199,2.72585563,0.04627166,0.00000000,1.55430373,1.04080988,0.01521077,1.60375138
-5.95797899,2.74404866,0.04806798,0.00000000,1.55292128,1.06006652,0.01594602,1.59831098
-5.95197599,2.76498912,0.04998726,0.00000000,1.55087224,1.08149346,0.01672647,1.59305877
-5.94597299,2.78926843,0.05201594,0.00000000,1.54843491,1.10530349,0.01754741,1.58848469
-5.93996998,2.81736268,0.05413627,0.00000000,1.54584425,1.13166063,0.01840253,1.58503165
-5.93396698,2.84960289,0.05632638,0.00000000,1.54328006,1.16066721,0.01928387,1.58307744
-5.92796398,2.88615054,0.05856064,0.00000000,1.54085822,1.19235257,0.02018188,1.58291925
-5.92196098,2.92697972,0.06081009,0.00000000,1.53862540,1.22666410,0.02108553,1.58476177
-5.91595798,2.97186725,0.06304321,0.00000000,1.53655769,1.26346129,0.02198250,1.58870940
-5.90995498,3.02039155,0.06522670,0.00000000,1.53456319,1.30251344,0.02285939,1.59476318
-5.90395198,3.07194078,0.06732653,0.00000000,1.53248846,1.34350143,0.02370205,1.60282272
-5.89794897,3.12573028,0.06930905,0.00000000,1.53012865,1.38602370,0.02449590,1.61269300
-5.89194597,3.18082868,0.07114218,0.00000000,1.52724064,1.42960656,0.02522636,1.62409593
-5.88594297,3.23619198,0.07279664,0.00000000,1.52355866,1.47371833,0.02587924,1.63668613
-5.87993997,3.29070393,0.07424708,0.00000000,1.51881151,1.51778712,0.02644120,1.65007008
-5.87393697,3.34322108,0.07547323,0.00000000,1.51274044,1.56122113,0.02690012,1.66382778
-5.86793397,3.39262029,0.07646082,0.00000000,1.50511674,1.60343084,0.02724552,1.67753578
-5.86193097,3.43784649,0.07720234,0.00000000,1.49575807,1.64385179,0.02746894,1.69079021
-5.85592796,3.47795807,0.07769756,0.00000000,1.48454264,1.68196680,0.02756420,1.70322874
-5.84992496,3.51216771,0.07795380,0.00000000,1.47142030,1.71732651,0.02752764,1.71455006
-5.84392196,3.53987639,0.07798585,0.00000000,1.45642003,1.74956683,0.02735828,1.72452972
-5.83791896,3.56069861,0.07781564,0.00000000,1.43965313,1.77842259,0.02705791,1.73303160
-5.83191596,3.57447747,0.07747159,0.00000000,1.42131212,1.80373621,0.02663100,1.74001392
-5.82591296,3.58128861,0.07698766,0.00000000,1.40166494,1.82546101,0.02608467,1.74552969
-5.81990995,3.58143261,0.07640220,0.00000000,1.38104501,1.84365890,0.02542842,1.74972132
-5.81390695,3.57541633,0.07575649,0.00000000,1.35983734,1.85849227,0.02467393,1.75280965
-5.80790395,3.56392389,0.07509326,0.00000000,1.33846142,1.87021087,0.02383468,1.75507802
-5.80190095,3.54777905,0.07445502,0.00000000,1.31735175,1.87913400,0.02292562,1.75685226
-5.79589795,3.52790096,0.07388242,0.00000000,1.29693699,1.88562941,0.02196267,1.75847777
-5.78989495,3.50525569,0.07341271,0.00000000,1.27761874,1.89008989,0.02096238,1.76029510
-5.78389195,3.48080644,0.07307821,0.00000000,1.25975123,1.89290923,0.01994142,1.76261546
-5.77788894,3.45546525,0.07290512,0.00000000,1.24362286,1.89445880,0.01891621,1.76569779
-5.77188594,3.43004887,0.07291252,0.00000000,1.22944074,1.89506645,0.01790251,1.76972882
-5.76588294,3.40524157,0.07311167,0.00000000,1.21731904,1.89499890,0.01691505,1.77480748
-5.75987994,3.38156688,0.07350570,0.00000000,1.20727192,1.89444892,0.01596729,1.78093466
-5.75387694,3.35936993,0.07408960,0.00000000,1.19921151,1.89352792,0.01507114,1.78800916
-5.74787394,3.33881133,0.07485067,0.00000000,1.19295103,1.89226473,0.01423683,1.79583029
-5.74187094,3.31987288,0.07576918,0.00000000,1.18821318,1.89061031,0.01347279,1.80410688
-5.73586793,3.30237448,0.07681943,0.00000000,1.18464324,1.88844839,0.01278563,1.81247247
-5.72986493,3.28600122,0.07797103,0.00000000,1.18182642,1.88561118,0.01218014,1.82050587
-5.72386193,3.27033859,0.07919034,0.00000000,1.17930854,1.88189907,0.01165938,1.82775571
-5.71785893,3.25491360,0.08044202,0.00000000,1.17661899,1.87710312,0.01122478,1.83376783
-5.71185593,3.23923904,0.08169063,0.00000000,1.17329476,1.87102875,0.01087629,1.83811361
-5.70585293,3.22285783,0.08290211,0.00000000,1.16890448,1.86351900,0.01061252,1.84041772
-5.69984992,3.20538481,0.08404515,0.00000000,1.16307089,1.85447581,0.01043092,1.84038352
-5.69384692,3.18654295,0.08509230,0.00000000,1.15549099,1.84387785,0.01032792,1.83781448
-5.68784392,3.16619181,0.08602086,0.00000000,1.14595238,1.83179357,0.01029909,1.83263041
-5.68184092,3.14434645,0.08681344,0.00000000,1.13434542,1.81838860,0.01033927,1.82487737
-5.67583792,3.12118539,0.08745814,0.00000000,1.12067013,1.80392684,0.01044267,1.81473064
-5.66983492,3.09704738,0.08794844,0.00000000,1.10503795,1.78876501,0.01060293,1.80249047
-5.66383192,3.07241696,0.08828282,0.00000000,1.08766794,1.77334094,0.01081328,1.78857089
-5.65782891,3.04790000,0.08846401,0.00000000,1.06887788,1.75815612,0.01106649,1.77348200
-5.65182591,3.02419053,0.08849817,0.00000000,1.04907068,1.74375348,0.01135500,1.75780682
-5.64582291,3.00203107,0.08839379,0.00000000,1.02871682,1.73069161,0.01167095,1.74217392
