energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.59754144,0.02396930,0.00000000,0.00111490,0.33508523,0.30831116,0.14476226
-5.99399700,0.60735136,0.02476837,0.00000000,0.00123757,0.33911196,0.31066262,0.14774423
-5.98799400,0.61695735,0.02546277,0.00000000,0.00137298,0.34246016,0.31253418,0.15079211
-5.98199100,0.62633909,0.02605038,0.00000000,0.00152196,0.34510172,0.31392630,0.15389569
-5.97598799,0.63553859,0.02653373,0.00000000,0.00168525,0.34704671,0.31487434,0.15705788
-5.96998499,0.64466400,0.02692019,0.00000000,0.00186345,0.34834632,0.31545215,0.16029514
-5.96398199,0.65389159,0.02722208,0.00000000,0.00205698,0.34909465,0.31577504,0.16363736
-5.95797899,0.66346597,0.02745663,0.00000000,0.00226607,0.34942921,0.31600178,0.16712751
-5.95197599,0.67369860,0.02764587,0.00000000,0.00249067,0.34953018,0.31633583,0.17082079
-5.94597299,0.68496479,0.02781626,0.00000000,0.00273049,0.34961842,0.31702562,0.17478363
-5.93996998,0.69769959,0.02799838,0.00000000,0.00298495,0.34995248,0.31836407,0.17909250
-5.93396698,0.71239263,0.02822638,0.00000000,0.00325318,0.35082459,0.32068729,0.18383269
-5.92796398,0.72958252,0.02853738,0.00000000,0.00353405,0.35255596,0.32437258,0.18909716
-5.92196098,0.74985078,0.02897084,0.00000000,0.00382621,0.35549147,0.32983579,0.19498549
-5.91595798,0.77381570,0.02956775,0.00000000,0.00412811,0.35999401,0.33752801,0.20160306
-5.90995498,0.80212597,0.03036989,0.00000000,0.00443811,0.36643849,0.34793157,0.20906039
-5.90395198,0.83545415,0.03141897,0.00000000,0.00475450,0.37520568,0.36155529,0.21747268
-5.89794897,0.87448977,0.03275571,0.00000000,0.00507563,0.38667589,0.37892888,0.22695945
-5.89194597,0.91993154,0.03441902,0.00000000,0.00539999,0.40122253,0.40059613,0.23764417
-5.88594297,0.97247851,0.03644499,0.00000000,0.00572627,0.41920546,0.42710695,0.24965372
-5.87993997,1.03281957,0.03886602,0.00000000,0.00605350,0.44096410,0.45900784,0.26311751
-5.87393697,1.10162086,0.04170988,0.00000000,0.00638103,0.46681022,0.49683076,0.27816620
-5.86793397,1.17951071,0.04499875,0.00000000,0.00670865,0.49702043,0.54108012,0.29492964
-5.86193097,1.26706197,0.04874844,0.00000000,0.00703658,0.53182825,0.59221811,0.31353414
-5.85592796,1.36477164,0.05296751,0.00000000,0.00736549,0.57141597,0.65064824,0.33409885
