energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,3.72810750,3.14672831,2.09504591,0.29295819,0.00889190,2.75945366,0.00000000
-5.99399700,3.80509379,3.23951792,2.13201353,0.29476586,0.00917076,2.82164741,0.00000000
-5.98799400,3.87441684,3.32408806,2.16555133,0.29551553,0.00942070,2.87891537,0.00000000
-5.98199100,3.93416919,3.39856430,2.19473643,0.29511289,0.00963625,2.92977773,0.00000000
-5.97598799,3.98256382,3.46119493,2.21867862,0.29348611,0.00981261,2.97282164,0.00000000
-5.96998499,4.01799564,3.51040835,2.23655339,0.29058844,0.00994575,3.00675048,0.00000000
-5.96398199,4.03909917,3.54486756,2.24763404,0.28639991,0.01003261,3.03043098,0.00000000
-5.95797899,4.04479971,3.56351909,2.25132152,0.28092820,0.01007109,3.04293618,0.00000000
-5.95197599,4.03435575,3.56563416,2.24717038,0.27420853,0.01006021,3.04358206,0.00000000
-5.94597299,4.00739055,3.55084005,2.23490975,0.26630274,0.01000007,3.03195618,0.00000000
-5.93996998,3.96391123,3.51913986,2.21445813,0.25729748,0.00989188,3.00793677,0.00000000
-5.93396698,3.90431453,3.47091962,2.18593128,0.24730175,0.00973791,2.97170139,0.00000000
-5.92796398,3.82937846,3.40694206,2.14964267,0.23644384,0.00954140,2.92372441,0.00000000
-5.92196098,3.74024038,3.32832703,2.10609628,0.22486783,0.00930646,2.86476345,0.00000000
-5.91595798,3.63836210,3.23651925,2.05597212,0.21272987,0.00903795,2.79583512,0.00000000
-5.90995498,3.52548348,3.13324453,2.00010489,0.20019429,0.00874130,2.71818114,0.00000000
-5.90395198,3.40356652,3.02045642,1.93945673,0.18742981,0.00842235,2.63322624,0.00000000
-5.89794897,3.27473223,2.90027528,1.87508523,0.17460599,0.00808717,2.54252963,0.00000000
-5.89194597,3.14119310,2.77492262,1.80810810,0.16188997,0.00774185,2.44773222,0.00000000
-5.88594297,3.00518387,2.64665334,1.73966607,0.14944363,0.00739235,2.35050188,0.00000000
-5.87993997,2.86889363,2.51768868,1.67088553,0.13742134,0.00704435,2.25247899,0.00000000
-5.87393697,2.73440203,2.39015286,1.60284273,0.12596818,0.00670303,2.15522478,0.00000000
-5.86793397,2.60362203,2.26601568,1.53653086,0.11521879,0.00637302,2.06017437,0.00000000
-5.86193097,2.47825159,2.14704348,1.47283150,0.10529675,0.00605827,1.96859667,0.00000000
-5.85592796,2.35973580,2.03476017,1.41249160,0.09631449,0.00576196,1.88156234,0.00000000
-5.84992496,2.24924089,1.93041952,1.35610669,0.08837358,0.00548652,1.79992126,0.00000000
-5.84392196,2.14764068,1.83498943,1.30411111,0.08156555,0.00523357,1.72428992,0.00000000
-5.83791896,2.05551550,1.74914844,1.25677535,0.07597277,0.00500397,1.65504904,0.00000000
-5.83191596,1.97316322,1.67329379,1.21421035,0.07166971,0.00479788,1.59235119,0.00000000
-5.82591296,1.90062136,1.60756043,1.17637851,0.06872417,0.00461483,1.53613756,0.00000000
-5.81990995,1.83769877,1.55184942,1.14311046,0.06719847,0.00445385,1.48616297,0.00000000
-5.81390695,1.78401522,1.50586407,1.11412692,0.06715060,0.00431354,1.44202763,0.00000000
-5.80790395,1.73904663,1.46915183,1.08906420,0.06863512,0.00419223,1.40321390,0.00000000
-5.80190095,1.70217382,1.44114988,1.06750225,0.07170386,0.00408811,1.36912641,0.00000000
-5.79589795,1.67273231,1.42123206,1.04899385,0.07640619,0.00399936,1.33913351,0.00000000
-5.78989495,1.65006100,1.40875503,1.03309347,0.08278907,0.00392428,1.31260815,0.00000000
-5.78389195,1.63354732,1.40310161,1.01938458,0.09089658,0.00386139,1.28896647,0.00000000
-5.77788894,1.62266703,1.40371935,1.00750416,0.10076920,0.00380953,1.26770229,0.00000000
-5.77188594,1.61701688,1.41015261,0.99716328,0.11244251,0.00376793,1.24841617,0.00000000
-5.76588294,1.61633862,1.42206700,0.98816289,0.12594571,0.00373630,1.23083783,0.00000000
-5.75987994,1.62053359,1.43926495,0.98040430,0.14129957,0.00371478,1.21484105,0.00000000
-5.75387694,1.62966696,1.46169191,0.97389368,0.15851419,0.00370401,1.20045046,0.00000000
-5.74787394,1.64396177,1.48943294,0.96874075,0.17758644,0.00370504,1.18784015,0.00000000
-5.74187094,1.66378277,1.52269969,0.96515146,0.19849707,0.00371933,1.17732407,0.00000000
-5.73586793,1.68961076,1.56180846,0.96341534,0.22120783,0.00374861,1.16933886,0.00000000
-5.72986493,1.72200865,1.60715021,0.96388779,0.24565833,0.00379481,1.16441974,0.00000000
-5.72386193,1.76158043,1.65915373,0.96696836,0.27176307,0.00385992,1.16317059,0.00000000
-5.71785893,1.80892495,1.71824354,0.97307587,0.29940851,0.00394588,1.16622952,0.00000000
-5.71185593,1.86458635,1.78479443,0.98262145,0.32845050,0.00405441,1.17423131,0.00000000
-5.70585293,1.92900347,1.85908465,0.99598075,0.35871210,0.00418688,1.18776836,0.00000000
-5.69984992,2.00246036,1.94124985,1.01346654,0.38998203,0.00434421,1.20735183,0.00000000
-5.69384692,2.08504031,2.03124023,1.03530290,0.42201390,0.00452666,1.23337463,0.00000000
-5.68784392,2.17658562,2.12878286,1.06160220,0.45452636,0.00473383,1.26607788,0.00000000
-5.68184092,2.27666513,2.23335142,1.09234588,0.48720441,0.00496449,1.30552233,0.00000000
-5.67583792,2.38455151,2.34414520,1.12737018,0.51970188,0.00521659,1.35156618,0.00000000
-5.66983492,2.49920958,2.46007891,1.16635720,0.55164529,0.00548722,1.40385021,0.00000000
-5.66383192,2.61929698,2.57978436,1.20883222,0.58263912,0.00577263,1.46179130,0.00000000
-5.65782891,2.74317762,2.70162474,1.25416729,0.61227231,0.00606826,1.52458463,0.00000000
-5.65182591,2.86894798,2.82372155,1.30159120,0.64012621,0.00636889,1.59121483,0.00000000
-5.64582291,2.99447584,2.94399366,1.35020564,0.66578346,0.00666871,1.66047586,0.00000000
-5.63981991,3.11745017,3.06020743,1.39900697,0.68883789,0.00696149,1.73099901,0.00000000
-5.63381691,3.23544075,3.17003619,1.44691284,0.70890487,0.00724076,1.80128816,0.00000000
-5.62781391,3.34596521,3.27112693,1.49279275,0.72563194,0.00750001,1.86976092,0.00000000
-5.62181091,3.44656114,3.36117159,1.53550128,0.73870917,0.00773288,1.93479429,0.00000000
-5.61580790,3.53486023,3.43797991,1.57391283,0.74787892,0.00793339,1.99477293,0.00000000
-5.60980490,3.60866173,3.49955099,1.60695639,0.75294446,0.00809609,2.04813829,0.00000000
-5.60380190,3.66600199,3.54414022,1.63364903,0.75377721,0.00821630,2.09343663,0.00000000
-5.59779890,3.70521732,3.57031883,1.65312675,0.75032205,0.00829020,2.12936402,0.00000000
-5.59179590,3.72499762,3.57702334,1.66467154,0.74260055,0.00831502,2.15480655,0.00000000
-5.58579290,3.72442841,3.56359272,1.66773347,0.73071193,0.00828909,2.16887416,0.00000000
-5.57978989,3.70301979,3.52979180,1.66194724,0.71483156,0.00821188,2.17092693,0.00000000
-5.57378689,3.66072116,3.47581977,1.64714225,0.69520719,0.00808405,2.16059269,0.00000000
-5.56778389,3.59792120,3.40230385,1.62334635,0.67215293,0.00790735,2.13777553,0.00000000
-5.56178089,3.51543355,3.31027823,1.59078285,0.64604127,0.00768461,2.10265508,0.00000000
-5.55577789,3.41446889,3.20114981,1.54986140,0.61729351,0.00741962,2.05567662,0.00000000
-5.54977489,3.29659492,3.07665217,1.50116306,0.58636898,0.00711693,1.99753288,0.00000000
-5.54377189,3.16368624,2.93879026,1.44542043,0.55375347,0.00678180,1.92913836,0.00000000
-5.53776888,3.01786641,2.78977821,1.38349379,0.51994748,0.00641992,1.85159747,0.00000000
-5.53176588,2.86144475,2.63197311,1.31634430,0.48545459,0.00603729,1.76616799,0.00000000
-5.52576288,2.69685050,2.46780767,1.24500538,0.45077049,0.00564002,1.67422137,0.00000000
