energy_ev,total_up,Ag_p_up,Ag_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,5.43554979,0.41256318,5.25062400,0.01183577,0.07423682,0.05956941,0.00000000
-5.99399700,5.42080455,0.38541446,5.24807962,0.01209869,0.06970675,0.05814026,0.00000000
-5.98799400,5.40958843,0.36016786,5.24808280,0.01246455,0.06554497,0.05695074,0.00000000
-5.98199100,5.40229827,0.33695829,5.25097845,0.01293892,0.06177065,0.05601040,0.00000000
-5.97598799,5.39937942,0.31587486,5.25718116,0.01352692,0.05839485,0.05532476,0.00000000
-5.96998499,5.40133368,0.29696579,5.26718048,0.01423326,0.05542149,0.05489592,0.00000000
-5.96398199,5.40872181,0.28024407,5.28154042,0.01506238,0.05284846,0.05472321,0.00000000
-5.95797899,5.42216047,0.26569369,5.30089316,0.01601851,0.05066879,0.05480386,0.00000000
-5.95197599,5.44231349,0.25327609,5.32592707,0.01710570,0.04887182,0.05513360,0.00000000
-5.94597299,5.46987798,0.24293639,5.35736964,0.01832786,0.04744443,0.05570725,0.00000000
-5.93996998,5.50556602,0.23460942,5.39596624,0.01968879,0.04637206,0.05651925,0.00000000
-5.93396698,5.55008266,0.22822496,5.44245558,0.02119209,0.04563974,0.05756403,0.00000000
-5.92796398,5.60410152,0.22371237,5.49754319,0.02284112,0.04523283,0.05883634,0.00000000
-5.92196098,5.66823899,0.22100414,5.56187398,0.02463889,0.04513773,0.06033143,0.00000000
-5.91595798,5.74302817,0.22003855,5.63600515,0.02658794,0.04534226,0.06204511,0.00000000
-5.90995498,5.82889358,0.22076125,5.72038043,0.02869016,0.04583594,0.06397374,0.00000000
-5.90395198,5.92612760,0.22312576,5.81530662,0.03094664,0.04661000,0.06611401,0.00000000
-5.89794897,6.03486931,0.22709305,5.92093297,0.03335742,0.04765729,0.06846275,0.00000000
-5.89194597,6.15508626,0.23263016,6.03723417,0.03592128,0.04897192,0.07101653,0.00000000
-5.88594297,6.28655962,0.23970816,6.16399686,0.03863554,0.05054884,0.07377126,0.00000000
-5.87993997,6.42887282,0.24829931,6.30081024,0.04149580,0.05238326,0.07672171,0.00000000
-5.87393697,6.58140394,0.25837397,6.44706044,0.04449573,0.05447000,0.07986100,0.00000000
-5.86793397,6.74332186,0.26989710,6.60192887,0.04762685,0.05680281,0.08318009,0.00000000
-5.86193097,6.91358629,0.28282482,6.76439438,0.05087841,0.05937369,0.08666728,0.00000000
-5.85592796,7.09095184,0.29710103,6.93323944,0.05423720,0.06217221,0.09030776,0.00000000
-5.84992496,7.27397631,0.31265452,7.10706016,0.05768750,0.06518495,0.09408325,0.00000000
-5.84392196,7.46103350,0.32939649,7.28428057,0.06121109,0.06839505,0.09797170,0.00000000
-5.83791896,7.65033092,0.34721897,7.46317126,0.06478730,0.07178196,0.10194715,0.00000000
-5.83191596,7.83993264,0.36599403,7.64187265,0.06839321,0.07532128,0.10597973,0.00000000
-5.82591296,8.02778758,0.38557402,7.81842305,0.07200388,0.07898491,0.11003585,0.00000000
-5.81990995,8.21176342,0.40579295,7.99079161,0.07559274,0.08274140,0.11407852,0.00000000
-5.81390695,8.38968579,0.42646883,8.15691600,0.07913205,0.08655648,0.11806788,0.00000000
-5.80790395,8.55938252,0.44740722,8.31474432,0.08259345,0.09039386,0.12196191,0.00000000
-5.80190095,8.71873185,0.46840567,8.46228054,0.08594864,0.09421623,0.12571728,0.00000000
-5.79589795,8.86571358,0.48925887,8.59763220,0.08917004,0.09798632,0.12929040,0.00000000
-5.78989495,8.99846121,0.50976452,8.71905891,0.09223156,0.10166818,0.13263847,0.00000000
-5.78389195,9.11531328,0.52972938,8.82501970,0.09510934,0.10522840,0.13572070,0.00000000
-5.77788894,9.21486136,0.54897540,8.91421708,0.09778250,0.10863736,0.13849950,0.00000000
-5.77188594,9.29599235,0.56734540,8.98563560,0.10023377,0.11187034,0.14094162,0.00000000
-5.76588294,9.35792257,0.58470825,9.03857255,0.10245013,0.11490845,0.14301925,0.00000000
-5.75987994,9.40022144,0.60096288,9.07265887,0.10442319,0.11773935,0.14471095,0.00000000
