energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-5.83191596,1.54200462,0.23024317,0.56725423,0.00013192,0.01374671,0.10626898,0.56292091,0.00429030,0.45729031
-5.82591296,1.60152968,0.24152596,0.58726161,0.00014781,0.01383551,0.10729666,0.59558331,0.00419761,0.45893815
-5.81990995,1.66545483,0.25378543,0.60787151,0.00016452,0.01407654,0.10891724,0.63067269,0.00414780,0.46144541
-5.81390695,1.73236614,0.26675652,0.62865315,0.00018187,0.01445327,0.11103174,0.66758020,0.00413597,0.46447013
-5.80790395,1.80077596,0.28015090,0.64917544,0.00019965,0.01494714,0.11353490,0.70563597,0.00415646,0.46767960
-5.80190095,1.86915216,0.29366344,0.66901503,0.00021765,0.01553803,0.11631769,0.74412089,0.00420311,0.47075883
-5.79589795,1.93594857,0.30697941,0.68776396,0.00023560,0.01620470,0.11926976,0.78228042,0.00426941,0.47341784
-5.78989495,1.99963624,0.31978226,0.70503653,0.00025323,0.01692536,0.12228200,0.81934026,0.00434870,0.47539751
-5.78389195,2.05873506,0.33176169,0.72047564,0.00027025,0.01767821,0.12524899,0.85452341,0.00443437,0.47647404
-5.77788894,2.11184495,0.34262190,0.73375841,0.00028637,0.01844203,0.12807138,0.88706837,0.00452003,0.47646205
-5.77188594,2.15767626,0.35208969,0.74460108,0.00030129,0.01919673,0.13065822,0.91624791,0.00459965,0.47521628
-5.76588294,2.19507846,0.35992200,0.75276331,0.00031473,0.01992394,0.13292900,0.94138772,0.00466776,0.47263218
-5.75987994,2.22306647,0.36591288,0.75805185,0.00032642,0.02060754,0.13481557,0.96188447,0.00471952,0.46864541
-5.75387694,2.24084376,0.36989931,0.76032353,0.00033613,0.02123405,0.13626370,0.97722242,0.00475088,0.46323051
-5.74787394,2.24782152,0.37176581,0.75948751,0.00034366,0.02179308,0.13723436,0.98698801,0.00475858,0.45639883
-5.74187094,2.24363303,0.37144762,0.75550695,0.00034885,0.02227760,0.13770459,0.99088177,0.00474030,0.44819594
-5.73586793,2.22814269,0.36893215,0.74839969,0.00035159,0.02268407,0.13766791,0.98872691,0.00469458,0.43869856
-5.72986493,2.20144908,0.36425884,0.73823823,0.00035182,0.02301251,0.13713429,0.98047437,0.00462088,0.42801121
-5.72386193,2.16388176,0.35751721,0.72514863,0.00034953,0.02326643,0.13612962,0.96620380,0.00451950,0.41626261
-5.71785893,2.11599182,0.34884329,0.70930842,0.00034478,0.02345255,0.13469469,0.94612057,0.00439155,0.40360192
-5.71185593,2.05853603,0.33841455,0.69094350,0.00033765,0.02358052,0.13288366,0.92054872,0.00423885,0.39019482
-5.70585293,1.99245537,0.32644348,0.67032389,0.00032832,0.02366243,0.13076214,0.88992028,0.00406383,0.37621953
-5.69984992,1.91884837,0.31317016,0.64775845,0.00031695,0.02371222,0.12840489,0.85476122,0.00386941,0.36186279
-5.69384692,1.83894027,0.29885417,0.62358875,0.00030380,0.02374514,0.12589322,0.81567472,0.00365889,0.34731581
-5.68784392,1.75404911,0.28376606,0.59818205,0.00028910,0.02377697,0.12331221,0.77332254,0.00343580,0.33277030
-5.68184092,1.66555010,0.26817880,0.57192374,0.00027316,0.02382346,0.12074789,0.72840501,0.00320380,0.31841459
-5.67583792,1.57483951,0.25235965,0.54520943,0.00025624,0.02389956,0.11828448,0.68164075,0.00296654,0.30443002
-5.66983492,1.48329951,0.23656258,0.51843695,0.00023865,0.02401890,0.11600178,0.63374678,0.00272754,0.29098749
-5.66383192,1.39226527,0.22102169,0.49199855,0.00022069,0.02419323,0.11397288,0.58541976,0.00249014,0.27824457
-5.65782891,1.30299547,0.20594573,0.46627358,0.00020261,0.02443201,0.11226225,0.53731915,0.00225736,0.26634293
-5.65182591,1.21664710,0.19151398,0.44162191,0.00018469,0.02474215,0.11092432,0.49005262,0.00203189,0.25540642
-5.64582291,1.13425538,0.17787340,0.41837825,0.00016714,0.02512786,0.11000253,0.44416438,0.00181601,0.24553974
-5.63981991,1.05671909,0.16513738,0.39684754,0.00015018,0.02559066,0.10952901,0.40012646,0.00161159,0.23682770
-5.63381691,0.98479157,0.15338561,0.37730149,0.00013398,0.02612949,0.10952463,0.35833305,0.00142005,0.22933526
-5.62781391,0.91907702,0.14266539,0.35997626,0.00011867,0.02674104,0.10999973,0.31909798,0.00124242,0.22310796
-5.62181091,0.86003186,0.13299387,0.34507119,0.00010436,0.02742008,0.11095501,0.28265494,0.00107931,0.21817310
-5.61580790,0.80797037,0.12436124,0.33274847,0.00009112,0.02815992,0.11238297,0.24916030,0.00093098,0.21454115
-5.60980490,0.76307379,0.11673454,0.32313353,0.00007899,0.02895293,0.11426933,0.21869801,0.00079734,0.21220759
-5.60380190,0.72540200,0.11006191,0.31631596,0.00006798,0.02979102,0.11659463,0.19128620,0.00067806,0.21115477
-5.59779890,0.69490670,0.10427696,0.31235069,0.00005809,0.03066617,0.11933577,0.16688501,0.00057253,0.21135380
-5.59179590,0.67144529,0.09930320,0.31125923,0.00004929,0.03157082,0.12246731,0.14540514,0.00048001,0.21276631
-5.58579290,0.65479448,0.09505815,0.31303077,0.00004152,0.03249820,0.12596260,0.12671679,0.00039960,0.21534588
