energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.00032868,0.00000241,0.00001907,0.00000566,0.00013170,0.00022281,0.00013158
-5.99399700,0.00029196,0.00000240,0.00001456,0.00000429,0.00012937,0.00020096,0.00010295
-5.98799400,0.00029057,0.00000268,0.00001186,0.00000342,0.00014258,0.00020363,0.00008692
-5.98199100,0.00032420,0.00000326,0.00001073,0.00000296,0.00017260,0.00023108,0.00008181
-5.97598799,0.00039577,0.00000420,0.00001106,0.00000286,0.00022218,0.00028590,0.00008698
-5.96998499,0.00051160,0.00000558,0.00001291,0.00000308,0.00029576,0.00037315,0.00010282
-5.96398199,0.00068173,0.00000751,0.00001652,0.00000365,0.00039967,0.00050066,0.00013073
-5.95797899,0.00092048,0.00001015,0.00002230,0.00000460,0.00054251,0.00067957,0.00017321
-5.95197599,0.00124722,0.00001371,0.00003088,0.00000598,0.00073558,0.00092487,0.00023401
-5.94597299,0.00168735,0.00001843,0.00004317,0.00000789,0.00099344,0.00125628,0.00031833
-5.93996998,0.00227348,0.00002464,0.00006041,0.00001047,0.00133451,0.00169922,0.00043315
-5.93396698,0.00304684,0.00003274,0.00008424,0.00001388,0.00178185,0.00228597,0.00058755
-5.92796398,0.00405897,0.00004321,0.00011687,0.00001832,0.00236400,0.00305713,0.00079318
-5.92196098,0.00537357,0.00005665,0.00016112,0.00002404,0.00311588,0.00406319,0.00106481
-5.91595798,0.00706859,0.00007377,0.00022064,0.00003136,0.00407986,0.00536632,0.00142094
-5.90995498,0.00923851,0.00009541,0.00030007,0.00004065,0.00530677,0.00704241,0.00188453
-5.90395198,0.01199671,0.00012256,0.00040524,0.00005234,0.00685701,0.00918321,0.00248378
-5.89794897,0.01547799,0.00015636,0.00054343,0.00006693,0.00880167,0.01189858,0.00325302
-5.89194597,0.01984098,0.00019813,0.00072362,0.00008502,0.01122345,0.01531886,0.00423361
-5.88594297,0.02527050,0.00024936,0.00095675,0.00010727,0.01421763,0.01959713,0.00547499
-5.87993997,0.03197965,0.00031171,0.00125607,0.00013443,0.01789268,0.02491138,0.00703555
-5.87393697,0.04021143,0.00038703,0.00163741,0.00016734,0.02237073,0.03146640,0.00898366
-5.86793397,0.05023987,0.00047732,0.00211946,0.00020692,0.02778754,0.03949521,0.01139844
-5.86193097,0.06237028,0.00058473,0.00272411,0.00025415,0.03429214,0.04925995,0.01437050
-5.85592796,0.07693850,0.00071152,0.00347660,0.00031011,0.04204576,0.06105195,0.01800236
-5.84992496,0.09430901,0.00086004,0.00440573,0.00037591,0.05122032,0.07519072,0.02240862
-5.84392196,0.11487153,0.00103265,0.00554391,0.00045270,0.06199600,0.09202186,0.02771566
-5.83791896,0.13903605,0.00123171,0.00692712,0.00054165,0.07455818,0.11191344,0.03406095
-5.83191596,0.16722608,0.00145944,0.00859472,0.00064393,0.08909351,0.13525088,0.04159164
-5.82591296,0.19987009,0.00171792,0.01058903,0.00076067,0.10578520,0.16243000,0.05046263
-5.81990995,0.23739103,0.00200894,0.01295479,0.00089298,0.12480749,0.19384838,0.06083384
-5.81390695,0.28019398,0.00233392,0.01573838,0.00104184,0.14631946,0.22989476,0.07286673
-5.80790395,0.32865226,0.00269384,0.01898675,0.00120818,0.17045829,0.27093678,0.08672007
-5.80190095,0.38309205,0.00308912,0.02274623,0.00139280,0.19733206,0.31730709,0.10254497
-5.79589795,0.44377605,0.00351955,0.02706101,0.00159637,0.22701247,0.36928822,0.12047928
-5.78989495,0.51088674,0.00398417,0.03197158,0.00181950,0.25952763,0.42709652,0.14064147
-5.78389195,0.58450974,0.00448125,0.03751288,0.00206266,0.29485528,0.49086589,0.16312417
-5.77788894,0.66461819,0.00500820,0.04371253,0.00232631,0.33291679,0.56063172,0.18798762
-5.77188594,0.75105883,0.00556157,0.05058894,0.00261094,0.37357230,0.63631600,0.21525337
-5.76588294,0.84354078,0.00613704,0.05814964,0.00291711,0.41661735,0.71771433,0.24489850
-5.75987994,0.94162784,0.00672943,0.06638970,0.00324563,0.46178136,0.80448567,0.27685073
-5.75387694,1.04473524,0.00733277,0.07529062,0.00359767,0.50872824,0.89614586,0.31098483
-5.74787394,1.15213142,0.00794038,0.08481952,0.00397490,0.55705941,0.99206547,0.34712069
-5.74187094,1.26294577,0.00854503,0.09492894,0.00437972,0.60631938,1.09147287,0.38502329
-5.73586793,1.37618235,0.00913903,0.10555728,0.00481542,0.65600391,1.19346304,0.42440502
-5.72986493,1.49074004,0.00971444,0.11662986,0.00528645,0.70557073,1.29701237,0.46493030
-5.72386193,1.60543883,0.01026325,0.12806083,0.00579858,0.75445270,1.40099949,0.50622281
-5.71785893,1.71905167,0.01077763,0.13975570,0.00635917,0.80207292,1.50423202,0.54787506
-5.71185593,1.83034127,0.01125010,0.15161459,0.00697733,0.84786152,1.60547850,0.58946027
-5.70585293,1.93810043,0.01167380,0.16353614,0.00766411,0.89127345,1.70350467,0.63054610
-5.69984992,2.04119455,0.01204265,0.17542177,0.00843260,0.93180664,1.79711295,0.67070983
-5.69384692,2.13860444,0.01235162,0.18718028,0.00929802,0.96901977,1.88518339,0.70955427
-5.68784392,2.22946758,0.01259685,0.19873254,0.01027764,1.00254880,1.96671475,0.74672374
-5.68184092,2.31311572,0.01277581,0.21001599,0.01139073,1.03212149,2.04086337,0.78191932
-5.67583792,2.38910668,0.01288742,0.22098867,0.01265830,1.05756922,2.10697840,0.81491243
-5.66983492,2.45724854,0.01293209,0.23163261,0.01410281,1.07883515,2.16463111,0.84555609
-5.66383192,2.51761441,0.01291178,0.24195632,0.01574764,1.09597850,2.21363687,0.87379292
-5.65782891,2.57054648,0.01282989,0.25199605,0.01761657,1.10917415,2.25406814,0.89965935
-5.65182591,2.61664844,0.01269128,0.26181582,0.01973307,1.11870766,2.28625758,0.92328553
-5.64582291,2.65676584,0.01250205,0.27150600,0.02211945,1.12496551,2.31079041,0.94489067
-5.63981991,2.69195476,0.01226942,0.28118039,0.02479601,1.12842080,2.32848610,0.96477374
-5.63381691,2.72343939,0.01200149,0.29097190,0.02777999,1.12961492,2.34036950,0.98329982
-5.62781391,2.75256030,0.01170704,0.30102692,0.03108462,1.12913582,2.34763257,1.00088244
-5.62181091,2.78071502,0.01139521,0.31149848,0.03471804,1.12759378,2.35158790,1.01796276
-5.61580790,2.80929372,0.01107527,0.32253853,0.03868235,1.12559559,2.35361593,1.03498641
-5.60980490,2.83961261,0.01075630,0.33428974,0.04297266,1.12371849,2.35510810,1.05237903
