energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.35931722,0.10737161,0.00140586,0.01984476,0.88273676,0.83582824,0.51506786
-5.99399700,1.33717523,0.11262708,0.00138145,0.01921714,0.86142487,0.82188698,0.50548693
-5.98799400,1.31483571,0.11820519,0.00135668,0.01851212,0.83971648,0.80765184,0.49547584
-5.98199100,1.29220249,0.12405505,0.00133139,0.01773891,0.81763194,0.79306661,0.48510035
-5.97598799,1.26929661,0.13011925,0.00130571,0.01690809,0.79528240,0.77811459,0.47448034
-5.96998499,1.24625744,0.13633511,0.00128001,0.01603126,0.77286892,0.76282158,0.46378809
-5.96398199,1.22333923,0.14263644,0.00125492,0.01512072,0.75067793,0.74725743,0.45324438
-5.95797899,1.20090338,0.14895559,0.00123133,0.01418910,0.72907317,0.73153621,0.44311247
-5.95197599,1.17940680,0.15522580,0.00121033,0.01324909,0.70848452,0.71581500,0.43369023
-5.94597299,1.15938673,0.16138370,0.00119317,0.01231306,0.68939415,0.70029120,0.42530080
-5.93996998,1.14144283,0.16737193,0.00118128,0.01139279,0.67232039,0.68519862,0.41828197
-5.93396698,1.12621688,0.17314160,0.00117614,0.01049927,0.65780012,0.67080242,0.41297480
-5.92796398,1.11437100,0.17865457,0.00117931,0.00964240,0.64637014,0.65739291,0.40971178
-5.92196098,1.10656491,0.18388533,0.00119231,0.00883094,0.63854822,0.64527853,0.40880506
-5.91595798,1.10343308,0.18882241,0.00121660,0.00807230,0.63481447,0.63477813,0.41053497
-5.90995498,1.10556214,0.19346918,0.00125352,0.00737253,0.63559367,0.62621263,0.41513940
-5.90395198,1.11346960,0.19784391,0.00130423,0.00673623,0.64123903,0.61989640,0.42280426
-5.89794897,1.12758403,0.20197918,0.00136966,0.00616663,0.65201798,0.61612840,0.43365538
-5.89194597,1.14822767,0.20592058,0.00145047,0.00566557,0.66810034,0.61518339,0.44775214
-5.88594297,1.17560164,0.20972468,0.00154700,0.00523361,0.68954931,0.61730334,0.46508294
-5.87993997,1.20977450,0.21345655,0.00165925,0.00487008,0.71631542,0.62268932,0.48556289
-5.87393697,1.25067434,0.21718679,0.00178685,0.00457323,0.74823382,0.63149404,0.50903351
-5.86793397,1.29808488,0.22098829,0.00192902,0.00434033,0.78502481,0.64381541,0.53526485
-5.86193097,1.35164581,0.22493293,0.00208464,0.00416780,0.82629782,0.65969118,0.56395971
-5.85592796,1.41085756,0.22908845,0.00225216,0.00405136,0.87155864,0.67909516,0.59476010
-5.84992496,1.47509049,0.23351552,0.00242972,0.00398617,0.92021990,0.70193512,0.62725567
-5.84392196,1.54359859,0.23826533,0.00261513,0.00396695,0.97161451,0.72805258,0.66099407
-5.83791896,1.61553734,0.24337778,0.00280592,0.00398812,1.02501176,0.75722484,0.69549281
-5.83191596,1.68998556,0.24888040,0.00299942,0.00404396,1.07963578,0.78916918,0.73025249
-5.82591296,1.76597053,0.25478789,0.00319283,0.00412874,1.13468583,0.82354941,0.76477088
-5.81990995,1.84249589,0.26110261,0.00338327,0.00423678,1.18935793,0.85998467,0.79855760
-5.81390695,1.91857139,0.26781558,0.00356791,0.00436266,1.24286720,0.89806027,0.83114881
-5.80790395,1.99324348,0.27490821,0.00374402,0.00450126,1.29447025,0.93734032,0.86212150
-5.80190095,2.06562570,0.28235440,0.00390908,0.00464787,1.34348688,0.97738169,0.89110690
-5.79589795,2.13492765,0.29012303,0.00406085,0.00479828,1.38932033,1.01774884,0.91780245
-5.78989495,2.20048125,0.29818047,0.00419744,0.00494885,1.43147537,1.05802874,0.94198187
-5.78389195,2.26176314,0.30649304,0.00431739,0.00509656,1.46957338,1.09784522,0.96350301
-5.77788894,2.31841211,0.31502917,0.00441973,0.00523902,1.50336383,1.13687204,0.98231284
-5.77188594,2.37024046,0.32376111,0.00450397,0.00537452,1.53273153,1.17484390,0.99844955
-5.76588294,2.41723855,0.33266607,0.00457015,0.00550200,1.55769920,1.21156451,1.01204134
-5.75987994,2.45957209,0.34172656,0.00461884,0.00562101,1.57842504,1.24691145,1.02330196
-5.75387694,2.49757183,0.35093008,0.00465106,0.00573169,1.59519524,1.28083705,1.03252299
-5.74787394,2.53171587,0.36026798,0.00466831,0.00583471,1.60841153,1.31336512,1.04006296
-5.74187094,2.56260513,0.36973357,0.00467243,0.00593114,1.61857408,1.34458369,1.04633375
-5.73586793,2.59093279,0.37931971,0.00466558,0.00602243,1.62626048,1.37463362,1.05178470
-5.72986493,2.61744894,0.38901580,0.00465011,0.00611027,1.63210140,1.40369385,1.05688492
-5.72386193,2.64292204,0.39880455,0.00462847,0.00619650,1.63675403,1.43196387,1.06210454
-5.71785893,2.66809887,0.40865863,0.00460310,0.00628302,1.64087446,1.45964436,1.06789568
-5.71185593,2.69366493,0.41853748,0.00457633,0.00637170,1.64509014,1.48691708,1.07467388
-5.70585293,2.72020720,0.42838453,0.00455032,0.00646434,1.64997377,1.51392522,1.08280079
-5.69984992,2.74818127,0.43812494,0.00452691,0.00656259,1.65601970,1.54075550,1.09256892
-5.69384692,2.77788445,0.44766429,0.00450757,0.00666791,1.66362419,1.56742303,1.10418909
-5.68784392,2.80943646,0.45688813,0.00449340,0.00678163,1.67307013,1.59386024,1.11778120
-5.68184092,2.84276865,0.46566272,0.00448500,0.00690492,1.68451728,1.61991048,1.13336875
-5.67583792,2.87762256,0.47383691,0.00448255,0.00703883,1.69799819,1.64532710,1.15087724
-5.66983492,2.91355794,0.48124519,0.00448576,0.00718443,1.71342005,1.66977811,1.17013672
-5.66383192,2.94996985,0.48771188,0.00449392,0.00734282,1.73057228,1.69285645,1.19088823
-5.65782891,2.98611409,0.49305630,0.00450598,0.00751529,1.74913929,1.71409549,1.21279378
-5.65182591,3.02113956,0.49709871,0.00452054,0.00770337,1.76871768,1.73298884,1.23544952
-5.64582291,3.05412599,0.49966681,0.00453599,0.00790900,1.78883697,1.74901369,1.25840125
-5.63981991,3.08412497,0.50060251,0.00455059,0.00813456,1.80898245,1.76165609,1.28116178
-5.63381691,3.11020217,0.49976860,0.00456253,0.00838295,1.82861912,1.77043713,1.30322898
-5.62781391,3.13147854,0.49705506,0.00457003,0.00865765,1.84721537,1.77493817,1.32410399
-5.62181091,3.14716834,0.49238462,0.00457141,0.00896274,1.86426507,1.77482393,1.34330855
