energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up
-6.00000000,2.31488379,0.88259593,1.64393608,0.10916291,0.01485929,0.35116743,0.00000000
-5.99399700,2.18130392,0.81950972,1.55539176,0.10080998,0.01371454,0.33049070,0.00000000
-5.98799400,2.05380400,0.75674152,1.47283221,0.09259904,0.01260125,0.30967436,0.00000000
-5.98199100,1.93433916,0.69507099,1.39770429,0.08463534,0.01152806,0.28896417,0.00000000
-5.97598799,1.82491790,0.63522142,1.33153362,0.07701621,0.01050268,0.26860694,0.00000000
-5.96998499,1.72757354,0.57784792,1.27590408,0.06982956,0.00953181,0.24884560,0.00000000
-5.96398199,1.64433558,0.52352877,1.23243567,0.06315285,0.00862115,0.22991465,0.00000000
-5.95797899,1.57720063,0.47276008,1.20276029,0.05705246,0.00777532,0.21203607,0.00000000
-5.95197599,1.52810247,0.42595328,1.18849488,0.05158359,0.00699798,0.19541584,0.00000000
-5.94597299,1.49888054,0.38343547,1.19121161,0.04679038,0.00629182,0.18024098,0.00000000
-5.93996998,1.49124653,0.34545176,1.21240471,0.04270637,0.00565865,0.16667712,0.00000000
-5.93396698,1.50674853,0.31216954,1.25345391,0.03935512,0.00509947,0.15486653,0.00000000
-5.92796398,1.54673268,0.28368380,1.31558456,0.03675100,0.00461454,0.14492671,0.00000000
-5.92196098,1.61230246,0.26002325,1.39982476,0.03489984,0.00420347,0.13694914,0.00000000
-5.91595798,1.70427626,0.24115668,1.50696048,0.03379975,0.00386529,0.13099851,0.00000000
-5.90995498,1.82314389,0.22699922,1.63748960,0.03344167,0.00359851,0.12711206,0.00000000
-5.90395198,1.96902380,0.21741814,1.79157650,0.03380991,0.00340118,0.12529917,0.00000000
-5.89794897,2.14162230,0.21223820,1.96900906,0.03488250,0.00327097,0.12554115,0.00000000
-5.89194597,2.34019730,0.21124617,2.16916007,0.03663147,0.00320513,0.12779116,0.00000000
-5.88594297,2.56352851,0.21419486,2.39095553,0.03902293,0.00320060,0.13197440,0.00000000
-5.87993997,2.80989681,0.22080651,2.63285207,0.04201718,0.00325402,0.13798854,0.00000000
-5.87393697,3.07707507,0.23077581,2.89282581,0.04556881,0.00336171,0.14570456,0.00000000
-5.86793397,3.36233258,0.24377280,3.16837482,0.04962670,0.00351973,0.15496798,0.00000000
-5.86193097,3.66245494,0.25944572,3.45653669,0.05413431,0.00372388,0.16560054,0.00000000
-5.85592796,3.97378071,0.27742417,3.75392247,0.05902993,0.00396973,0.17740260,0.00000000
-5.84992496,4.29225510,0.29732273,4.05676723,0.06424722,0.00425267,0.19015597,0.00000000
-5.84392196,4.61350074,0.31874508,4.36099706,0.06971590,0.00456791,0.20362755,0.00000000
-5.83791896,4.93290393,0.34128876,4.66231111,0.07536263,0.00491052,0.21757341,0.00000000
-5.83191596,5.24571455,0.36455056,4.95627662,0.08111214,0.00527554,0.23174350,0.00000000
-5.82591296,5.54715628,0.38813240,5.23843401,0.08688847,0.00565793,0.24588673,0.00000000
-5.81990995,5.83254354,0.41164749,5.50440840,0.09261638,0.00605274,0.25975630,0.00000000
-5.81390695,6.09740067,0.43472668,5.75002320,0.09822273,0.00645508,0.27311516,0.00000000
-5.80790395,6.33757840,0.45702457,5.97141141,0.10363798,0.00686021,0.28574121,0.00000000
-5.80190095,6.54936293,0.47822517,6.16511972,0.10879746,0.00726358,0.29743229,0.00000000
-5.79589795,6.72957266,0.49804680,6.32820115,0.11364265,0.00766088,0.30801047,0.00000000
-5.78989495,6.87563845,0.51624600,6.45829191,0.11812210,0.00804806,0.31732566,0.00000000
-5.78389195,6.98566379,0.53262019,6.55366928,0.12219217,0.00842137,0.32525824,0.00000000
-5.77788894,7.05846233,0.54700899,6.61328791,0.12581747,0.00877734,0.33172073,0.00000000
-5.77188594,7.09357137,0.55929420,6.63679324,0.12897097,0.00911279,0.33665834,0.00000000
-5.76588294,7.09124117,0.56939845,6.62451171,0.13163385,0.00942483,0.34004850,0.00000000
