energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.30791130,0.01402275,0.26172986,1.39636701,1.30871601,0.34854712,0.25437629,0.69333326,0.00000000
-5.99399700,2.32072690,0.01472382,0.25964459,1.43507003,1.30301093,0.35973555,0.25868144,0.70653531,0.00000000
-5.98799400,2.33694939,0.01544880,0.25739357,1.47408242,1.29931432,0.37192887,0.26333860,0.72134525,0.00000000
-5.98199100,2.35664093,0.01619080,0.25500609,1.51264739,1.29781824,0.38510126,0.26835109,0.73769431,0.00000000
-5.97598799,2.37976037,0.01694174,0.25250810,1.55000859,1.29866030,0.39919943,0.27370627,0.75547223,0.00000000
-5.96998499,2.40617212,0.01769253,0.24992213,1.58543190,1.30192618,0.41414339,0.27937688,0.77453194,0.00000000
-5.96398199,2.43565874,0.01843328,0.24726728,1.61822714,1.30765395,0.42982801,0.28532309,0.79469568,0.00000000
-5.95797899,2.46793624,0.01915357,0.24455939,1.64776855,1.31583966,0.44612554,0.29149503,0.81576219,0.00000000
-5.95197599,2.50267082,0.01984282,0.24181125,1.67351322,1.32644371,0.46288868,0.29783571,0.83751434,0.00000000
-5.94597299,2.53949606,0.02049057,0.23903276,1.69501648,1.33939742,0.47995423,0.30428413,0.85972694,0.00000000
-5.93996998,2.57802913,0.02108687,0.23623115,1.71194356,1.35460921,0.49714697,0.31077822,0.88217415,0.00000000
-5.93396698,2.61788521,0.02162257,0.23341117,1.72407695,1.37196991,0.51428372,0.31725754,0.90463604,0.00000000
-5.92796398,2.65868908,0.02208967,0.23057512,1.73131919,1.39135692,0.53117735,0.32366559,0.92690404,0.00000000
-5.92196098,2.70008344,0.02248152,0.22772299,1.73369090,1.41263689,0.54764062,0.32995140,0.94878510,0.00000000
-5.91595798,2.74173349,0.02279308,0.22485241,1.73132439,1.43566678,0.56348977,0.33607055,0.97010413,0.00000000
-5.90995498,2.78332799,0.02302107,0.22195868,1.72445311,1.46029348,0.57854777,0.34198536,0.99070509,0.00000000
-5.90395198,2.82457686,0.02316400,0.21903479,1.71339785,1.48635215,0.59264726,0.34766450,1.01045054,0.00000000
-5.89794897,2.86520616,0.02322223,0.21607148,1.69855020,1.51366350,0.60563307,0.35308183,1.02921998,0.00000000
-5.89194597,2.90495105,0.02319791,0.21305743,1.68035462,1.54203052,0.61736451,0.35821489,1.04690727,0.00000000
-5.88594297,2.94354783,0.02309484,0.20997957,1.65928975,1.57123525,0.62771734,0.36304297,1.06341747,0.00000000
-5.87993997,2.98072607,0.02291835,0.20682353,1.63585039,1.60103581,0.63658560,0.36754507,1.07866349,0.00000000
-5.87393697,3.01620173,0.02267505,0.20357426,1.61053076,1.63116451,0.64388324,0.37169799,1.09256300,0.00000000
-5.86793397,3.04967252,0.02237263,0.20021690,1.58381013,1.66132724,0.64954573,0.37547469,1.10503590,0.00000000
-5.86193097,3.08081591,0.02201958,0.19673770,1.55614127,1.69120452,0.65353155,0.37884315,1.11600275,0.00000000
-5.85592796,3.10929056,0.02162496,0.19312513,1.52794230,1.72045453,0.65582372,0.38176584,1.12538434,0.00000000
-5.84992496,3.13474145,0.02119809,0.18937107,1.49959205,1.74871808,0.65643118,0.38420007,1.13310248,0.00000000
-5.84392196,3.15680851,0.02074837,0.18547199,1.47142879,1.77562538,0.65539008,0.38609899,1.13908220,0.00000000
-5.83791896,3.17513860,0.02028501,0.18143006,1.44375227,1.80080463,0.65276481,0.38741355,1.14325512,0.00000000
-5.83191596,3.18940012,0.01981688,0.17725415,1.41682819,1.82389179,0.64864882,0.38809511,1.14556380,0.00000000
-5.82591296,3.19929940,0.01935234,0.17296062,1.39089483,1.84454117,0.64316483,0.38809870,1.14596685,0.00000000
-5.81990995,3.20459799,0.01889911,0.16857377,1.36617074,1.86243637,0.63646460,0.38738666,1.14444439,0.00000000
-5.81390695,3.20512938,0.01846424,0.16412598,1.34286271,1.87730077,0.62872787,0.38593259,1.14100347,0.00000000
-5.80790395,3.20081434,0.01805401,0.15965748,1.32117333,1.88890722,0.62016057,0.38372513,1.13568289,0.00000000
-5.80190095,3.19167347,0.01767396,0.15521559,1.30130710,1.89708606,0.61099202,0.38077152,1.12855724,0.00000000
-5.79589795,3.17783608,0.01732894,0.15085365,1.28347463,1.90173126,0.60147121,0.37710060,1.11973953,0.00000000
-5.78989495,3.15954456,0.01702311,0.14662942,1.26789429,1.90280411,0.59186211,0.37276503,1.10938230,0.00000000
-5.78389195,3.13715366,0.01676003,0.14260324,1.25479112,1.90033419,0.58243801,0.36784253,1.09767676,0.00000000
-5.77788894,3.11112445,0.01654274,0.13883574,1.24439280,1.89441762,0.57347508,0.36243602,1.08485022,0.00000000
-5.77188594,3.08201290,0.01637385,0.13538547,1.23692290,1.88521256,0.56524529,0.35667260,1.07116134,0.00000000
-5.76588294,3.05045360,0.01625561,0.13230632,1.23259171,1.87293203,0.55800883,0.35070130,1.05689376,0.00000000
-5.75987994,3.01713907,0.01618995,0.12964501,1.23158526,1.85783469,0.55200642,0.34468970,1.04234808,0.00000000
-5.75387694,2.98279575,0.01617856,0.12743869,1.23405314,1.84021368,0.54745167,0.33881949,1.02783263,0.00000000
-5.74787394,2.94815766,0.01622288,0.12571280,1.24009605,1.82038435,0.54452394,0.33328120,1.01365341,0.00000000
-5.74187094,2.91393894,0.01632410,0.12447928,1.24975380,1.79867133,0.54336193,0.32826818,1.00010369,0.00000000
-5.73586793,2.88080682,0.01648309,0.12373530,1.26299476,1.77539575,0.54405826,0.32397021,0.98745377,0.00000000
