energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.04766545,0.00390924,0.04352069,0.36659276,0.13964848,0.00583117,0.62130409,0.26215104,0.09959736
-5.99399700,1.03848363,0.00343734,0.04184270,0.37005262,0.13583449,0.00575371,0.61934487,0.25657212,0.09995698
-5.98799400,1.03923766,0.00304583,0.04039873,0.37685326,0.13413070,0.00572570,0.62338926,0.25374488,0.10098940
-5.98199100,1.05020307,0.00272985,0.03919980,0.38707687,0.13454828,0.00574847,0.63362022,0.25372925,0.10273453
-5.97598799,1.07154499,0.00248437,0.03825428,0.40076035,0.13708120,0.00582287,0.65015284,0.25655626,0.10522330
-5.96998499,1.10330733,0.00230431,0.03756744,0.41789070,0.14170628,0.00594920,0.67302709,0.26222641,0.10847583
-5.96398199,1.14540236,0.00218463,0.03714116,0.43840122,0.14838298,0.00612717,0.70220097,0.27070802,0.11249985
-5.95797899,1.19760150,0.00212034,0.03697363,0.46216856,0.15705276,0.00635581,0.73754440,0.28193558,0.11728939
-5.95197599,1.25952785,0.00210655,0.03705916,0.48901107,0.16763827,0.00663352,0.77883427,0.29580839,0.12282380
-5.94597299,1.33065119,0.00213851,0.03738804,0.51868844,0.18004232,0.00695796,0.82575105,0.31218940,0.12906707
-5.93996998,1.41028609,0.00221153,0.03794661,0.55090303,0.19414690,0.00732607,0.87787736,0.33090474,0.13596776
-5.93396698,1.49759347,0.00232104,0.03871733,0.58530284,0.20981227,0.00773408,0.93469887,0.35174378,0.14345921
-5.92796398,1.59158619,0.00246249,0.03967900,0.62148615,0.22687634,0.00817754,0.99560762,0.37446006,0.15146035
-5.92196098,1.69113887,0.00263138,0.04080711,0.65900793,0.24515452,0.00865134,1.05990808,0.39877313,0.15987692
-5.91595798,1.79500183,0.00282318,0.04207428,0.69738768,0.26444003,0.00914981,1.12682594,0.42437135,0.16860311
-5.90995498,1.90181936,0.00303336,0.04345075,0.73611876,0.28450498,0.00966680,1.19551949,0.45091573,0.17752365
-5.90395198,2.01015182,0.00325734,0.04490496,0.77467874,0.30510212,0.01019575,1.26509358,0.47804477,0.18651613
-5.89794897,2.11850124,0.00349053,0.04640422,0.81254054,0.32596751,0.01072988,1.33461576,0.50538025,0.19545371
-5.89194597,2.22533980,0.00372835,0.04791534,0.84918412,0.34682391,0.01126228,1.40313427,0.53253387,0.20420790
-5.88594297,2.32914054,0.00396622,0.04940529,0.88410819,0.36738508,0.01178606,1.46969744,0.55911461,0.21265151
-5.87993997,2.42840935,0.00419970,0.05084189,0.91684157,0.38736072,0.01229452,1.53337398,0.58473654,0.22066158
-5.87393697,2.52171737,0.00442445,0.05219443,0.94695401,0.40646211,0.01278127,1.59327339,0.60902695,0.22812223
-5.86793397,2.60773271,0.00463638,0.05343427,0.97406581,0.42440813,0.01324042,1.64856615,0.63163445,0.23492736
