energy_ev,total_up,Sb_p_up,Sb_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.79410393,0.11829613,0.00211333,0.61135561,0.17058376,0.00594706,0.44789032
-5.99399700,0.82128028,0.13163114,0.00217864,0.63033388,0.17317611,0.00617565,0.45546206
-5.98799400,0.85533990,0.14625178,0.00226142,0.65337465,0.17714339,0.00646502,0.46675332
-5.98199100,0.89642277,0.16211662,0.00236154,0.68044997,0.18258277,0.00681926,0.48190742
-5.97598799,0.94454975,0.17916447,0.00247862,0.71145398,0.18956366,0.00724119,0.50100054
-5.96998499,0.99961031,0.19731347,0.00261195,0.74619962,0.19812358,0.00773210,0.52403367
-5.96398199,1.06135292,0.21646048,0.00276053,0.78441764,0.20826470,0.00829157,0.55092607
-5.95797899,1.12937868,0.23648087,0.00292303,0.82575785,0.21995130,0.00891732,0.58151075
-5.95197599,1.20313881,0.25722877,0.00309784,0.86979288,0.23310826,0.00960508,0.61553227
-5.94597299,1.28193651,0.27853796,0.00328304,0.91602435,0.24762070,0.01034858,0.65264707
-5.93996998,1.36493366,0.30022334,0.00347645,0.96389161,0.26333485,0.01113949,0.69242669
-5.93396698,1.45116255,0.32208324,0.00367566,1.01278277,0.28006035,0.01196758,0.73436397
-5.92796398,1.53954304,0.34390256,0.00387810,1.06204811,0.29757390,0.01282084,0.77788236
-5.92196098,1.62890494,0.36545664,0.00408106,1.11101552,0.31562431,0.01368572,0.82234833
-5.91595798,1.71801560,0.38651608,0.00428180,1.15900779,0.33393888,0.01454742,0.86708671
-5.90995498,1.80561212,0.40685230,0.00447759,1.20536142,0.35223099,0.01539026,0.91139876
-5.90395198,1.89043751,0.42624380,0.00466582,1.24944648,0.37020881,0.01619809,0.95458242
-5.89794897,1.97127996,0.44448294,0.00484407,1.29068710,0.38758470,0.01695477,0.99595445
-5.89194597,2.04701377,0.46138302,0.00501023,1.32858183,0.40408515,0.01764459,1.03487340
-5.88594297,2.11664062,0.47678540,0.00516255,1.36272333,0.41946090,0.01825281,1.07076290
-5.87993997,2.17932938,0.49056640,0.00529974,1.39281653,0.43349668,0.01876611,1.10313418
-5.87393697,2.23445277,0.50264353,0.00542107,1.41869437,0.44602034,0.01917301,1.13160684
-5.86793397,2.28161887,0.51298074,0.00552640,1.44033038,0.45691072,0.01946428,1.15592685
-5.86193097,2.32069566,0.52159233,0.00561620,1.45784717,0.46610404,0.01963325,1.17598085
-5.85592796,2.35182700,0.52854522,0.00569164,1.47152006,0.47359826,0.01967599,1.19180575
-5.84992496,2.37543855,0.53395916,0.00575453,1.48177519,0.47945512,0.01959149,1.20359295
-5.84392196,2.39223253,0.53800480,0.00580733,1.48918170,0.48379969,0.01938170,1.21168657
-5.83791896,2.40317085,0.54089947,0.00585304,1.49443757,0.48681722,0.01905138,1.21657539
-5.83191596,2.40944640,0.54290056,0.00589518,1.49834937,0.48874734,0.01860797,1.21887846
-5.82591296,2.41244311,0.54429676,0.00593764,1.50180600,0.48987562,0.01806133,1.21932462
-5.81990995,2.41368595,0.54539730,0.00598454,1.50574731,0.49052291,0.01742334,1.21872661
-5.81390695,2.41478239,0.54651960,0.00604010,1.51112842,0.49103270,0.01670750,1.21795051
-5.80790395,2.41735773,0.54797580,0.00610846,1.51888107,0.49175703,0.01592846,1.21788174
-5.80190095,2.42298693,0.55005875,0.00619348,1.52987360,0.49304159,0.01510156,1.21938905
-5.79589795,2.43312585,0.55302814,0.00629863,1.54487116,0.49521058,0.01424228,1.22328790
-5.78989495,2.44904514,0.55709736,0.00642674,1.56449810,0.49855203,0.01336584,1.23030497
-5.78389195,2.47176988,0.56242194,0.00657990,1.58920442,0.50330437,0.01248670,1.24104546
-5.77788894,2.50202808,0.56908999,0.00675932,1.61923788,0.50964470,0.01161819,1.25596458
-5.77188594,2.54021057,0.57711537,0.00696523,1.65462354,0.51767957,0.01077223,1.27534487
-5.76588294,2.58634465,0.58643394,0.00719683,1.69515197,0.52743855,0.00995907,1.29928032
-5.75987994,2.64008290,0.59690327,0.00745224,1.74037693,0.53887112,0.00918712,1.32766823
-5.75387694,2.70070813,0.60830579,0.00772855,1.78962321,0.55184685,0.00846288,1.36020941
-5.74787394,2.76715455,0.62035545,0.00802189,1.84200440,0.56615922,0.00779095,1.39641662
-5.74187094,2.83804428,0.63270769,0.00832752,1.89645021,0.58153257,0.00717409,1.43563118
-5.73586793,2.91173793,0.64497210,0.00863997,1.95174224,0.59763229,0.00661337,1.47704696
-5.72986493,2.98639677,0.65672745,0.00895325,2.00655681,0.61407740,0.00610832,1.51974072
-5.72386193,3.06005383,0.66753824,0.00926102,2.05951287,0.63045530,0.00565718,1.56270739
-5.71785893,3.13069057,0.67697206,0.00955685,2.10922292,0.64633777,0.00525713,1.60489876
-5.71185593,3.19631555,0.68461694,0.00983439,2.15434461,0.66129758,0.00490452,1.64526372
-5.70585293,3.25504133,0.69009782,0.01008763,2.19363057,0.67492490,0.00459516,1.68278817
-5.69984992,3.30515624,0.69309148,0.01031111,2.22597424,0.68684284,0.00432452,1.71653280
-5.69384692,3.34518744,0.69333906,0.01050009,2.25044949,0.69672128,0.00408797,1.74566700
-5.68784392,3.37395271,0.69065589,0.01065069,2.26634237,0.70428848,0.00388091,1.76949740
-5.68184092,3.39059860,0.68493795,0.01076003,2.27317358,0.70933989,0.00369901,1.78748975
-5.67583792,3.39462355,0.67616488,0.01082631,2.27071073,0.71174399,0.00353822,1.79928337
-5.66983492,3.38588534,0.66439956,0.01084879,2.25897019,0.71144467,0.00339494,1.80469769
-5.66383192,3.36459299,0.64978423,0.01082783,2.23820864,0.70846052,0.00326600,1.80373070
-5.65782891,3.33128406,0.63253359,0.01076480,2.20890512,0.70288082,0.00314871,1.79654994
-5.65182591,3.28678910,0.61292527,0.01066199,2.17173477,0.69485887,0.00304083,1.78347654
-5.64582291,3.23218556,0.59128826,0.01052250,2.12753588,0.68460284,0.00294053,1.76496352
-5.63981991,3.16874380,0.56798990,0.01035005,2.07727212,0.67236490,0.00284638,1.74156974
-5.63381691,3.09786848,0.54342214,0.01014887,2.02199204,0.65842909,0.00275725,1.71393095
-5.62781391,3.02103825,0.51798778,0.00992349,1.96278789,0.64309881,0.00267227,1.68272968
-5.62181091,2.93974700,0.49208722,0.00967859,1.90075586,0.62668432,0.00259077,1.64866545
-5.61580790,2.85544954,0.46610640,0.00941886,1.83695946,0.60949105,0.00251222,1.61242696
-5.60980490,2.76951393,0.44040631,0.00914881,1.77239773,0.59180928,0.00243619,1.57466745
-5.60380190,2.68318270,0.41531456,0.00887272,1.70797936,0.57390546,0.00236232,1.53598446
-5.59779890,2.59754404,0.39111903,0.00859452,1.64450353,0.55601568,0.00229031,1.49690459
-5.59179590,2.51351387,0.36806389,0.00831773,1.58264784,0.53834137,0.00221986,1.45787383
-5.58579290,2.43182866,0.34634792,0.00804545,1.52296333,0.52104731,0.00215075,1.41925354
-5.57978989,2.35304861,0.32612491,0.00778034,1.46587597,0.50426187,0.00208279,1.38132177
-5.57378689,2.27757018,0.30750597,0.00752466,1.41169412,0.48807939,0.00201588,1.34427955
-5.56778389,2.20564635,0.29056349,0.00728027,1.36062071,0.47256420,0.00195001,1.30826138
-5.56178089,2.13741295,0.27533631,0.00704876,1.31276912,0.45775616,0.00188533,1.27334887
-5.55577789,2.07291911,0.26183570,0.00683144,1.26818136,0.44367718,0.00182214,1.23958674
-5.54977489,2.01215973,0.25005188,0.00662943,1.22684744,0.43033829,0.00176095,1.20699991
-5.54377189,1.95510823,0.23996049,0.00644375,1.18872459,0.41774696,0.00170249,1.17561078
-5.53776888,1.90174745,0.23152886,0.00627536,1.15375544,0.40591404,0.00164774,1.14545569
-5.53176588,1.85209754,0.22472166,0.00612520,1.12188411,0.39486026,0.00159794,1.11659965
-5.52576288,1.80623927,0.21950566,0.00599424,1.09306987,0.38462173,0.00155460,1.08914885
-5.51975988,1.76433204,0.21585348,0.00588353,1.06729761,0.37525432,0.00151950,1.06326029
-5.51375688,1.72662590,0.21374613,0.00579416,1.04458525,0.36683675,0.00149465,1.03914820
-5.50775388,1.69346730,0.21317432,0.00572731,1.02498799,0.35947229,0.00148230,1.01708721
-5.50175088,1.66529872,0.21413847,0.00568421,1.00859957,0.35328892,0.00148485,0.99741221
-5.49574787,1.64265229,0.21664759,0.00566613,0.99555098,0.34843817,0.00150490,0.98051495
-5.48974487,1.62613810,0.22071701,0.00567438,0.98600695,0.34509250,0.00154509,0.96683782
-5.48374187,1.61642768,0.22636512,0.00571024,0.98016079,0.34344147,0.00160811,0.95686495
-5.47773887,1.61423355,0.23360946,0.00577494,0.97822794,0.34368675,0.00169661,0.95111104
-5.47173587,1.62028557,0.24246211,0.00586965,0.98043872,0.34603622,0.00181310,0.95010836
-5.46573287,1.63530507,0.25292489,0.00599542,0.98703062,0.35069724,0.00195993,0.95439231
-5.45972986,1.65997751,0.26498443,0.00615317,0.99824053,0.35786940,0.00213914,0.96448584
-5.45372686,1.69492468,0.27860747,0.00634365,1.01429680,0.36773690,0.00235241,0.98088328
-5.44772386,1.74067699,0.29373657,0.00656740,1.03541162,0.38046072,0.00260097,1.00403372
-5.44172086,1.79764690,0.31028653,0.00682476,1.06177338,0.39617095,0.00288554,1.03432450
-5.43571786,1.86610400,0.32814170,0.00711581,1.09353924,0.41495935,0.00320621,1.07206496
-5.42971486,1.94615248,0.34715439,0.00744035,1.13082762,0.43687247,0.00356241,1.11747094
