energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.77992578,0.01982125,0.23041573,0.31929124,0.24709859,1.33467457,0.52358204,0.74030150,0.00000000
-5.99399700,1.88922694,0.02070427,0.24987096,0.33828381,0.25608381,1.42798332,0.56034013,0.77700884,0.00000000
-5.98799400,2.00056973,0.02163611,0.26999952,0.35776972,0.26489574,1.52315941,0.59812754,0.81370983,0.00000000
-5.98199100,2.11330380,0.02261024,0.29066764,0.37765415,0.27349881,1.61953851,0.63672504,0.85020719,0.00000000
-5.97598799,2.22673971,0.02361760,0.31172351,0.39782838,0.28186311,1.71639883,0.67589945,0.88630679,0.00000000
-5.96998499,2.34014402,0.02464657,0.33299829,0.41816820,0.28996238,1.81296526,0.71540294,0.92181318,0.00000000
-5.96398199,2.45273678,0.02568307,0.35430809,0.43853308,0.29777177,1.90841695,0.75497318,0.95652534,0.00000000
-5.95797899,2.56369220,0.02671083,0.37545688,0.45876596,0.30526566,2.00189878,0.79433451,0.99023291,0.00000000
-5.95197599,2.67214326,0.02771169,0.39624028,0.47869402,0.31241567,2.09253657,0.83320030,1.02271343,0.00000000
-5.94597299,2.77719055,0.02866607,0.41645025,0.49813036,0.31918896,2.17945608,0.87127667,1.05373093,0.00000000
-5.93996998,2.87791554,0.02955357,0.43588044,0.51687675,0.32554701,2.26180526,0.90826735,1.08303620,0.00000000
-5.93396698,2.97339815,0.03035355,0.45433212,0.53472732,0.33144502,2.33877889,0.94387970,1.11036882,0.00000000
-5.92796398,3.06273782,0.03104586,0.47162034,0.55147314,0.33683190,2.40964472,0.97783163,1.13546111,0.00000000
-5.92196098,3.14507757,0.03161155,0.48758009,0.56690752,0.34165094,2.47376979,1.00985900,1.15804378,0.00000000
-5.91595798,3.21962948,0.03203355,0.50207213,0.58083181,0.34584115,2.53064537,1.03972330,1.17785314,0.00000000
-5.90995498,3.28570049,0.03229733,0.51498813,0.59306141,0.34933918,2.57990927,1.06721888,1.19463937,0.00000000
-5.90395198,3.34271685,0.03239153,0.52625488,0.60343175,0.35208169,2.62136371,1.09217953,1.20817557,0.00000000
-5.89794897,3.39024569,0.03230838,0.53583718,0.61180387,0.35400812,2.65498770,1.11448380,1.21826681,0.00000000
-5.89194597,3.42801228,0.03204409,0.54373931,0.61806937,0.35506361,2.68094252,1.13405863,1.22475881,0.00000000
-5.88594297,3.45591174,0.03159906,0.55000481,0.62215439,0.35520191,2.69956969,1.15088114,1.22754552,0.00000000
-5.87993997,3.47401409,0.03097796,0.55471456,0.62402249,0.35438818,2.71138091,1.16497810,1.22657527,0.00000000
-5.87393697,3.48256237,0.03018958,0.55798326,0.62367618,0.35260143,2.71704004,1.17642326,1.22185491,0.00000000
-5.86793397,3.48196337,0.02924667,0.55995420,0.62115715,0.34983650,2.71733761,1.18533244,1.21345175,0.00000000
-5.86193097,3.47277151,0.02816546,0.56079286,0.61654508,0.34610555,2.71315885,1.19185659,1.20149317,0.00000000
-5.85592796,3.45566656,0.02696528,0.56067932,0.60995513,0.34143882,2.70544668,1.19617333,1.18616383,0.00000000
-5.84992496,3.43142646,0.02566786,0.55980009,0.60153442,0.33588485,2.69516127,1.19847716,1.16770073,0.00000000
-5.84392196,3.40089651,0.02429677,0.55833965,0.59145744,0.32951004,2.68323830,1.19896914,1.14638635,0.00000000
-5.83791896,3.36495701,0.02287672,0.55647212,0.57992093,0.32239756,2.67054803,1.19784652,1.12254037,0.00000000
-5.83191596,3.32449076,0.02143285,0.55435357,0.56713830,0.31464588,2.65785724,1.19529291,1.09651037,0.00000000
-5.82591296,3.28035259,0.01999012,0.55211530,0.55333400,0.30636686,2.64579623,1.19146964,1.06866206,0.00000000
-5.81990995,3.23334231,0.01857271,0.54985855,0.53873808,0.29768345,2.63483250,1.18650883,1.03936959,0.00000000
-5.81390695,3.18418262,0.01720347,0.54765069,0.52358112,0.28872740,2.62525265,1.18050848,1.00900650,0.00000000
-5.80790395,3.13350302,0.01590352,0.54552338,0.50808984,0.27963671,2.61715350,1.17353004,0.97793749,0.00000000
-5.80190095,3.08183027,0.01469190,0.54347250,0.49248336,0.27055317,2.61044286,1.16559836,0.94651163,0.00000000
-5.79589795,3.02958573,0.01358529,0.54146009,0.47697033,0.26161992,2.60484990,1.15670423,0.91505696,0.00000000
-5.78989495,2.97708918,0.01259790,0.53941793,0.46174681,0.25297916,2.59994466,1.14680915,0.88387678,0.00000000
-5.78389195,2.92456855,0.01174139,0.53725271,0.44699483,0.24476992,2.59516540,1.13585211,0.85324731,0.00000000
-5.77788894,2.87217441,0.01102486,0.53485246,0.43288167,0.23712594,2.58985244,1.12375789,0.82341690,0.00000000
-5.77188594,2.81999791,0.01045489,0.53209380,0.41955949,0.23017370,2.58328650,1.11044631,0.79460626,0.00000000
-5.76588294,2.76809074,0.01003565,0.52884968,0.40716533,0.22403042,2.57472943,1.09584191,0.76700964,0.00000000
-5.75987994,2.71648539,0.00976900,0.52499709,0.39582117,0.21880215,2.56346515,1.07988339,0.74079648,0.00000000
-5.75387694,2.66521424,0.00965460,0.52042448,0.38563397,0.21458191,2.54883845,1.06253224,0.71611328,0.00000000
-5.74787394,2.61432608,0.00969001,0.51503829,0.37669560,0.21144774,2.53028968,1.04378002,0.69308541,0.00000000
-5.74187094,2.56389905,0.00987080,0.50876838,0.36908244,0.20946096,2.50738347,1.02365391,0.67181860,0.00000000
-5.73586793,2.51404895,0.01019064,0.50157211,0.36285474,0.20866434,2.47983014,1.00222012,0.65239993,0.00000000
-5.72986493,2.46493283,0.01064133,0.49343679,0.35805581,0.20908060,2.44749863,0.97958512,0.63489834,0.00000000
-5.72386193,2.41674759,0.01121287,0.48438057,0.35471090,0.21071106,2.41042085,0.95589457,0.61936460,0.00000000
-5.71785893,2.36972420,0.01189352,0.47445159,0.35282624,0.21353475,2.36878715,0.93133018,0.60583084,0.00000000
-5.71185593,2.32411821,0.01266982,0.46372575,0.35238809,0.21750802,2.32293382,0.90610466,0.59431002,0.00000000
-5.70585293,2.28019757,0.01352673,0.45230308,0.35336220,0.22256475,2.27332359,0.88045527,0.58479527,0.00000000
-5.69984992,2.23822912,0.01444771,0.44030316,0.35569388,0.22861738,2.22052053,0.85463638,0.57725967,0.00000000
-5.69384692,2.19846516,0.01541487,0.42785975,0.35930867,0.23555877,2.16516134,0.82891152,0.57165663,0.00000000
