energy_ev,total_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.33915985,0.55914314,0.11805506,0.31219208,0.29819650,0.02357835,0.11259444,0.57076705,0.00000000
-5.99399700,1.37025917,0.57192522,0.12060985,0.31867292,0.30416932,0.02425806,0.11572950,0.58470495,0.00000000
-5.98799400,1.39440888,0.58256620,0.12253456,0.32378808,0.30844397,0.02478263,0.11838423,0.59581600,0.00000000
-5.98199100,1.41082163,0.59064517,0.12376582,0.32733440,0.31087420,0.02514126,0.12047210,0.60373561,0.00000000
-5.97598799,1.41888540,0.59579871,0.12425577,0.32914449,0.31135811,0.02532649,0.12191863,0.60817139,0.00000000
-5.96998499,1.41818315,0.59773397,0.12397368,0.32909261,0.30984077,0.02533441,0.12266408,0.60891271,0.00000000
-5.96398199,1.40850551,0.59623896,0.12290684,0.32709891,0.30631525,0.02516484,0.12266550,0.60583725,0.00000000
-5.95797899,1.38985581,0.59118958,0.12106093,0.32313196,0.30082198,0.02482133,0.12189818,0.59891435,0.00000000
-5.95197599,1.36244761,0.58255318,0.11845960,0.31720933,0.29344646,0.02431101,0.12035639,0.58820503,0.00000000
-5.94597299,1.32669464,0.57038854,0.11514347,0.30939638,0.28431560,0.02364437,0.11805340,0.57385865,0.00000000
-5.93996998,1.28319393,0.55484238,0.11116857,0.29980327,0.27359259,0.02283488,0.11502072,0.55610657,0.00000000
-5.93396698,1.23270290,0.53614260,0.10660418,0.28858044,0.26147089,0.02189858,0.11130681,0.53525297,0.00000000
-5.92796398,1.17611160,0.51458877,0.10153043,0.27591268,0.24816731,0.02085348,0.10697506,0.51166347,0.00000000
-5.92196098,1.11441141,0.49054024,0.09603546,0.26201229,0.23391468,0.01971908,0.10210137,0.48575191,0.00000000
-5.91595798,1.04866170,0.46440261,0.09021254,0.24711151,0.21895437,0.01851566,0.09677138,0.45796620,0.00000000
-5.90995498,0.97995582,0.43661322,0.08415713,0.23145459,0.20352896,0.01726380,0.09107741,0.42877354,0.00000000
-5.90395198,0.90938803,0.40762623,0.07796405,0.21528997,0.18787535,0.01598370,0.08511543,0.39864589,0.00000000
-5.89794897,0.83802249,0.37789807,0.07172485,0.19886275,0.17221855,0.01469473,0.07898197,0.36804625,0.00000000
-5.89194597,0.76686552,0.34787381,0.06552550,0.18240788,0.15676643,0.01341495,0.07277129,0.33741616,0.00000000
-5.88594297,0.69684206,0.31797496,0.05944441,0.16614413,0.14170535,0.01216071,0.06657282,0.30716488,0.00000000
-5.87993997,0.62877690,0.28858903,0.05355098,0.15026925,0.12719710,0.01094639,0.06046894,0.27766068,0.00000000
-5.87393697,0.56338092,0.26006132,0.04790444,0.13495616,0.11337675,0.00978420,0.05453327,0.24922419,0.00000000
-5.86793397,0.50124270,0.23268888,0.04255330,0.12035048,0.10035182,0.00868404,0.04882937,0.22212410,0.00000000
-5.86193097,0.44282504,0.20671682,0.03753512,0.10656921,0.08820232,0.00765352,0.04340990,0.19657505,0.00000000
-5.85592796,0.38846613,0.18233681,0.03287670,0.09370052,0.07698175,0.00669800,0.03831634,0.17273758,0.00000000
-5.84992496,0.33838487,0.15968763,0.02859462,0.08180459,0.06671891,0.00582073,0.03357903,0.15071996,0.00000000
-5.84392196,0.29268950,0.13885757,0.02469607,0.07091532,0.05742023,0.00502300,0.02921766,0.13058151,0.00000000
-5.83791896,0.25138894,0.11988818,0.02117988,0.06104269,0.04907260,0.00430441,0.02524207,0.11233730,0.00000000
-5.83191596,0.21440599,0.10277933,0.01803766,0.05217569,0.04164641,0.00366309,0.02165327,0.09596356,0.00000000
-5.82591296,0.18159161,0.08749502,0.01525509,0.04428552,0.03509879,0.00309596,0.01844463,0.08140389,0.00000000
-5.81990995,0.15273963,0.07396961,0.01281318,0.03732904,0.02937668,0.00259906,0.01560322,0.06857552,0.00000000
-5.81390695,0.12760132,0.06211434,0.01068951,0.03125212,0.02441993,0.00216771,0.01311119,0.05737573,0.00000000
-5.80790395,0.10589917,0.05182369,0.00885944,0.02599300,0.02016404,0.00179687,0.01094708,0.04768789,0.00000000
-5.80190095,0.08733966,0.04298146,0.00729714,0.02148532,0.01654268,0.00148126,0.00908712,0.03938717,0.00000000
-5.79589795,0.07162461,0.03546644,0.00597661,0.01766093,0.01348981,0.00121567,0.00750645,0.03234561,0.00000000
-5.78989495,0.05846111,0.02915745,0.00487244,0.01445237,0.01094153,0.00099504,0.00618019,0.02643665,0.00000000
-5.78389195,0.04756978,0.02393781,0.00396052,0.01179493,0.00883752,0.00081467,0.00508442,0.02153885,0.00000000
-5.77788894,0.03869157,0.01969912,0.00321861,0.00962843,0.00712215,0.00067033,0.00419698,0.01753912,0.00000000
-5.77188594,0.03159315,0.01634448,0.00262678,0.00789865,0.00574533,0.00055834,0.00349820,0.01433513,0.00000000
-5.76588294,0.02607089,0.01379109,0.00216768,0.00655838,0.00466310,0.00047569,0.00297144,0.01183729,0.00000000
-5.75987994,0.02195389,0.01197236,0.00182684,0.00556832,0.00383791,0.00042007,0.00260364,0.00997015,0.00000000
-5.75387694,0.01910593,0.01083951,0.00159281,0.00489765,0.00323885,0.00038994,0.00238562,0.00867344,0.00000000
-5.74787394,0.01742677,0.01036286,0.00145722,0.00452447,0.00284167,0.00038458,0.00231241,0.00790265,0.00000000
-5.74187094,0.01685280,0.01053273,0.00141490,0.00443607,0.00262868,0.00040409,0.00238348,0.00762946,0.00000000
-5.73586793,0.01735717,0.01136003,0.00146381,0.00462906,0.00258864,0.00044944,0.00260292,0.00784188,0.00000000
-5.72986493,0.01894967,0.01287661,0.00160511,0.00510944,0.00271656,0.00052249,0.00297947,0.00854416,0.00000000
-5.72386193,0.02167606,0.01513525,0.00184305,0.00589249,0.00301348,0.00062598,0.00352660,0.00975662,0.00000000
-5.71785893,0.02561722,0.01820937,0.00218494,0.00700263,0.00348619,0.00076353,0.00426245,0.01151525,0.00000000
-5.71185593,0.03088781,0.02219235,0.00264105,0.00847314,0.00414701,0.00093965,0.00520964,0.01387114,0.00000000
-5.70585293,0.03763454,0.02719636,0.00322446,0.01034577,0.00501341,0.00115971,0.00639508,0.01688974,0.00000000
-5.69984992,0.04603383,0.03335065,0.00395092,0.01267014,0.00610774,0.00142986,0.00784953,0.02064977,0.00000000
-5.69384692,0.05628884,0.04079930,0.00483859,0.01550300,0.00745674,0.00175698,0.00960709,0.02524196,0.00000000
-5.68784392,0.06862574,0.04969813,0.00590775,0.01890727,0.00909114,0.00214860,0.01170447,0.03076730,0.00000000
-5.68184092,0.08328902,0.06021090,0.00718046,0.02295083,0.01104509,0.00261274,0.01418012,0.03733503,0.00000000
-5.67583792,0.10053602,0.07250471,0.00868009,0.02770503,0.01335553,0.00315775,0.01707310,0.04506010,0.00000000
-5.66983492,0.12063029,0.08674448,0.01043077,0.03324302,0.01606144,0.00379215,0.02042179,0.05406027,0.00000000
-5.66383192,0.14383417,0.10308673,0.01245684,0.03963773,0.01920307,0.00452434,0.02426245,0.06445275,0.00000000
-5.65782891,0.17040041,0.12167263,0.01478208,0.04695971,0.02282099,0.00536237,0.02862751,0.07635049,0.00000000
-5.65182591,0.20056312,0.14262050,0.01742897,0.05527476,0.02695516,0.00631364,0.03354383,0.08985811,0.00000000
-5.64582291,0.23452829,0.16601800,0.02041791,0.06464145,0.03164391,0.00738459,0.03903084,0.10506771,0.00000000
-5.63981991,0.27246406,0.19191429,0.02376633,0.07510865,0.03692294,0.00858038,0.04509870,0.12205453,0.00000000
-5.63381691,0.31449127,0.22031243,0.02748786,0.08671311,0.04282429,0.00990457,0.05174647,0.14087275,0.00000000
-5.62781391,0.36067463,0.25116249,0.03159153,0.09947724,0.04937550,0.01135879,0.05896052,0.16155160,0.00000000
-5.62181091,0.41101487,0.28435566,0.03608104,0.11340721,0.05659875,0.01294253,0.06671314,0.18409188,0.00000000
-5.61580790,0.46544251,0.31971981,0.04095412,0.12849150,0.06451025,0.01465283,0.07496151,0.20846320,0.00000000
