energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.69927584,0.96409913,0.29214611,0.15814888,0.42450740,0.37082535,0.00058695
-5.99399700,1.66865763,0.94787729,0.28737163,0.15673322,0.42642684,0.35618993,0.00057207
-5.98799400,1.63454092,0.93041105,0.28186437,0.15495533,0.42769827,0.34097399,0.00055553
-5.98199100,1.59809264,0.91254442,0.27580666,0.15287086,0.42859272,0.32545560,0.00053779
-5.97598799,1.56056240,0.89519386,0.26939396,0.15053883,0.42942168,0.30991710,0.00051932
-5.96998499,1.52326564,0.87933673,0.26283190,0.14802149,0.43053525,0.29464084,0.00050062
-5.96398199,1.48756570,0.86599773,0.25633340,0.14538422,0.43231909,0.27990495,0.00048218
-5.95797899,1.45485490,0.85623331,0.25011569,0.14269552,0.43519016,0.26597924,0.00046449
-5.95197599,1.42653408,0.85111380,0.24439716,0.14002698,0.43959096,0.25312110,0.00044805
-5.94597299,1.40399039,0.85170317,0.23939417,0.13745309,0.44598206,0.24157154,0.00043330
-5.93996998,1.38857290,0.85903625,0.23531750,0.13505085,0.45483281,0.23155123,0.00042070
-5.93396698,1.38156601,0.87409365,0.23236863,0.13289912,0.46661025,0.22325658,0.00041063
-5.92796398,1.38416039,0.89777438,0.23073568,0.13107757,0.48176606,0.21685585,0.00040346
-5.92196098,1.39742178,0.93086680,0.23058901,0.12966534,0.50072201,0.21248539,0.00039950
-5.91595798,1.42225818,0.97401833,0.23207660,0.12873926,0.52385394,0.21024600,0.00039901
-5.90995498,1.45938600,1.02770481,0.23531928,0.12837172,0.55147490,0.21019948,0.00040217
-5.90395198,1.50929642,1.09220076,0.24040590,0.12862827,0.58381795,0.21236568,0.00040911
-5.89794897,1.57222324,1.16755143,0.24738866,0.12956508,0.62101933,0.21671987,0.00041988
-5.89194597,1.64811376,1.25354847,0.25627884,0.13122621,0.66310282,0.22319098,0.00043445
-5.88594297,1.73660452,1.34971036,0.26704313,0.13364108,0.70996610,0.23166058,0.00045271
-5.87993997,1.83700346,1.45526932,0.27960085,0.13682201,0.76136998,0.24196289,0.00047445
-5.87393697,1.94828051,1.56916598,0.29382227,0.14076223,0.81693136,0.25388608,0.00049941
-5.86793397,2.06906782,1.69005307,0.30952834,0.14543433,0.87612060,0.26717480,0.00052720
-5.86193097,2.19767099,1.81630903,0.32649195,0.15078933,0.93826392,0.28153415,0.00055739
-5.85592796,2.33209208,1.94606205,0.34444079,0.15675649,1.00255116,0.29663513,0.00058946
-5.84992496,2.47006450,2.07722459,0.36306204,0.16324390,1.06804914,0.31212141,0.00062281
-5.84392196,2.60909965,2.20753789,0.38200863,0.17013984,1.13372039,0.32761747,0.00065682
-5.83791896,2.74654415,2.33462561,0.40090716,0.17731499,1.19844698,0.34273779,0.00069082
-5.83191596,2.87964619,2.45605479,0.41936706,0.18462531,1.26105865,0.35709685,0.00072411
-5.82591296,3.00562881,2.56940238,0.43699092,0.19191565,1.32036442,0.37031969,0.00075598
-5.81990995,3.12176754,2.67232473,0.45338541,0.19902385,1.37518644,0.38205254,0.00078575
-5.81390695,3.22546936,2.76262743,0.46817254,0.20578516,1.42439485,0.39197321,0.00081277
-5.80790395,3.31434991,2.83833253,0.48100071,0.21203697,1.46694213,0.39980076,0.00083642
-5.80190095,3.38630561,2.89774044,0.49155516,0.21762345,1.50189568,0.40530404,0.00085616
-5.79589795,3.43957782,2.93948366,0.49956738,0.22240008,1.52846702,0.40830886,0.00087154
-5.78989495,3.47280620,2.96257007,0.50482299,0.22623785,1.54603654,0.40870324,0.00088219
-5.78389195,3.48506907,2.96641390,0.50716797,0.22902692,1.55417271,0.40644081,0.00088784
-5.77788894,3.47590913,2.95085296,0.50651277,0.23067968,1.55264486,0.40154196,0.00088833
-5.77188594,3.44534360,2.91615161,0.50283427,0.23113306,1.54142922,0.39409296,0.00088362
-5.76588294,3.39385869,2.86298933,0.49617560,0.23035001,1.52070786,0.38424285,0.00087379
-5.75987994,3.32238865,2.79243571,0.48664371,0.22832018,1.49086094,0.37219858,0.00085899
-5.75387694,3.23228107,2.70591320,0.47440501,0.22505973,1.45245246,0.35821836,0.00083951
-5.74787394,3.12524983,2.60514936,0.45967923,0.22061037,1.40621054,0.34260381,0.00081571
-5.74187094,3.00331833,2.49212105,0.44273178,0.21503757,1.35300304,0.32569103,0.00078804
-5.73586793,2.86875550,2.36899311,0.42386515,0.20842827,1.29380978,0.30784121,0.00075700
