energy_ev,total_up,Pb_p_up,Pb_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,2.78030940,0.37484930,0.00193130,0.67982883,1.16648590,1.67673923,0.00000000
-5.99399700,2.74856573,0.36948102,0.00187141,0.66662165,1.15906816,1.66299506,0.00000000
-5.98799400,2.71085531,0.36314026,0.00180837,0.65185856,1.14896329,1.64627830,0.00000000
-5.98199100,2.66917366,0.35611810,0.00174406,0.63609876,1.13685041,1.62777187,0.00000000
-5.97598799,2.62559291,0.34872603,0.00168036,0.61992439,1.12343095,1.60869112,0.00000000
-5.96998499,2.58220388,0.34128868,0.00161906,0.60392716,1.10940583,1.59024774,0.00000000
-5.96398199,2.54105883,0.33413633,0.00156188,0.58869563,1.09545332,1.57361419,0.00000000
-5.95797899,2.50411690,0.32759745,0.00151034,0.57480328,1.08220836,1.55988995,0.00000000
-5.95197599,2.47319365,0.32199152,0.00146583,0.56279787,1.07024396,1.55007055,0.00000000
-5.94597299,2.44991632,0.31762220,0.00142949,0.55319212,1.06005556,1.54502028,0.00000000
-5.93996998,2.43568547,0.31477105,0.00140227,0.54645577,1.05204852,1.54544922,0.00000000
-5.93396698,2.43164391,0.31369184,0.00138485,0.54300903,1.04652925,1.55189511,0.00000000
-5.92796398,2.43865320,0.31460560,0.00137771,0.54321727,1.04369997,1.56471020,0.00000000
-5.92196098,2.45727770,0.31769627,0.00138106,0.54738673,1.04365703,1.58405334,0.00000000
-5.91595798,2.48777611,0.32310712,0.00139488,0.55576099,1.04639273,1.60988719,0.00000000
-5.90995498,2.53009995,0.33093791,0.00141894,0.56851805,1.05180010,1.64198020,0.00000000
-5.90395198,2.58389856,0.34124258,0.00145280,0.58576767,1.05968040,1.67991332,0.00000000
-5.89794897,2.64853007,0.35402776,0.00149581,0.60754891,1.06975279,1.72309082,0.00000000
-5.89194597,2.72307752,0.36925174,0.00154716,0.63382766,1.08166556,1.77075505,0.00000000
-5.88594297,2.80636985,0.38682423,0.00160588,0.66449425,1.09500855,1.82200447,0.00000000
-5.87993997,2.89700690,0.40660658,0.00167085,0.69936113,1.10932628,1.87581478,0.00000000
-5.87393697,2.99338822,0.42841278,0.00174084,0.73816094,1.12413115,1.93106251,0.00000000
-5.86793397,3.09374510,0.45201107,0.00181453,0.78054508,1.13891674,1.98655076,0.00000000
-5.86193097,3.19617561,0.47712631,0.00189052,0.82608338,1.15317050,2.04103661,0.00000000
-5.85592796,3.29868215,0.50344313,0.00196735,0.87426507,1.16638597,2.09325979,0.00000000
-5.84992496,3.39921133,0.53060994,0.00204353,0.92450157,1.17807420,2.14197212,0.00000000
-5.84392196,3.49569564,0.55824375,0.00211759,0.97613159,1.18777435,2.18596714,0.00000000
