energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,5.77710732,0.04738872,0.07829071,0.10059716,3.67463495,2.24428111,0.58898832
-5.99399700,5.82440140,0.04546470,0.07989022,0.10194167,3.70630233,2.25306256,0.59344785
-5.98799400,5.84915786,0.04366546,0.08108571,0.10279820,3.72338911,2.25584445,0.59567248
-5.98199100,5.84812030,0.04195869,0.08183566,0.10311997,3.72383621,2.25106529,0.59532793
-5.97598799,5.81881961,0.04031499,0.08210913,0.10287351,3.70608781,2.23746130,0.59216092
-5.96998499,5.75964445,0.03870907,0.08188670,0.10203977,3.66913572,2.21409926,0.58600651
-5.96398199,5.66987898,0.03712076,0.08116112,0.10061479,3.61254301,2.18039658,0.57679213
-5.95797899,5.54970756,0.03553563,0.07993744,0.09860978,3.53644653,2.13612827,0.56453821
-5.95197599,5.40018696,0.03394533,0.07823283,0.09605063,3.44153887,2.08142112,0.54935547
-5.94597299,5.22318860,0.03234769,0.07607586,0.09297690,3.32903121,2.01673593,0.53143920
-5.93996998,5.02131437,0.03074645,0.07350550,0.08944043,3.20059948,1.94283892,0.51106076
-5.93396698,4.79779079,0.02915083,0.07056975,0.08550341,3.05831666,1.86076419,0.48855691
-5.92796398,4.55634678,0.02757488,0.06732406,0.08123638,2.90457477,1.77176920,0.46431736
-5.92196098,4.30108107,0.02603666,0.06382955,0.07671583,2.74200028,1.67728533,0.43877127
-5.91595798,4.03632507,0.02455739,0.06015112,0.07202190,2.57336668,1.57886595,0.41237328
-5.90995498,3.76650698,0.02316042,0.05635563,0.06723595,2.40150783,1.47813402,0.38558952
-5.90395198,3.49602232,0.02187032,0.05250999,0.06243836,2.22923553,1.37673137,0.35888424
-5.89794897,3.22911537,0.02071183,0.04867952,0.05770642,2.05926389,1.27627141,0.33270754
-5.89194597,2.96977506,0.01970902,0.04492643,0.05311251,1.89414307,1.17829665,0.30748437
-5.88594297,2.72164771,0.01888432,0.04130848,0.04872262,1.73620370,1.08424226,0.28360527
-5.87993997,2.48796834,0.01825780,0.03787797,0.04459506,1.58751311,0.99540624,0.26141882
-5.87393697,2.27151073,0.01784644,0.03468090,0.04077964,1.44984352,0.91292658,0.24122598
-5.86793397,2.07455601,0.01766353,0.03175651,0.03731706,1.32465197,0.83776548,0.22327616
-5.86193097,1.89887833,0.01771812,0.02913691,0.03423868,1.21307126,0.77070011,0.20776503
-5.85592796,1.74574609,0.01801471,0.02684708,0.03156647,1.11591060,0.71231955,0.19483379
-5.84992496,1.61593632,0.01855284,0.02490497,0.02931328,1.03366479,0.66302704,0.18456979
-5.84392196,1.50975985,0.01932701,0.02332180,0.02748325,0.96653019,0.62304674,0.17700825
-5.83791896,1.42709494,0.02032656,0.02210248,0.02607239,0.91442609,0.59243415,0.17213490
-5.83191596,1.36742701,0.02153575,0.02124612,0.02506922,0.87702004,0.57108926,0.16988929
-5.82591296,1.32989243,0.02293397,0.02074659,0.02445561,0.85375571,0.55877166,0.17016868
