energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.72606825,0.01197031,0.00000000,0.01624103,0.20214757,0.59182166,0.72428370,0.01574862,0.62796474
-5.99399700,1.71806276,0.01204510,0.00000000,0.01636624,0.20054850,0.59743228,0.71592406,0.01582887,0.63042198
-5.98799400,1.71368737,0.01214190,0.00000000,0.01660769,0.19906694,0.60511538,0.70871650,0.01595213,0.63482921
-5.98199100,1.71310674,0.01226038,0.00000000,0.01696661,0.19776623,0.61506796,0.70264112,0.01611246,0.64123008
-5.97598799,1.71640375,0.01239969,0.00000000,0.01744286,0.19669726,0.62742999,0.69765991,0.01630346,0.64963183
-5.96998499,1.72356159,0.01255840,0.00000000,0.01803451,0.19589631,0.64227240,0.69371372,0.01651825,0.65999599
-5.96398199,1.73444992,0.01273433,0.00000000,0.01873746,0.19538358,0.65958761,0.69072019,0.01674945,0.67223093
-5.95797899,1.74881575,0.01292454,0.00000000,0.01954514,0.19516232,0.67928275,0.68857277,0.01698921,0.68618677
-5.95197599,1.76627966,0.01312532,0.00000000,0.02044828,0.19521863,0.70117630,0.68714074,0.01722923,0.70165282
-5.94597299,1.78633741,0.01333220,0.00000000,0.02143484,0.19552200,0.72499819,0.68627028,0.01746095,0.71835786
-5.93996998,1.80836709,0.01354001,0.00000000,0.02249002,0.19602648,0.75039347,0.68578662,0.01767562,0.73597324
-5.93396698,1.83164152,0.01374305,0.00000000,0.02359644,0.19667244,0.77692964,0.68549702,0.01786454,0.75411879
-5.92796398,1.85534562,0.01393518,0.00000000,0.02473439,0.19738892,0.80410728,0.68519461,0.01801924,0.77237136
-5.92196098,1.87859787,0.01411002,0.00000000,0.02588221,0.19809635,0.83137375,0.68466301,0.01813175,0.79027556
-5.91595798,1.90047532,0.01426119,0.00000000,0.02701680,0.19870964,0.85813940,0.68368145,0.01819479,0.80735646
-5.90995498,1.92004118,0.01438246,0.00000000,0.02811421,0.19914144,0.88379568,0.68203037,0.01820204,0.82313363
-5.90395198,1.93637381,0.01446803,0.00000000,0.02915023,0.19930554,0.90773457,0.67949733,0.01814834,0.83713599
-5.89794897,1.94859617,0.01451270,0.00000000,0.03010108,0.19912012,0.92936843,0.67588292,0.01802991,0.84891686
-5.89194597,1.95590450,0.01451211,0.00000000,0.03094412,0.19851093,0.94814945,0.67100675,0.01784448,0.85806863
-5.88594297,1.95759518,0.01446287,0.00000000,0.03165850,0.19741405,0.96358814,0.66471298,0.01759139,0.86423636
-5.87993997,1.95308863,0.01436272,0.00000000,0.03222576,0.19577835,0.97526971,0.65687551,0.01727169,0.86712979
-5.87393697,1.94194931,0.01421067,0.00000000,0.03263046,0.19356737,0.98286807,0.64740247,0.01688810,0.86653330
-5.86793397,1.92390109,0.01400699,0.00000000,0.03286060,0.19076066,0.98615649,0.63623980,0.01644493,0.86231328
-5.86193097,1.89883722,0.01375328,0.00000000,0.03290802,0.18735455,0.98501474,0.62337389,0.01594801,0.85442269
-5.85592796,1.86682461,0.01345238,0.00000000,0.03276865,0.18336220,0.97943224,0.60883298,0.01540447,0.84290268
-5.84992496,1.82810218,0.01310837,0.00000000,0.03244266,0.17881307,0.96950719,0.59268738,0.01482254,0.82788099
-5.84392196,1.78307333,0.01272634,0.00000000,0.03193443,0.17375181,0.95544171,0.57504832,0.01421125,0.80956757
