energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.83289693,0.01310368,0.58613872,1.71669380,0.44055659,1.43795225,2.49403297,0.00763751,1.56080255
-5.99399700,4.82171075,0.01332623,0.58520643,1.71473727,0.44080553,1.42796571,2.48833776,0.00721166,1.56647367
-5.98799400,4.81304502,0.01356589,0.58358712,1.71465363,0.44163411,1.41792006,2.48432400,0.00681302,1.57255834
-5.98199100,4.80683238,0.01381552,0.58121786,1.71658126,0.44302142,1.40786043,2.48198699,0.00644236,1.57899244
-5.97598799,4.80278302,0.01406706,0.57802768,1.72055731,0.44492007,1.39778985,2.48119591,0.00610016,1.58564963
-5.96998499,4.80040673,0.01431181,0.57394282,1.72652065,0.44725791,1.38767511,2.48170492,0.00578662,1.59234622
-5.96398199,4.79904154,0.01454071,0.56889209,1.73431769,0.44994048,1.37745345,2.48316818,0.00550174,1.59884804
-5.95797899,4.79788733,0.01474473,0.56281220,1.74371083,0.45285408,1.36703971,2.48515774,0.00524537,1.60487918
-5.95197599,4.79604283,0.01491512,0.55565263,1.75438896,0.45586947,1.35633341,2.48718357,0.00501722,1.61013214
-5.94597299,4.79254416,0.01504379,0.54737987,1.76597950,0.45884598,1.34522556,2.48871463,0.00481691,1.61427903
-5.93996998,4.78640335,0.01512358,0.53798073,1.77806145,0.46163586,1.33360480,2.48920003,0.00464397,1.61698331
-5.93396698,4.77664512,0.01514845,0.52746455,1.79017880,0.46408889,1.32136259,2.48808940,0.00449786,1.61791168
-5.92796398,4.76234062,0.01511372,0.51586423,1.80185404,0.46605686,1.30839739,2.48485168,0.00437793,1.61674557
-5.92196098,4.74263679,0.01501620,0.50323610,1.81260110,0.46739799,1.29461765,2.47899158,0.00428345,1.61319181
-5.91595798,4.71678064,0.01485424,0.48965857,1.82193743,0.46798095,1.27994373,2.47006329,0.00421354,1.60699214
-5.90995498,4.68413777,0.01462772,0.47522971,1.82939508,0.46768847,1.26430860,2.45768112,0.00416722,1.59793111
-5.90395198,4.64420489,0.01433807,0.46006393,1.83453037,0.46642040,1.24765777,2.44152680,0.00414332,1.58584226
-5.89794897,4.59661647,0.01398810,0.44428801,1.83693216,0.46409608,1.22994833,2.42135367,0.00414048,1.57061229
-5.89194597,4.54114587,0.01358188,0.42803661,1.83622880,0.46065602,1.21114757,2.39698791,0.00415715,1.55218329
-5.88594297,4.47770156,0.01312455,0.41144763,1.83209354,0.45606293,1.19123123,2.36832706,0.00419154,1.53055291
-5.87993997,4.40631933,0.01262213,0.39465760,1.82424877,0.45030194,1.17018179,2.33533647,0.00424163,1.50577282
-5.87393697,4.32715130,0.01208125,0.37779734,1.81246900,0.44338017,1.14798690,2.29804408,0.00430516,1.47794543
-5.86793397,4.24045288,0.01150898,0.36098818,1.79658290,0.43532574,1.12463819,2.25653407,0.00437964,1.44721929
-5.86193097,4.14656858,0.01091256,0.34433881,1.77647437,0.42618621,1.10013060,2.21094009,0.00446235,1.41378345
-5.85592796,4.04591757,0.01029922,0.32794294,1.75208293,0.41602662,1.07446228,2.16143831,0.00455037,1.37786104
-5.84992496,3.93897984,0.00967598,0.31187779,1.72340339,0.40492719,1.04763518,2.10824086,0.00464063,1.33970250
-5.84392196,3.82628348,0.00904953,0.29620347,1.69048499,0.39298086,1.01965615,2.05158998,0.00472994,1.29957861
-5.83791896,3.70839358,0.00842604,0.28096327,1.65343000,0.38029066,0.99053854,1.99175296,0.00481504,1.25777385
-5.83191596,3.58590285,0.00781114,0.26618458,1.61239179,0.36696715,0.96030425,1.92901801,0.00489271,1.21457994
-5.82591296,3.45942407,0.00720978,0.25188057,1.56757240,0.35312585,0.92898586,1.86369106,0.00495977,1.17029010
-5.81990995,3.32958420,0.00662625,0.23805233,1.51921953,0.33888486,0.89662881,1.79609328,0.00501322,1.12519394
-5.81390695,3.19701979,0.00606416,0.22469130,1.46762300,0.32436263,0.86329341,1.72655919,0.00505030,1.07957301
-5.80790395,3.06237348,0.00552642,0.21178199,1.41311059,0.30967595,0.82905645,1.65543514,0.00506855,1.03369724
-5.80190095,2.92629091,0.00501530,0.19930459,1.35604329,0.29493815,0.79401223,1.58307777,0.00506590,0.98782195
-5.79589795,2.78941790,0.00453246,0.18723750,1.29681000,0.28025753,0.75827307,1.50985237,0.00504073,0.94218566
-5.78989495,2.65239739,0.00407903,0.17555960,1.23582162,0.26573605,0.72196889,1.43613089,0.00499191,0.89700841
-5.78389195,2.51586578,0.00365560,0.16425215,1.17350476,0.25146815,0.68524617,1.36228927,0.00491884,0.85249064
-5.77788894,2.38044863,0.00326234,0.15330020,1.11029511,0.23753982,0.64826610,1.28870434,0.00482151,0.80881248
-5.77188594,2.24675556,0.00289904,0.14269366,1.04663051,0.22402784,0.61120199,1.21574997,0.00470043,0.76613341
-5.76588294,2.11537437,0.00256516,0.13242772,0.98294407,0.21099916,0.57423612,1.14379270,0.00455666,0.72459218
-5.75987994,1.98686459,0.00225990,0.12250296,0.91965739,0.19851044,0.53755616,1.07318697,0.00439179,0.68430696
-5.75387694,1.86175067,0.00198221,0.11292499,0.85717402,0.18660774,0.50135120,1.00427012,0.00420784,0.64537572
-5.74787394,1.74051513,0.00173089,0.10370374,0.79587349,0.17532638,0.46580777,0.93735736,0.00400723,0.60787676
-5.74187094,1.62359204,0.00150458,0.09485249,0.73610597,0.16469087,0.43110578,0.87273703,0.00379269,0.57186931
-5.73586793,1.51136114,0.00130184,0.08638676,0.67818762,0.15471508,0.39741476,0.81066640,0.00356717,0.53739442
-5.72986493,1.40414307,0.00112115,0.07832307,0.62239700,0.14540251,0.36489042,0.75136814,0.00333376,0.50447588
-5.72386193,1.30219583,0.00096095,0.07067768,0.56897230,0.13674677,0.33367172,0.69502776,0.00309560,0.47312130
-5.71785893,1.20571284,0.00081966,0.06346544,0.51810969,0.12873217,0.30387850,0.64179215,0.00285578,0.44332336
-5.71185593,1.11482270,0.00069572,0.05669878,0.46996266,0.12133450,0.27560978,0.59176924,0.00261724,0.41506117
-5.70585293,1.02959070,0.00058758,0.05038676,0.42464232,0.11452200,0.24894267,0.54502889,0.00238274,0.38830175
-5.69984992,0.95002204,0.00049374,0.04453452,0.38221869,0.10825643,0.22393208,0.50160484,0.00215478,0.36300169
-5.69384692,0.87606660,0.00041278,0.03914277,0.34272273,0.10249430,0.20061089,0.46149772,0.00193553,0.33910875
-5.68784392,0.80762507,0.00034331,0.03420766,0.30614914,0.09718818,0.17899088,0.42467894,0.00172684,0.31656370
-5.68184092,0.74455616,0.00028404,0.02972073,0.27245973,0.09228805,0.15906399,0.39109513,0.00153017,0.29530204
-5.67583792,0.68668447,0.00023376,0.02566919,0.24158715,0.08774279,0.14080415,0.36067307,0.00134664,0.27525581
-5.66983492,0.63380879,0.00019137,0.02203627,0.21343895,0.08350149,0.12416927,0.33332463,0.00117699,0.25635530
-5.66383192,0.58571021,0.00015582,0.01880172,0.18790184,0.07951488,0.10910352,0.30895168,0.00102163,0.23853067
-5.65782891,0.54215999,0.00012620,0.01594244,0.16484581,0.07573648,0.09553970,0.28745050,0.00088064,0.22171348
-5.65182591,0.50292649,0.00010166,0.01343313,0.14412827,0.07212378,0.08340161,0.26871564,0.00075386,0.20583802
-5.64582291,0.46778115,0.00008145,0.01124697,0.12559790,0.06863913,0.07260636,0.25264288,0.00064084,0.19084245
-5.63981991,0.43650317,0.00006492,0.00935629,0.10909826,0.06525045,0.06306650,0.23913129,0.00054099,0.17666975
