energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.74982931,0.01492048,0.25483977,0.04261253,0.00000000,0.15949570,0.11113678
-5.99399700,0.72424172,0.01413153,0.24167960,0.04191613,0.00000000,0.15428326,0.10671951
-5.98799400,0.69645663,0.01332214,0.22845139,0.04099760,0.00000000,0.14858303,0.10204808
-5.98199100,0.66678426,0.01249986,0.21527796,0.03986918,0.00000000,0.14245827,0.09716956
-5.97598799,0.63556068,0.01167226,0.20227260,0.03854674,0.00000000,0.13597826,0.09213337
-5.96998499,0.60314199,0.01084679,0.18953895,0.03704940,0.00000000,0.12921727,0.08699053
-5.96398199,0.56989779,0.01003064,0.17717104,0.03539912,0.00000000,0.12225314,0.08179277
-5.95797899,0.53620401,0.00923063,0.16525334,0.03362012,0.00000000,0.11516589,0.07659167
-5.95197599,0.50243541,0.00845308,0.15386082,0.03173831,0.00000000,0.10803607,0.07143766
-5.94597299,0.46895801,0.00770370,0.14305903,0.02978066,0.00000000,0.10094321,0.06637910
-5.93996998,0.43612173,0.00698754,0.13290414,0.02777457,0.00000000,0.09396419,0.06146140
-5.93396698,0.40425354,0.00630886,0.12344295,0.02574727,0.00000000,0.08717180,0.05672616
-5.92796398,0.37365150,0.00567114,0.11471293,0.02372523,0.00000000,0.08063343,0.05221048
-5.92196098,0.34457979,0.00507705,0.10674236,0.02173368,0.00000000,0.07440994,0.04794639
-5.91595798,0.31726514,0.00452842,0.09955057,0.01979616,0.00000000,0.06855494,0.04396043
-5.90995498,0.29189462,0.00402632,0.09314836,0.01793422,0.00000000,0.06311423,0.04027346
-5.90395198,0.26861509,0.00357109,0.08753868,0.01616719,0.00000000,0.05812570,0.03690065
-5.89794897,0.24753413,0.00316242,0.08271758,0.01451207,0.00000000,0.05361949,0.03385170
-5.89194597,0.22872251,0.00279941,0.07867543,0.01298351,0.00000000,0.04961849,0.03113116
-5.88594297,0.21221795,0.00248072,0.07539843,0.01159390,0.00000000,0.04613916,0.02873906
-5.87993997,0.19803015,0.00220468,0.07287039,0.01035352,0.00000000,0.04319249,0.02667154
-5.87393697,0.18614655,0.00196938,0.07107476,0.00927080,0.00000000,0.04078527,0.02492175
-5.86793397,0.17653874,0.00177280,0.06999664,0.00835254,0.00000000,0.03892132,0.02348066
-5.86193097,0.16916911,0.00161298,0.06962501,0.00760423,0.00000000,0.03760280,0.02233802
-5.85592796,0.16399721,0.00148806,0.06995474,0.00703033,0.00000000,0.03683148,0.02148323
