energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-5.81390695,3.36235045,0.00867855,0.30603792,0.85215422,0.58339192,1.01892667,1.32836498,1.16791194,0.00000000
-5.80790395,3.30388949,0.00822497,0.30024018,0.82312270,0.57579981,0.97505225,1.31882809,1.13224355,0.00000000
-5.80190095,3.24108920,0.00777179,0.29431472,0.79504587,0.56676958,0.93167505,1.30629956,1.09636955,0.00000000
-5.79589795,3.17394607,0.00732225,0.28821452,0.76791387,0.55632577,0.88899554,1.29076883,1.06035546,0.00000000
-5.78989495,3.10256151,0.00687973,0.28189843,0.74170318,0.54452411,0.84718798,1.27230000,1.02427351,0.00000000
-5.78389195,3.02716226,0.00644774,0.27533468,0.71638551,0.53145178,0.80640577,1.25103897,0.98820907,0.00000000
-5.77788894,2.94811548,0.00602979,0.26850365,0.69193653,0.51722654,0.76678680,1.22721745,0.95226619,0.00000000
-5.77188594,2.86593707,0.00562932,0.26140024,0.66834354,0.50199480,0.72845842,1.20115339,0.91657184,0.00000000
-5.76588294,2.78129247,0.00524962,0.25403524,0.64561192,0.48592855,0.69154158,1.17324740,0.88127830,0.00000000
-5.75987994,2.69498899,0.00489376,0.24643600,0.62376968,0.46922124,0.65615385,1.14397505,0.84656360,0.00000000
-5.75387694,2.60795991,0.00456451,0.23864618,0.60286996,0.45208276,0.62241112,1.11387520,0.81262977,0.00000000
-5.74787394,2.52124049,0.00426425,0.23072467,0.58299123,0.43473354,0.59042786,1.08353453,0.77969890,0.00000000
-5.74187094,2.43593685,0.00399493,0.22274369,0.56423518,0.41739822,0.56031597,1.05356897,0.74800714,0.00000000
-5.73586793,2.35318884,0.00375801,0.21478619,0.54672235,0.40029879,0.53218235,1.02460256,0.71779693,0.00000000
-5.72986493,2.27412877,0.00355440,0.20694272,0.53058582,0.38364785,0.50612530,0.99724476,0.68930784,0.00000000
-5.72386193,2.19983769,0.00338445,0.19930783,0.51596328,0.36764186,0.48223027,0.97206715,0.66276641,0.00000000
-5.71785893,2.13130149,0.00324791,0.19197631,0.50298784,0.35245499,0.46056498,0.94958050,0.63837572,0.00000000
-5.71185593,2.06936897,0.00314394,0.18503940,0.49177832,0.33823363,0.44117467,0.93021354,0.61630499,0.00000000
-5.70585293,2.01471403,0.00307115,0.17858106,0.48242945,0.32509183,0.42407750,0.91429413,0.59668019,0.00000000
-5.69984992,1.96780400,0.00302757,0.17267478,0.47500260,0.31310796,0.40926077,0.90203412,0.57957576,0.00000000
-5.69384692,1.92887576,0.00301074,0.16738066,0.46951770,0.30232265,0.39667817,0.89351845,0.56500839,0.00000000
