energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,8.74449213,0.17819952,0.11581420,0.21174023,0.15019174,4.09123816,2.78080876,0.03455893,5.49681883
-5.99399700,8.88735374,0.18654734,0.11580214,0.22006352,0.15177556,4.16354558,2.81356227,0.03587258,5.59250480
-5.98799400,9.01427404,0.19509654,0.11535745,0.22752901,0.15296980,4.22809933,2.84371585,0.03709803,5.67907855
-5.98199100,9.12347232,0.20384737,0.11449833,0.23402446,0.15383782,4.28449375,2.87033180,0.03822527,5.75529007
-5.97598799,9.21325462,0.21279257,0.11324724,0.23944938,0.15445343,4.33233815,2.89246424,0.03924513,5.81991080
-5.96998499,9.28206060,0.22191547,0.11163008,0.24371769,0.15489948,4.37125603,2.90919463,0.04014941,5.87176503
-5.96398199,9.32850924,0.23118819,0.10967536,0.24676028,0.15526617,4.40088623,2.91966674,0.04093108,5.90976152
-5.95797899,9.35144200,0.24057024,0.10741346,0.24852701,0.15564933,4.42088595,2.92311950,0.04158429,5.93292434
-5.95197599,9.34996176,0.25000744,0.10487589,0.24898831,0.15614862,4.43093604,2.91891659,0.04210457,5.94042191
-5.94597299,9.32346600,0.25943134,0.10209475,0.24813620,0.15686568,4.43074823,2.90657161,0.04248879,5.93159313
-5.93996998,9.27167290,0.26875930,0.09910220,0.24598467,0.15790232,4.42007400,2.88576773,0.04273530,5.90596964
-5.93396698,9.19463891,0.27789509,0.09593009,0.24256951,0.15935852,4.39871474,2.85637114,0.04284387,5.86329329
-5.92796398,9.09276700,0.28673016,0.09260964,0.23794744,0.16133057,4.36653251,2.81843771,0.04281566,5.80352809
-5.92196098,8.96680485,0.29514568,0.08917129,0.23219470,0.16390905,4.32346070,2.77221265,0.04265321,5.72686607
-5.91595798,8.81783272,0.30301503,0.08564446,0.22540510,0.16717670,4.26951401,2.71812328,0.04236027,5.63372677
-5.90995498,8.64724151,0.31020702,0.08205749,0.21768762,0.17120629,4.20479704,2.65676511,0.04194172,5.52475050
-5.90395198,8.45670150,0.31658942,0.07843750,0.20916368,0.17605838,4.12951100,2.58888206,0.04140344,5.40078553
-5.89794897,8.24812306,0.32203296,0.07481032,0.19996420,0.18177893,4.04395805,2.51534168,0.04075209,5.26286995
-5.89194597,8.02361100,0.32641541,0.07120037,0.19022652,0.18839698,3.94854306,2.43710639,0.03999501,5.11220886
-5.88594297,7.78541438,0.32962581,0.06763057,0.18009134,0.19592230,3.84377269,2.35520218,0.03913998,4.95014818
-5.87993997,7.53587381,0.33156846,0.06412218,0.16969977,0.20434316,3.73025168,2.27068608,0.03819516,4.77814594
-5.87393697,7.27736861,0.33216664,0.06069473,0.15919060,0.21362437,3.60867669,2.18461375,0.03716887,4.59774246
-5.86793397,7.01226578,0.33136587,0.05736587,0.14869787,0.22370559,3.47982790,2.09800860,0.03606953,4.41053040
-5.86193097,6.74287274,0.32913653,0.05415126,0.13834869,0.23450025,3.34455860,2.01183371,0.03490558,4.21812592
-5.85592796,6.47139563,0.32547576,0.05106454,0.12826155,0.24589503,3.20378339,1.92696750,0.03368538,4.02214170
-5.84992496,6.19990429,0.32040843,0.04811729,0.11854491,0.25775020,3.05846516,1.84418406,0.03241722,3.82416250
-5.84392196,5.93030485,0.31398740,0.04531902,0.10929624,0.26990085,2.90960142,1.76413874,0.03110934,3.62572384
-5.83791896,5.66432045,0.30629265,0.04267730,0.10060128,0.28215911,2.75821027,1.68735925,0.02976988,3.42829390
-5.83191596,5.40347983,0.29742972,0.04019782,0.09253376,0.29431746,2.60531637,1.61424234,0.02840699,3.23325873
-5.82591296,5.14911357,0.28752715,0.03788458,0.08515522,0.30615303,2.45193714,1.54505577,0.02702880,3.04191060
-5.81990995,4.90235705,0.27673336,0.03574013,0.07851509,0.31743300,2.29906953,1.47994522,0.02564349,2.85543909
-5.81390695,4.66415914,0.26521280,0.03376572,0.07265092,0.32792073,2.14767749,1.41894531,0.02425931,2.67492461
-5.80790395,4.43529529,0.25314169,0.03196159,0.06758867,0.33738264,1.99868029,1.36199402,0.02288460,2.50133401
-5.80190095,4.21638383,0.24070354,0.03032721,0.06334311,0.34559554,1.85294191,1.30894952,0.02152776,2.33551753
-5.79589795,4.00790398,0.22808446,0.02886143,0.05991817,0.35235405,1.71126161,1.25960852,0.02019722,2.17820717
-5.78989495,3.81021451,0.21546865,0.02756274,0.05730736,0.35747786,1.57436574,1.21372501,0.01890140,2.03001587
-5.78389195,3.62357182,0.20303407,0.02642934,0.05549423,0.36081850,1.44290094,1.17102872,0.01764865,1.89143743
-5.77788894,3.44814665,0.19094851,0.02545931,0.05445277,0.36226528,1.31742884,1.13124219,0.01644711,1.76284718
-5.77188594,3.28403877,0.17936620,0.02465060,0.05414793,0.36175007,1.19842226,1.09409608,0.01530464,1.64450333
-5.76588294,3.13128916,0.16842500,0.02400108,0.05453618,0.35925065,1.08626305,1.05934193,0.01422869,1.53654920
-5.75987994,2.98988970,0.15824431,0.02350851,0.05556616,0.35479256,0.98124150,1.02676216,0.01322619,1.43901639
-5.75387694,2.85979022,0.14892364,0.02317046,0.05717946,0.34844912,0.88355740,0.99617712,0.01230340,1.35182914
-5.74787394,2.74090317,0.14054196,0.02298423,0.05931157,0.34033974,0.79332253,0.96744909,0.01146585,1.27481007
-5.74187094,2.63310628,0.13315764,0.02294677,0.06189294,0.33062656,0.71056472,0.94048339,0.01071820,1.20768720
-5.73586793,2.53624357,0.12680906,0.02305455,0.06485025,0.31950937,0.63523305,0.91522692,0.01006418,1.15010254
-5.72986493,2.45012499,0.12151570,0.02330348,0.06810779,0.30721929,0.56720424,0.89166426,0.00950651,1.10162188
-5.72386193,2.37452525,0.11727964,0.02368880,0.07158901,0.29401126,0.50628988,0.86981210,0.00904686,1.06174586
