energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.65655261,0.02048360,0.62502591,0.78348855,0.00000000,2.95331487,0.58764893,1.01285073,0.05704348
-5.99399700,2.67666551,0.02180808,0.63211369,0.78993173,0.00000000,2.97660921,0.59250733,1.02146773,0.05679489
-5.98799400,2.69349485,0.02309571,0.63834901,0.79524303,0.00000000,2.99410426,0.59689561,1.02965864,0.05648437
-5.98199100,2.70664811,0.02432803,0.64371111,0.79928567,0.00000000,3.00578533,0.60066696,1.03727049,0.05610608
-5.97598799,2.71574670,0.02548645,0.64817026,0.80193617,0.00000000,3.01160894,0.60368033,1.04414841,0.05565544
-5.96998499,2.72043529,0.02655261,0.65168809,0.80308760,0.00000000,3.01150357,0.60580380,1.05014080,0.05512919
-5.96398199,2.72039264,0.02750896,0.65421909,0.80265273,0.00000000,3.00537551,0.60691808,1.05510475,0.05452551
-5.95797899,2.71534315,0.02833919,0.65571288,0.80056703,0.00000000,2.99311926,0.60691978,1.05891131,0.05384402
-5.95197599,2.70506832,0.02902874,0.65611739,0.79679118,0.00000000,2.97463137,0.60572446,1.06145029,0.05308584
-5.94597299,2.68941725,0.02956523,0.65538231,0.79131286,0.00000000,2.94982660,0.60326910,1.06263410,0.05225355
-5.93996998,2.66831515,0.02993888,0.65346278,0.78414775,0.00000000,2.91865479,0.59951400,1.06240034,0.05135115
-5.93396698,2.64176925,0.03014275,0.65032285,0.77533936,0.00000000,2.88111700,0.59444385,1.06071285,0.05038389
-5.92796398,2.60987128,0.03017305,0.64593842,0.76495781,0.00000000,2.83727952,0.58806785,1.05756115,0.04935817
-5.92196098,2.57279621,0.03002921,0.64029954,0.75309743,0.00000000,2.78728449,0.58041896,1.05295819,0.04828129
-5.91595798,2.53079725,0.02971395,0.63341174,0.73987336,0.00000000,2.73135624,0.57155221,1.04693667,0.04716118
-5.90995498,2.48419717,0.02923315,0.62529645,0.72541723,0.00000000,2.66980291,0.56154214,1.03954414,0.04600614
-5.90395198,2.43337665,0.02859568,0.61599042,0.70987224,0.00000000,2.60301301,0.55047960,1.03083731,0.04482452
-5.89794897,2.37876037,0.02781314,0.60554432,0.69338795,0.00000000,2.53144750,0.53846806,1.02087609,0.04362445
-5.89194597,2.32080192,0.02689944,0.59402053,0.67611505,0.00000000,2.45562788,0.52561970,1.00971798,0.04241354
-5.88594297,2.25996853,0.02587045,0.58149067,0.65820062,0.00000000,2.37612130,0.51205157,0.99741323,0.04119870
-5.87993997,2.19672699,0.02474343,0.56803271,0.63978405,0.00000000,2.29352385,0.49788201,0.98400133,0.03998593
-5.87393697,2.13153161,0.02353663,0.55372834,0.62099401,0.00000000,2.20844341,0.48322767,0.96950927,0.03878029
-5.86793397,2.06481524,0.02226867,0.53866060,0.60194665,0.00000000,2.12148310,0.46820129,0.95395187,0.03758585
-5.86193097,1.99698392,0.02095817,0.52291204,0.58274513,0.00000000,2.03322673,0.45291032,0.93733413,0.03640586
-5.85592796,1.92841557,0.01962320,0.50656366,0.56348056,0.00000000,1.94422687,0.43745660,0.91965570,0.03524284
-5.84992496,1.85946257,0.01828092,0.48969454,0.54423415,0.00000000,1.85499641,0.42193690,0.90091720,0.03409892
-5.84392196,1.79045801,0.01694724,0.47238236,0.52508047,0.00000000,1.76600377,0.40644433,0.88112785,0.03297608
-5.83791896,1.72172475,0.01563655,0.45470449,0.50609147,0.00000000,1.67767177,0.39107053,0.86031400,0.03187656
-5.83191596,1.65358659,0.01436151,0.43673975,0.48734094,0.00000000,1.59037983,0.37590812,0.83852781,0.03080319
-5.82591296,1.58638009,0.01313295,0.41857035,0.46890897,0.00000000,1.50446886,0.36105357,0.81585548,0.02975972
-5.81990995,1.52046613,0.01195982,0.40028410,0.45088609,0.00000000,1.42024809,0.34660973,0.79242416,0.02875115
-5.81390695,1.45623968,0.01084920,0.38197623,0.43337654,0.00000000,1.33800291,0.33268809,0.76840707,0.02778393
-5.80790395,1.39413677,0.00980637,0.36375099,0.41650046,0.00000000,1.25800271,0.31941029,0.74402612,0.02686607
-5.80190095,1.33463773,0.00883497,0.34572242,0.40039466,0.00000000,1.18050792,0.30690863,0.71955169,0.02600719
-5.79589795,1.27826580,0.00793711,0.32801445,0.38521174,0.00000000,1.10577540,0.29532556,0.69529931,0.02521841
-5.78989495,1.22558078,0.00711356,0.31075991,0.37111760,0.00000000,1.03406165,0.28481182,0.67162317,0.02451206
-5.78389195,1.17716771,0.00636393,0.29409870,0.35828716,0.00000000,0.96562345,0.27552342,0.64890662,0.02390135
-5.77788894,1.13362068,0.00568689,0.27817493,0.34689866,0.00000000,0.90071577,0.26761732,0.62754991,0.02339987
-5.77188594,1.09552245,0.00508028,0.26313319,0.33712657,0.00000000,0.83958710,0.26124606,0.60795578,0.02302104
-5.76588294,1.06342078,0.00454137,0.24911424,0.32913359,0.00000000,0.78247256,0.25655154,0.59051349,0.02277741
-5.75987994,1.03780259,0.00406691,0.23625007,0.32306205,0.00000000,0.72958520,0.25365820,0.57558201,0.02267999
-5.75387694,1.01906729,0.00365331,0.22465888,0.31902525,0.00000000,0.68110620,0.25266589,0.56347327,0.02273756
-5.74787394,1.00750062,0.00329676,0.21444002,0.31709906,0.00000000,0.63717473,0.25364297,0.55443620,0.02295597
-5.74187094,1.00325064,0.00299325,0.20566922,0.31731451,0.00000000,0.59787809,0.25661973,0.54864254,0.02333755
-5.73586793,1.00630714,0.00273869,0.19839451,0.31965155,0.00000000,0.56324302,0.26158281,0.54617497,0.02388057
-5.72986493,1.01648586,0.00252891,0.19263280,0.32403458,0.00000000,0.53322866,0.26847076,0.54701846,0.02457891
-5.72386193,1.03341849,0.00235974,0.18836759,0.33032997,0.00000000,0.50772190,0.27717112,0.55105511,0.02542177
-5.71785893,1.05654948,0.00222700,0.18554775,0.33834585,0.00000000,0.48653527,0.28751935,0.55806304,0.02639365
-5.71185593,1.08514003,0.00212654,0.18408763,0.34783434,0.00000000,0.46940783,0.29929961,0.56771937,0.02747450
-5.70585293,1.11827962,0.00205424,0.18386834,0.35849608,0.00000000,0.45600896,0.31224768,0.57960736,0.02864004
-5.69984992,1.15490480,0.00200605,0.18474042,0.36998718,0.00000000,0.44594517,0.32605592,0.59322747,0.02986228
-5.69384692,1.19382488,0.00197797,0.18652762,0.38192823,0.00000000,0.43876933,0.34038010,0.60801195,0.03111019
-5.68784392,1.23375354,0.00196613,0.18903172,0.39391502,0.00000000,0.43399242,0.35484812,0.62334238,0.03235060
-5.68184092,1.27334540,0.00196677,0.19203826,0.40553074,0.00000000,0.43109680,0.36907013,0.63856952,0.03354908
-5.67583792,1.31123597,0.00197631,0.19532294,0.41635890,0.00000000,0.42955088,0.38264975,0.65303464,0.03467106
-5.66983492,1.34608354,0.00199133,0.19865834,0.42599674,0.00000000,0.42882431,0.39519609,0.66609139,0.03568287
-5.66383192,1.37661124,0.00200870,0.20182086,0.43406819,0.00000000,0.42840304,0.40633584,0.67712735,0.03655283
-5.65782891,1.40164751,0.00202551,0.20459752,0.44023628,0.00000000,0.42780390,0.41572523,0.68558437,0.03725228
-5.65182591,1.42016333,0.00203919,0.20679232,0.44421399,0.00000000,0.42658777,0.42306111,0.69097682,0.03775651
-5.64582291,1.43130469,0.00204752,0.20823204,0.44577350,0.00000000,0.42437111,0.42809091,0.69290695,0.03804555
-5.63981991,1.43441884,0.00204863,0.20877103,0.44475311,0.00000000,0.42083527,0.43062090,0.69107691,0.03810481
-5.63381691,1.42907351,0.00204106,0.20829517,0.44106189,0.00000000,0.41573343,0.43052249,0.68529682,0.03792548
-5.62781391,1.41506808,0.00202374,0.20672447,0.43468155,0.00000000,0.40889476,0.42773636,0.67548865,0.03750478
-5.62181091,1.39243669,0.00199600,0.20401453,0.42566585,0.00000000,0.40022601,0.42227423,0.66168600,0.03684595
-5.61580790,1.36144316,0.00195758,0.20015670,0.41413736,0.00000000,0.38971036,0.41421820,0.64402973,0.03595802
-5.60980490,1.32256823,0.00190860,0.19517699,0.40028201,0.00000000,0.37740384,0.40371796,0.62275984,0.03485540
-5.60380190,1.27648986,0.00184951,0.18913390,0.38434157,0.00000000,0.36342953,0.39098573,0.59820410,0.03355730
-5.59779890,1.22405777,0.00178108,0.18211515,0.36660457,0.00000000,0.34796999,0.37628953,0.57076404,0.03208693
-5.59179590,1.16626339,0.00170437,0.17423362,0.34739612,0.00000000,0.33125817,0.35994490,0.54089902,0.03047074
-5.58579290,1.10420679,0.00162064,0.16562271,0.32706699,0.00000000,0.31356742,0.34230562,0.50910907,0.02873742
-5.57978989,1.03906204,0.00153132,0.15643123,0.30598266,0.00000000,0.29520096,0.32375377,0.47591748,0.02691698
-5.57378689,0.97204240,0.00143796,0.14681812,0.28451251,0.00000000,0.27648127,0.30468951,0.44185360,0.02503983
-5.56778389,0.90436689,0.00134219,0.13694726,0.26301989,0.00000000,0.25773986,0.28552113,0.40743684,0.02313586
-5.56178089,0.83722919,0.00124565,0.12698245,0.24185305,0.00000000,0.23930759,0.26665552,0.37316220,0.02123369
-5.55577789,0.77176999,0.00114994,0.11708288,0.22133756,0.00000000,0.22150604,0.24848940,0.33948796,0.01935992
-5.54977489,0.70905339,0.00105662,0.10739909,0.20177002,0.00000000,0.20463995,0.23140158,0.30682567,0.01753861
-5.54377189,0.65004770,0.00096713,0.09806962,0.18341339,0.00000000,0.18899094,0.21574624,0.27553287,0.01579085
-5.53776888,0.59561090,0.00088280,0.08921838,0.16649384,0.00000000,0.17481239,0.20184734,0.24590825,0.01413444
-5.53176588,0.54648038,0.00080481,0.08095266,0.15119897,0.00000000,0.16232563,0.18999408,0.21818950,0.01258379
-5.52576288,0.50326688,0.00073420,0.07336195,0.13767727,0.00000000,0.15171720,0.18043737,0.19255332,0.01114988
-5.51975988,0.46645190,0.00067183,0.06651735,0.12603872,0.00000000,0.14313710,0.17338704,0.16911758,0.00984035
-5.51375688,0.43638800,0.00061840,0.06047159,0.11635611,0.00000000,0.13669779,0.16900983,0.14794508,0.00865972
-5.50775388,0.41330145,0.00057447,0.05525949,0.10866699,0.00000000,0.13247390,0.16742777,0.12904869,0.00760960
-5.50175088,0.39729641,0.00054041,0.05089884,0.10297602,0.00000000,0.13050234,0.16871706,0.11239729,0.00668904
-5.49574787,0.38836017,0.00051647,0.04739155,0.09925739,0.00000000,0.13078278,0.17290706,0.09792238,0.00589487
-5.48974487,0.38636897,0.00050273,0.04472502,0.09745734,0.00000000,0.13327837,0.17997960,0.08552478,0.00522207
-5.48374187,0.39109406,0.00049914,0.04287357,0.09749654,0.00000000,0.13791665,0.18986840,0.07508132,0.00466407
-5.47773887,0.40220780,0.00050553,0.04179995,0.09927228,0.00000000,0.14459061,0.20245880,0.06645111,0.00421317
-5.47173587,0.41928984,0.00052157,0.04145683,0.10266051,0.00000000,0.15316003,0.21758782,0.05948140,0.00386079
-5.46573287,0.44183347,0.00054684,0.04178829,0.10751774,0.00000000,0.16345306,0.23504472,0.05401276,0.00359774
-5.45972986,0.46925236,0.00058077,0.04273119,0.11368281,0.00000000,0.17526822,0.25457232,0.04988360,0.00341453
-5.45372686,0.50088799,0.00062268,0.04421661,0.12097871,0.00000000,0.18837690,0.27586914,0.04693398,0.00330150
