energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.43921961,4.54770927,0.50348140,0.01265374,0.65334146,4.02608850,0.02008988,0.11495994
-4.43321661,4.55360628,0.49345326,0.01250135,0.62783852,4.04906385,0.01974521,0.11108170
-4.42721361,4.57066692,0.48451827,0.01237896,0.60369838,4.08202029,0.01940859,0.10745779
-4.42121061,4.59959350,0.47667519,0.01228708,0.58104641,4.12558477,0.01908205,0.10413204
-4.41520760,4.64088385,0.46990086,0.01222570,0.55997416,4.18020538,0.01876680,0.10114353
-4.40920460,4.69480868,0.46415122,0.01219427,0.54053892,4.24612867,0.01846325,0.09852577
-4.40320160,4.76139331,0.45936284,0.01219177,0.52276464,4.32338071,0.01817108,0.09630604
-4.39719860,4.84040429,0.45545522,0.01221676,0.50664371,4.41175213,0.01788929,0.09450480
-4.39119560,4.93134119,0.45233339,0.01226738,0.49213970,4.51078797,0.01761629,0.09313529
-4.38519260,5.03343394,0.44989078,0.01234146,0.47919053,4.61978260,0.01734994,0.09220315
-4.37918959,5.14564611,0.44801238,0.01243649,0.46771212,4.73778042,0.01708773,0.09170626
-4.37318659,5.26668454,0.44657772,0.01254974,0.45760219,4.86358273,0.01682680,0.09163466
-4.36718359,5.39501562,0.44546398,0.01267821,0.44874416,4.99576115,0.01656410,0.09197064
-4.36118059,5.52888840,0.44454882,0.01281877,0.44101095,5.13267799,0.01629644,0.09268903
-4.35517759,5.66636462,0.44371319,0.01296809,0.43426881,5.27251349,0.01602066,0.09375769
-4.34917459,5.80535561,0.44284378,0.01312279,0.42838087,5.41329992,0.01573366,0.09513814
-4.34317159,5.94366550,0.44183542,0.01327936,0.42321068,5.55296219,0.01543258,0.09678652
-4.33716858,6.07904025,0.44059314,0.01343431,0.41862549,5.68936418,0.01511485,0.09865464
-4.33116558,6.20922151,0.43903406,0.01358416,0.41449944,5.82035997,0.01477829,0.10069128
-4.32516258,6.33200393,0.43708904,0.01372552,0.41071653,5.94384863,0.01442124,0.10284369
-4.31915958,6.44529463,0.43470405,0.01385515,0.40717347,6.05783115,0.01404258,0.10505913
-4.31315658,6.54717280,0.43184133,0.01397003,0.40378227,6.16046770,0.01364186,0.10728660
-4.30715358,6.63594775,0.42848014,0.01406745,0.40047250,6.25013343,0.01321932,0.10947851
