energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,7.63909809,0.00485742,2.72889801,0.09031944,0.19295868,1.75310649,5.39939291,2.19909647
-5.99399700,7.42442022,0.00474379,2.69258819,0.08431172,0.17837887,1.66319812,5.24402690,2.20030427
-5.98799400,7.23109055,0.00468440,2.66370993,0.07861429,0.16422088,1.57905325,5.10923790,2.20451898
-5.98199100,7.06230521,0.00468503,2.64286296,0.07331592,0.15060452,1.50201151,4.99741296,2.21204251
-5.97598799,6.92059186,0.00475075,2.63039212,0.06849684,0.13763346,1.43327046,4.91040314,2.22301191
-5.96998499,6.80778862,0.00488575,2.62638853,0.06422803,0.12539516,1.37387040,4.84951018,2.23739832
-5.96398199,6.72503904,0.00509327,2.63069753,0.06057059,0.11396107,1.32468172,4.81548358,2.25501203
-5.95797899,6.67280200,0.00537548,2.64293261,0.05757541,0.10338718,1.28639462,4.80852721,2.27551340
-5.95197599,6.65087477,0.00573330,2.66249460,0.05528307,0.09371466,1.25951129,4.82831421,2.29842887
-5.94597299,6.65842766,0.00616636,2.68859503,0.05372393,0.08497082,1.24434060,4.87400909,2.32317123
-5.93996998,6.69404846,0.00667285,2.72028275,0.05291828,0.07717000,1.24099541,4.94429609,2.34906309
-5.93396698,6.75579463,0.00724950,2.75647261,0.05287677,0.07031475,1.24939253,5.03741281,2.37536238
-5.92796398,6.84125180,0.00789147,2.79597533,0.05360076,0.06439683,1.26925561,5.15118844,2.40128875
-5.92196098,6.94759689,0.00859241,2.83752747,0.05508290,0.05939842,1.30012102,5.28308621,2.42604956
-5.91595798,7.07166443,0.00934445,2.87982093,0.05730760,0.05529315,1.34134683,5.43024942,2.44886455
-5.90995498,7.21001525,0.01013832,2.92153116,0.06025161,0.05204724,1.39212512,5.58955118,2.46898828
-5.90395198,7.35900632,0.01096344,2.96134370,0.06388453,0.04962046,1.45149746,5.75764744,2.48572959
-5.89794897,7.51486133,0.01180819,2.99797882,0.06816939,0.04796712,1.51837363,5.93103337,2.49846763
-5.89194597,7.67374116,0.01266008,3.03021399,0.07306308,0.04703691,1.59155324,6.10610280,2.50666434
-5.88594297,7.83181397,0.01350609,3.05690427,0.07851687,0.04677578,1.66975006,6.27921047,2.50987325
-5.87993997,7.98532409,0.01433298,3.07700055,0.08447685,0.04712660,1.75161848,6.44673632,2.50774487
-5.87393697,8.13065926,0.01512770,3.08956584,0.09088432,0.04802985,1.83578159,6.60515135,2.50002897
-5.86793397,8.26441532,0.01587769,3.09378955,0.09767625,0.04942423,1.92086004,6.75108351,2.48657422
-5.86193097,8.38345740,0.01657132,3.08899988,0.10478564,0.05124720,2.00550109,6.88138258,2.46732566
-5.85592796,8.48497644,0.01719826,3.07467421,0.11214203,0.05343546,2.08840676,6.99318215,2.44232051
-5.84992496,8.56653980,0.01774977,3.05044736,0.11967190,0.05592548,2.16836042,7.08395699,2.41168276
