energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.38039043,0.10580944,0.00207161,0.01833103,0.85237921,0.93503377,0.28692379
-5.99399700,1.38808894,0.10125546,0.00217315,0.01707034,0.86214318,0.93434828,0.29133898
-5.98799400,1.39566786,0.09720957,0.00227183,0.01590895,0.87143675,0.93299867,0.29565100
-5.98199100,1.40305365,0.09375135,0.00236733,0.01485104,0.88014776,0.93097027,0.29981564
-5.97598799,1.41025049,0.09095439,0.00245950,0.01389908,0.88822121,0.92831503,0.30380595
-5.96998499,1.41734393,0.08888595,0.00254836,0.01305416,0.89566152,0.92515040,0.30761403
-5.96398199,1.42450061,0.08760698,0.00263410,0.01231634,0.90253197,0.92165546,0.31125180
-5.95797899,1.43196394,0.08717222,0.00271703,0.01168500,0.90895124,0.91806438,0.31475084
-5.95197599,1.44004583,0.08763044,0.00279762,0.01115914,0.91508727,0.91465736,0.31816119
-5.94597299,1.44911492,0.08902468,0.00287638,0.01073762,0.92114874,0.91174940,0.32154927
-5.93996998,1.45958182,0.09139257,0.00295390,0.01041942,0.92737451,0.90967721,0.32499501
-5.93396698,1.47188198,0.09476656,0.00303076,0.01020378,0.93402172,0.90878485,0.32858826
-5.92796398,1.48645704,0.09917397,0.00310755,0.01009027,0.94135292,0.90940864,0.33242484
-5.92196098,1.50373547,0.10463697,0.00318477,0.01007882,0.94962308,0.91186185,0.33660232
-5.91595798,1.52411331,0.11117231,0.00326285,0.01016967,0.95906688,0.91641987,0.34121567
-5.90995498,1.54793569,0.11879073,0.00334210,0.01036327,0.96988693,0.92330649,0.34635307
-5.90395198,1.57548000,0.12749620,0.00342271,0.01066010,0.98224347,0.93268161,0.35209198
-5.89794897,1.60694098,0.13728478,0.00350473,0.01106046,0.99624563,0.94463116,0.35849555
-5.89194597,1.64241826,0.14814322,0.00358804,0.01156422,1.01194491,0.95915935,0.36560952
-5.88594297,1.68190668,0.16004733,0.00367240,0.01217055,1.02933061,0.97618370,0.37345964
-5.87993997,1.72528927,0.17296006,0.00375742,0.01287765,1.04832757,0.99553291,0.38204960
-5.87393697,1.77233331,0.18682957,0.00384261,0.01368244,1.06879589,1.01694772,0.39135955
-5.86793397,1.82268906,0.20158719,0.00392733,0.01458034,1.09053278,1.04008462,0.40134516
-5.86193097,1.87589138,0.21714552,0.00401088,0.01556499,1.11327604,1.06452237,0.41193722
-5.85592796,1.93136408,0.23339677,0.00409246,0.01662816,1.13670928,1.08977109,0.42304180
-5.84992496,1.98842694,0.25021154,0.00417123,0.01775956,1.16046846,1.11528360,0.43454095
-5.84392196,2.04630540,0.26743816,0.00424628,0.01894682,1.18414966,1.14046861,0.44629401
-5.83791896,2.10414286,0.28490278,0.00431670,0.02017560,1.20731793,1.16470561,0.45813952
-5.83191596,2.16101567,0.30241027,0.00438154,0.02142966,1.22951692,1.18736068,0.46989779
-5.82591296,2.21595068,0.31974623,0.00443986,0.02269114,1.25027935,1.20780314,0.48137410
-5.81990995,2.26794524,0.33667990,0.00449074,0.02394092,1.26913801,1.22542225,0.49236262
-5.81390695,2.31598949,0.35296821,0.00453326,0.02515899,1.28563720,1.23964385,0.50265100
-5.80790395,2.35909054,0.36836082,0.00456656,0.02632501,1.29934446,1.24994606,0.51202549
-5.80190095,2.39629811,0.38260601,0.00458983,0.02741884,1.30986220,1.25587399,0.52027669
-5.79589795,2.42673085,0.39545735,0.00460234,0.02842117,1.31683919,1.25705273,0.52720552
-5.78989495,2.44960260,0.40668073,0.00460347,0.02931410,1.31998131,1.25319840,0.53262945
-5.78389195,2.46424762,0.41606172,0.00459270,0.03008177,1.31906138,1.24412681,0.53638860
-5.77788894,2.47014359,0.42341265,0.00456967,0.03071088,1.31392763,1.22975949,0.53835153
-5.77188594,2.46693156,0.42857932,0.00453419,0.03119121,1.30451026,1.21012684,0.53842041
