energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.71043129,0.02221900,0.12524661,0.49480861,0.37346274,0.95187254,0.56976498,0.73584233,0.00000000
-5.99399700,1.82054591,0.02294902,0.13473068,0.52678801,0.39361041,0.97379718,0.61805963,0.77878929,0.00000000
-5.98799400,1.93431882,0.02355663,0.14497473,0.56063547,0.41315371,0.99813272,0.66842159,0.82308955,0.00000000
-5.98199100,2.05134083,0.02403507,0.15598140,0.59633254,0.43196076,1.02534273,0.72059163,0.86860516,0.00000000
-5.97598799,2.17119110,0.02438084,0.16774297,0.63383772,0.44992575,1.05586591,0.77429536,0.91518685,0.00000000
-5.96998499,2.29344334,0.02459381,0.18024003,0.67308428,0.46697228,1.09010363,0.82924876,0.96267557,0.00000000
-5.96398199,2.41767185,0.02467731,0.19344042,0.71397831,0.48305569,1.12840768,0.88516426,1.01090411,0.00000000
-5.95797899,2.54345688,0.02463800,0.20729840,0.75639708,0.49816401,1.17106825,0.94175698,1.05969870,0.00000000
-5.95197599,2.67038859,0.02448561,0.22175421,0.80018780,0.51231763,1.21830226,0.99875085,1.10888017,0.00000000
-5.94597299,2.79806913,0.02423263,0.23673390,0.84516656,0.52556747,1.27024211,1.05588402,1.15826470,0.00000000
-5.93996998,2.92611243,0.02389376,0.25214956,0.89111764,0.53799177,1.32692511,1.11291344,1.20766380,0.00000000
-5.93396698,3.05414147,0.02348542,0.26789993,0.93779308,0.54969155,1.38828374,1.16961814,1.25688354,0.00000000
-5.92796398,3.18178312,0.02302505,0.28387134,0.98491270,0.56078500,1.45413716,1.22580107,1.30572310,0.00000000
-5.92196098,3.30866079,0.02253046,0.29993900,1.03216458,0.57140083,1.52418437,1.28128937,1.35397252,0.00000000
-5.91595798,3.43438525,0.02201918,0.31596872,1.07920616,0.58167118,1.59799939,1.33593318,1.40141007,0.00000000
-5.90995498,3.55854442,0.02150775,0.33181887,1.12566604,0.59172415,1.67502914,1.38960281,1.44779933,0.00000000
-5.90395198,3.68069287,0.02101115,0.34734266,1.17114669,0.60167643,1.75459421,1.44218483,1.49288630,0.00000000
-5.89794897,3.80034190,0.02054224,0.36239069,1.21522808,0.61162635,1.83589324,1.49357708,1.53639703,0.00000000
-5.89194597,3.91695125,0.02011136,0.37681362,1.25747248,0.62164774,1.91801112,1.54368308,1.57803594,0.00000000
-5.88594297,4.02992322,0.01972600,0.39046504,1.29743030,0.63178475,1.99993117,1.59240624,1.61748537,0.00000000
-5.87993997,4.13860002,0.01939062,0.40320431,1.33464714,0.64204817,2.08055150,1.63964420,1.65440656,0.00000000
-5.87393697,4.24226505,0.01910658,0.41489944,1.36867186,0.65241305,2.15870539,1.68528374,1.68844228,0.00000000
-5.86793397,4.34014833,0.01887227,0.42542976,1.39906559,0.66281813,2.23318526,1.72919657,1.71922139,0.00000000
-5.86193097,4.43143634,0.01868325,0.43468844,1.42541147,0.67316684,2.30276981,1.77123629,1.74636513,0.00000000
-5.85592796,4.51528601,0.01853263,0.44258465,1.44732476,0.68332991,2.36625351,1.81123671,1.76949528,0.00000000
-5.84992496,4.59084246,0.01841143,0.44904544,1.46446305,0.69314954,2.42247755,1.84901161,1.78824371,0.00000000
-5.84392196,4.65725977,0.01830911,0.45401703,1.47653618,0.70244480,2.47036121,1.88435594,1.80226318,0.00000000
-5.83791896,4.71372378,0.01821408,0.45746576,1.48331532,0.71101816,2.50893233,1.91704848,1.81123879,0.00000000
-5.83191596,4.75947610,0.01811427,0.45937840,1.48464102,0.71866268,2.53735598,1.94685568,1.81489962,0.00000000
-5.82591296,4.79383780,0.01799768,0.45976200,1.48042958,0.72516970,2.55495986,1.97353653,1.81302995,0.00000000
-5.81990995,4.81623204,0.01785294,0.45864314,1.47067759,0.73033659,2.56125553,1.99684827,1.80547948,0.00000000
-5.81390695,4.82620430,0.01766972,0.45606677,1.45546429,0.73397423,2.55595449,2.01655264,1.79217206,0.00000000
-5.80790395,4.82343941,0.01743926,0.45209457,1.43495157,0.73591397,2.53897840,2.03242243,1.77311233,0.00000000
-5.80190095,4.80777462,0.01715459,0.44680298,1.40938163,0.73601372,2.51046302,2.04424810,1.74839003,0.00000000
-5.79589795,4.77920832,0.01681085,0.44028101,1.37907223,0.73416303,2.47075558,2.05184435,1.71818156,0.00000000
-5.78989495,4.73790412,0.01640542,0.43262778,1.34440983,0.73028690,2.42040575,2.05505638,1.68274885,0.00000000
-5.78389195,4.68419033,0.01593791,0.42395017,1.30584087,0.72434830,2.36015067,2.05376580,1.64243543,0.00000000
-5.77788894,4.61855527,0.01541020,0.41436043,1.26386141,0.71634932,2.29089451,2.04789609,1.59765991,0.00000000
-5.77188594,4.54163859,0.01482623,0.40397394,1.21900589,0.70633098,2.21368358,2.03741752,1.54890717,0.00000000
-5.76588294,4.45421954,0.01419181,0.39290724,1.17183511,0.69437178,2.12967791,2.02235139,1.49671771,0.00000000
-5.75987994,4.35720256,0.01351434,0.38127638,1.12292417,0.68058513,2.04012059,2.00277369,1.44167550,0.00000000
-5.75387694,4.25160104,0.01280250,0.36919550,1.07285077,0.66511574,1.94630587,1.97881788,1.38439498,0.00000000
-5.74787394,4.13851981,0.01206587,0.35677585,1.02218419,0.64813533,1.84954734,1.95067677,1.32550765,0.00000000
-5.74187094,4.01913691,0.01131459,0.34412505,0.97147539,0.62983761,1.75114723,1.91860330,1.26564876,0.00000000
-5.73586793,3.89468506,0.01055896,0.33134668,0.92124843,0.61043301,1.65236781,1.88291010,1.20544458,0.00000000
-5.72986493,3.76643305,0.00980915,0.31854007,0.87199330,0.59014305,1.55440558,1.84396752,1.14550056,0.00000000
-5.72386193,3.63566728,0.00907483,0.30580020,0.82416034,0.56919486,1.45836912,1.80220008,1.08639075,0.00000000
-5.71785893,3.50367341,0.00836492,0.29321771,0.77815602,0.54781572,1.36526063,1.75808113,1.02864859,0.00000000
-5.71185593,3.37171820,0.00768738,0.28087883,0.73434007,0.52622793,1.27596178,1.71212565,0.97275924,0.00000000
-5.70585293,3.24103140,0.00704900,0.26886527,0.69302377,0.50464409,1.19122354,1.66488112,0.91915345,0.00000000
-5.69984992,3.11278772,0.00645530,0.25725387,0.65446906,0.48326284,1.11166010,1.61691672,0.86820295,0.00000000
-5.69384692,2.98808902,0.00591046,0.24611615,0.61888843,0.46226526,1.03774648,1.56881083,0.82021726,0.00000000
-5.68784392,2.86794673,0.00541732,0.23551755,0.58644512,0.44181180,0.96981961,1.52113740,0.77544186,0.00000000
-5.68184092,2.75326496,0.00497736,0.22551653,0.55725375,0.42203997,0.90808236,1.47445141,0.73405750,0.00000000
-5.67583792,2.64482459,0.00459082,0.21616349,0.53138092,0.40306271,0.85261018,1.42927421,0.69618069,0.00000000
-5.66983492,2.54326906,0.00425680,0.20749961,0.50884602,0.38496748,0.80335993,1.38607906,0.66186505,0.00000000
-5.66383192,2.44909237,0.00397334,0.19955566,0.48962204,0.36781610,0.76018043,1.34527790,0.63110372,0.00000000
-5.65782891,2.36263001,0.00373762,0.19235093,0.47363653,0.35164523,0.72282447,1.30720963,0.60383248,0.00000000
-5.65182591,2.28405361,0.00354609,0.18589234,0.46077282,0.33646765,0.69096192,1.27213085,0.57993382,0.00000000
-5.64582291,2.21336986,0.00339464,0.18017384,0.45087161,0.32227410,0.66419368,1.24020948,0.55924166,0.00000000
-5.63981991,2.15042411,0.00327879,0.17517625,0.44373320,0.30903568,0.64206615,1.21152169,0.54154699,0.00000000
-5.63381691,2.09490917,0.00319380,0.17086755,0.43912035,0.29670681,0.62408613,1.18605248,0.52660413,0.00000000
-5.62781391,2.04637916,0.00313484,0.16720361,0.43676211,0.28522852,0.60973572,1.16369999,0.51413773,0.00000000
-5.62181091,2.00426846,0.00309716,0.16412960,0.43635851,0.27453211,0.59848727,1.14428357,0.50385035,0.00000000
-5.61580790,1.96791506,0.00307617,0.16158174,0.43758637,0.26454283,0.58981780,1.12755516,0.49543052,0.00000000
-5.60980490,1.93658782,0.00306755,0.15948964,0.44010589,0.25518372,0.58322291,1.11321381,0.48856115,0.00000000
-5.60380190,1.90951654,0.00306738,0.15777895,0.44356823,0.24637923,0.57822965,1.10092252,0.48292792,0.00000000
-5.59779890,1.88592372,0.00307215,0.15637420,0.44762363,0.23805861,0.57440826,1.09032681,0.47822776,0.00000000
-5.59179590,1.86505676,0.00307888,0.15520186,0.45192993,0.23015892,0.57138221,1.08107414,0.47417673,0.00000000
-5.58579290,1.84621908,0.00308508,0.15419325,0.45616114,0.22262752,0.56883639,1.07283338,0.47051737,0.00000000
