energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.69456761,0.01054843,0.00000000,0.01141559,0.22956441,0.90578142,0.72818218,0.68741208,0.00000000
-5.99399700,1.79487177,0.01121860,0.00000000,0.01223979,0.23929984,0.96682044,0.76720385,0.73534471,0.00000000
-5.98799400,1.89228592,0.01187354,0.00000000,0.01306129,0.24807456,1.02730509,0.80459138,0.78307450,0.00000000
-5.98199100,1.98564295,0.01250509,0.00000000,0.01387081,0.25576345,1.08656389,0.83992806,0.83004201,0.00000000
-5.97598799,2.07384696,0.01310530,0.00000000,0.01465867,0.26226125,1.14392426,0.87285400,0.87568962,0.00000000
-5.96998499,2.15589581,0.01366658,0.00000000,0.01541499,0.26748458,1.19872275,0.90307551,0.91947225,0.00000000
-5.96398199,2.23090220,0.01418181,0.00000000,0.01612974,0.27137319,1.25031594,0.93037291,0.96086871,0.00000000
-5.95797899,2.29811285,0.01464455,0.00000000,0.01679300,0.27389051,1.29809161,0.95460633,0.99939337,0.00000000
-5.95197599,2.35692508,0.01504916,0.00000000,0.01739506,0.27502353,1.34148014,0.97571949,1.03460795,0.00000000
-5.94597299,2.40690050,0.01539091,0.00000000,0.01792668,0.27478189,1.37996595,0.99374110,1.06613289,0.00000000
-5.93996998,2.44777522,0.01566616,0.00000000,0.01837926,0.27319658,1.41309863,1.00878390,1.09365803,0.00000000
-5.93396698,2.47946630,0.01587243,0.00000000,0.01874506,0.27031800,1.44050363,1.02104134,1.11695201,0.00000000
-5.92796398,2.50207420,0.01600848,0.00000000,0.01901738,0.26621375,1.46189202,1.03078184,1.13587022,0.00000000
-5.92196098,2.51588097,0.01607443,0.00000000,0.01919079,0.26096616,1.47706918,1.03834100,1.15036062,0.00000000
-5.91595798,2.52134411,0.01607171,0.00000000,0.01926128,0.25466972,1.48594182,1.04411181,1.16046725,0.00000000
-5.90995498,2.51908618,0.01600314,0.00000000,0.01922640,0.24742851,1.48852324,1.04853323,1.16633111,0.00000000
-5.90395198,2.50988036,0.01587287,0.00000000,0.01908539,0.23935369,1.48493621,1.05207758,1.16818808,0.00000000
-5.89794897,2.49463209,0.01568633,0.00000000,0.01883925,0.23056124,1.47541338,1.05523705,1.16636403,0.00000000
-5.89194597,2.47435744,0.01545013,0.00000000,0.01849074,0.22116989,1.46029489,1.05850997,1.16126687,0.00000000
-5.88594297,2.45015872,0.01517193,0.00000000,0.01804439,0.21129926,1.44002301,1.06238722,1.15337589,0.00000000
-5.87993997,2.42319791,0.01486025,0.00000000,0.01750637,0.20106843,1.41513387,1.06733939,1.14322855,0.00000000
-5.87393697,2.39466904,0.01452433,0.00000000,0.01688442,0.19059461,1.38624622,1.07380516,1.13140518,0.00000000
-5.86793397,2.36577005,0.01417384,0.00000000,0.01618764,0.17999219,1.35404763,1.08218145,1.11851215,0.00000000
-5.86193097,2.33767546,0.01381868,0.00000000,0.01542625,0.16937192,1.31927823,1.09281566,1.10516398,0.00000000
-5.85592796,2.31151052,0.01346869,0.00000000,0.01461139,0.15884038,1.28271277,1.10600050,1.09196518,0.00000000
-5.84992496,2.28832789,0.01313342,0.00000000,0.01375478,0.14849951,1.24514134,1.12197144,1.07949248,0.00000000
-5.84392196,2.26908777,0.01282180,0.00000000,0.01286850,0.13844627,1.20734954,1.14090704,1.06827816,0.00000000
-5.83791896,2.25464187,0.01254196,0.00000000,0.01196464,0.12877245,1.17009888,1.16293209,1.05879507,0.00000000
-5.83191596,2.24572210,0.01230094,0.00000000,0.01105505,0.11956444,1.13410811,1.18812323,1.05144409,0.00000000
-5.82591296,2.24293388,0.01210453,0.00000000,0.01015106,0.11090308,1.10003615,1.21651685,1.04654432,0.00000000
-5.81990995,2.24675440,0.01195706,0.00000000,0.00926330,0.10286356,1.06846752,1.24811868,1.04432659,0.00000000
-5.81390695,2.25753544,0.01186132,0.00000000,0.00840146,0.09551524,1.03990060,1.28291445,1.04493030,0.00000000
-5.80790395,2.27551034,0.01181850,0.00000000,0.00757419,0.08892156,1.01473934,1.32088094,1.04840386,0.00000000
-5.80190095,2.30080453,0.01182814,0.00000000,0.00678896,0.08313981,0.99328864,1.36199658,1.05470848,0.00000000
-5.79589795,2.33344861,0.01188824,0.00000000,0.00605207,0.07822101,0.97575354,1.40625087,1.06372523,0.00000000
-5.78989495,2.37339314,0.01199533,0.00000000,0.00536863,0.07420966,0.96224212,1.45365183,1.07526484,0.00000000
-5.78389195,2.42052408,0.01214464,0.00000000,0.00474262,0.07114344,0.95277184,1.50423096,1.08907993,0.00000000
-5.77788894,2.47467769,0.01233031,0.00000000,0.00417696,0.06905292,0.94727898,1.55804494,1.10487887,0.00000000
-5.77188594,2.53565413,0.01254566,0.00000000,0.00367366,0.06796115,0.94563041,1.61517404,1.12234077,0.00000000
-5.76588294,2.60322872,0.01278345,0.00000000,0.00323395,0.06788318,0.94763715,1.67571684,1.14113085,0.00000000
-5.75987994,2.67716025,0.01303618,0.00000000,0.00285844,0.06882558,0.95306886,1.73978160,1.16091545,0.00000000
-5.75387694,2.75719581,0.01329639,0.00000000,0.00254729,0.07078583,0.96166838,1.80747438,1.18137609,0.00000000
-5.74787394,2.84307202,0.01355696,0.00000000,0.00230036,0.07375174,0.97316567,1.87888459,1.20222184,0.00000000
-5.74187094,2.93451262,0.01381136,0.00000000,0.00211739,0.07770085,0.98729018,1.95406876,1.22319961,0.00000000
-5.73586793,3.03122268,0.01405389,0.00000000,0.00199809,0.08259990,1.00378122,2.03303324,1.24410183,0.00000000
-5.72986493,3.13288010,0.01427987,0.00000000,0.00194227,0.08840435,1.02239564,2.11571693,1.26477127,0.00000000
-5.72386193,3.23912495,0.01448576,0.00000000,0.00194989,0.09505813,1.04291262,2.20197516,1.28510290,0.00000000
-5.71785893,3.34954769,0.01466922,0.00000000,0.00202112,0.10249358,1.06513536,2.29156552,1.30504269,0.00000000
-5.71185593,3.46367707,0.01482914,0.00000000,0.00215632,0.11063162,1.08888979,2.38413680,1.32458356,0.00000000
-5.70585293,3.58096893,0.01496560,0.00000000,0.00235599,0.11938240,1.11402050,2.47922164,1.34375879,0.00000000
-5.69984992,3.70079663,0.01507970,0.00000000,0.00262070,0.12864614,1.14038436,2.57623364,1.36263322,0.00000000
-5.69384692,3.82244417,0.01517349,0.00000000,0.00295099,0.13831458,1.16784239,2.67446927,1.38129281,0.00000000
-5.68784392,3.94510265,0.01524970,0.00000000,0.00334722,0.14827267,1.19625063,2.77311458,1.39983315,0.00000000
-5.68184092,4.06787066,0.01531156,0.00000000,0.00380936,0.15840078,1.22545071,2.87125686,1.41834741,0.00000000
