energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.33913767,1.19547206,0.00000000,0.02622199,0.19993470,1.13031677,1.65331348,0.01269738,1.26211297
-5.99399700,3.42223825,1.22917565,0.00000000,0.02642676,0.20582808,1.16180694,1.69230216,0.01310384,1.29110882
-5.98799400,3.50453143,1.26148111,0.00000000,0.02667852,0.21179376,1.19248972,1.73142414,0.01355883,1.32005216
-5.98199100,3.58477050,1.29231255,0.00000000,0.02698744,0.21772196,1.22223847,1.76980206,0.01405687,1.34861618
-5.97598799,3.66177959,1.32162635,0.00000000,0.02736127,0.22351730,1.25094415,1.80659658,0.01459193,1.37647384
-5.96998499,3.73446776,1.34940632,0.00000000,0.02780482,0.22909853,1.27850986,1.84102252,0.01515751,1.40329924
-5.96398199,3.80184046,1.37565775,0.00000000,0.02831954,0.23439774,1.30484467,1.87236343,0.01574677,1.42876919
-5.95797899,3.86300839,1.40040041,0.00000000,0.02890330,0.23935913,1.32985697,1.89998441,0.01635253,1.45256499
-5.95197599,3.91719363,1.42366117,0.00000000,0.02955026,0.24393749,1.35344807,1.92334272,0.01696741,1.47437478
-5.94597299,3.96373347,1.44546631,0.00000000,0.03025091,0.24809648,1.37550615,1.94199602,0.01758376,1.49389630
-5.93996998,4.00208194,1.46583434,0.00000000,0.03099226,0.25180680,1.39590148,1.95560792,0.01819376,1.51084023
-5.93396698,4.03180955,1.48476946,0.00000000,0.03175820,0.25504438,1.41448295,1.96395088,0.01878939,1.52493413
-5.92796398,4.05260138,1.50225637,0.00000000,0.03253002,0.25778870,1.43107662,1.96690624,0.01936250,1.53592682
-5.92196098,4.06425414,1.51825661,0.00000000,0.03328699,0.26002146,1.44548642,1.96446164,0.01990477,1.54359321
-5.91595798,4.06667240,1.53270680,0.00000000,0.03400713,0.26172546,1.45749719,1.95670582,0.02040784,1.54773942
-5.90995498,4.05986436,1.54551895,0.00000000,0.03466796,0.26288410,1.46688009,1.94382127,0.02086333,1.54820799
-5.90395198,4.04393744,1.55658291,0.00000000,0.03524733,0.26348118,1.47340034,1.92607480,0.02126297,1.54488296
-5.89794897,4.01909384,1.56577074,0.00000000,0.03572425,0.26350127,1.47682676,1.90380663,0.02159875,1.53769464
-5.89194597,3.98562616,1.57294299,0.00000000,0.03607964,0.26293053,1.47694294,1.87741830,0.02186303,1.52662371
-5.88594297,3.94391291,1.57795624,0.00000000,0.03629707,0.26175784,1.47355912,1.84735984,0.02204880,1.51170454
-5.87993997,3.89441396,1.58067167,0.00000000,0.03636331,0.25997628,1.46652438,1.81411672,0.02214982,1.49302727
-5.87393697,3.83766537,1.58096390,0.00000000,0.03626882,0.25758469,1.45573815,1.77819678,0.02216083,1.47073859
-5.86793397,3.77427360,1.57872969,0.00000000,0.03600808,0.25458925,1.44116040,1.74011769,0.02207782,1.44504097
-5.86193097,3.70490854,1.57389573,0.00000000,0.03557972,0.25100497,1.42281976,1.70039506,0.02189811,1.41619018
-5.85592796,3.63029507,1.56642505,0.00000000,0.03498656,0.24685677,1.40081888,1.65953154,0.02162058,1.38449103
-5.84992496,3.55120301,1.55632169,0.00000000,0.03423540,0.24218027,1.37533665,1.61800699,0.02124578,1.35029139
-5.84392196,3.46843510,1.54363303,0.00000000,0.03333678,0.23702195,1.34662689,1.57626981,0.02077593,1.31397454
-5.83791896,3.38281321,1.52844985,0.00000000,0.03230448,0.23143879,1.31501346,1.53472951,0.02021502,1.27595013
-5.83191596,3.29516267,1.51090394,0.00000000,0.03115503,0.22549729,1.28088193,1.49375051,0.01956867,1.23664386
-5.82591296,3.20629529,1.49116334,0.00000000,0.02990710,0.21927189,1.24466810,1.45364716,0.01884409,1.19648642
-5.81990995,3.11699132,1.46942569,0.00000000,0.02858079,0.21284284,1.20684393,1.41467981,0.01804989,1.15590195
-5.81390695,3.02798113,1.44590987,0.00000000,0.02719703,0.20629370,1.16790164,1.37705216,0.01719584,1.11529665
-5.80790395,2.93992725,1.42084656,0.00000000,0.02577680,0.19970846,1.12833667,1.34090965,0.01629266,1.07504780
-5.80190095,2.85340774,1.39446836,0.00000000,0.02434061,0.19316859,1.08863048,1.30633888,0.01535171,1.03549387
-5.79589795,2.76890154,1.36699991,0.00000000,0.02290783,0.18675006,1.04923403,1.27336829,0.01438472,0.99692600
-5.78989495,2.68677687,1.33864879,0.00000000,0.02149627,0.18052055,1.01055284,1.24196991,0.01340345,0.95958137
-5.78389195,2.60728318,1.30959765,0.00000000,0.02012169,0.17453703,0.97293427,1.21206233,0.01241946,0.92363864
-5.77788894,2.53054744,1.27999801,0.00000000,0.01879758,0.16884378,0.93665778,1.18351487,0.01144379,0.88921572
-5.77188594,2.45657508,1.24996618,0.00000000,0.01753493,0.16347102,0.90192850,1.15615312,0.01048677,0.85637006
-5.76588294,2.38525588,1.21958146,0.00000000,0.01634211,0.15843419,0.86887434,1.12976556,0.00955779,0.82510125
-5.75987994,2.31637458,1.18888665,0.00000000,0.01522493,0.15373396,0.83754683,1.10411154,0.00866522,0.79535598
-5.75387694,2.24962623,1.15789101,0.00000000,0.01418673,0.14935687,0.80792545,1.07893025,0.00781625,0.76703511
