energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.19289287,-2.03943416,0.02550195,-0.02394762,0.02365609,-0.02289827,0.33248566,-0.63206976,0.38273002,-0.60031370,0.27220602,-0.44910065,0.11622946,-0.19329712,0.03356320,-0.04739667,0.55823367,-1.04072342
-5.99399700,1.16413264,-1.99858549,0.02476136,-0.02459805,0.02332557,-0.02342284,0.32895662,-0.61370174,0.37182072,-0.59008860,0.27011185,-0.43671438,0.11321156,-0.18710939,0.03237678,-0.04751141,0.54641930,-1.01760540
-5.98799400,1.13066383,-1.95359805,0.02388006,-0.02513350,0.02285291,-0.02394336,0.32418009,-0.59501545,0.35928581,-0.57867632,0.26698985,-0.42422235,0.10982028,-0.18056571,0.03103816,-0.04738878,0.53248358,-0.99254112
-5.98199100,1.09276203,-1.90498553,0.02287441,-0.02554518,0.02224639,-0.02444958,0.31811886,-0.57621198,0.34527672,-0.56617737,0.26279990,-0.41177959,0.10606272,-0.17374649,0.02956728,-0.04703241,0.51650524,-0.96583290
-5.97598799,1.05080472,-1.85323700,0.02176266,-0.02582603,0.02151708,-0.02492977,0.31077009,-0.55746237,0.32997381,-0.55268316,0.25752862,-0.39951482,0.10195914,-0.16672744,0.02798640,-0.04644920,0.49861195,-0.93776633
-5.96998499,1.00525509,-1.79880884,0.02056438,-0.02597085,0.02067843,-0.02537114,0.30216361,-0.53890471,0.31357996,-0.53827607,0.25118867,-0.38752798,0.09754127,-0.15957826,0.02631938,-0.04564905,0.47897407,-0.90860477
-5.96398199,0.95664460,-1.74211923,0.01929991,-0.02597650,0.01974589,-0.02576028,0.29235958,-0.52064267,0.29631373,-0.52303030,0.24381747,-0.37588895,0.09285051,-0.15236172,0.02459086,-0.04464463,0.45779767,-0.87858541
-5.95797899,0.90555497,-1.68354526,0.01798975,-0.02584197,0.01873643,-0.02608366,0.28144549,-0.50274550,0.27840268,-0.50701324,0.23547549,-0.36463749,0.08793600,-0.14513304,0.02282559,-0.04345093,0.43531721,-0.84791685
-5.95197599,0.85260030,-1.62342240,0.01665404,-0.02556841,0.01766809,-0.02632818,0.26953276,-0.48524952,0.26007681,-0.49028735,0.22624398,-0.35378435,0.08285268,-0.13793967,0.02104770,-0.04208498,0.41178808,-0.81677821
-5.94597299,0.79840979,-1.56204630,0.01531206,-0.02515918,0.01655952,-0.02648165,0.25675286,-0.46816075,0.24156261,-0.47291222,0.21622239,-0.34331355,0.07765946,-0.13082139,0.01928010,-0.04056541,0.38747908,-0.78531969
-5.93996998,0.74361176,-1.49967647,0.01398176,-0.02461978,0.01542964,-0.02653331,0.24325324,-0.45145880,0.22307759,-0.45494684,0.20552536,-0.33318553,0.07241747,-0.12381065,0.01754393,-0.03891207,0.36266532,-0.75366445
-5.93396698,0.68881916,-1.43654142,0.01267940,-0.02395772,0.01429718,-0.02647425,0.22919295,-0.43510154,0.20482574,-0.43645167,0.19427948,-0.32334124,0.06718858,-0.11693323,0.01585818,-0.03714567,0.33762150,-0.72191158
-5.92796398,0.63461718,-1.37284494,0.01141931,-0.02318238,0.01318049,-0.02629777,0.21473838,-0.41903050,0.18699382,-0.41749058,0.18261985,-0.31370680,0.06203407,-0.11020901,0.01423930,-0.03528741,0.31261589,-0.69013996
-5.92196098,0.58155303,-1.30877280,0.01021362,-0.02230481,0.01209728,-0.02599966,0.20005889,-0.40317656,0.16974856,-0.39813238,0.17068661,-0.30419861,0.05701365,-0.10365282,0.01270108,-0.03335858,0.28790498,-0.65841265
-5.91595798,0.53012809,-1.24449969,0.00907222,-0.02133748,0.01106455,-0.02557840,0.18532282,-0.38746582,0.15323486,-0.37845198,0.15862148,-0.29472858,0.05218473,-0.09727547,0.01125453,-0.03138030,0.26372914,-0.62678161
-5.90995498,0.48079256,-1.18019559,0.00800271,-0.02029397,0.01009852,-0.02503520,0.17069371,-0.37182522,0.13757492,-0.35853095,0.14656452,-0.28520939,0.04760199,-0.09108462,0.00990790,-0.02937314,0.24030912,-0.59529238
-5.90395198,0.43394250,-1.11603159,0.00701044,-0.01918868,0.00921472,-0.02437401,0.15632700,-0.35618774,0.12286820,-0.33845760,0.13465105,-0.27555942,0.04331727,-0.08508573,0.00866678,-0.02735689,0.21784359,-0.56398855
-5.89794897,0.38991924,-1.05218437,0.00609866,-0.01803650,0.00842811,-0.02360136,0.14236723,-0.34049703,0.10919221,-0.31832650,0.12300906,-0.26570715,0.03937972,-0.07928282,0.00753432,-0.02535028,0.19650765,-0.53291563
-5.89194597,0.34901087,-0.98883952,0.00526865,-0.01685243,0.00775333,-0.02272617,0.12894583,-0.32471111,0.09660397,-0.29823746,0.11175698,-0.25559498,0.03583615,-0.07367919,0.00651150,-0.02337076,0.17645231,-0.50212427
-5.88594297,0.31145565,-0.92619328,0.00451999,-0.01565132,0.00720492,-0.02175944,0.11617960,-0.30880511,0.08514206,-0.27829419,0.10100199,-0.24518212,0.03273171,-0.06827788,0.00559735,-0.02143431,0.15780493,-0.47167262
-5.87993997,0.27744704,-0.86445276,0.00385072,-0.01444748,0.00679764,-0.02071391,0.10416972,-0.29277305,0.07482901,-0.25860246,0.09083886,-0.23444661,0.03011053,-0.06308210,0.00478938,-0.01955528,0.14067040,-0.44162779
-5.87393697,0.24713985,-0.80383477,0.00325771,-0.01325444,0.00654678,-0.01960365,0.09300150,-0.27662849,0.06567411,-0.23926810,0.08134931,-0.22338639,0.02801668,-0.05809543,0.00408384,-0.01774624,0.12513307,-0.41206627
-5.86793397,0.22065734,-0.74456326,0.00273680,-0.01208466,0.00646844,-0.01844361,0.08274468,-0.26040415,0.05767626,-0.22039486,0.07260192,-0.21201931,0.02649492,-0.05332190,0.00347612,-0.01601794,0.11125920,-0.38307354
-5.86193097,0.19809861,-0.68686578,0.00228313,-0.01094932,0.00657982,-0.01724925,0.07345420,-0.24415059,0.05082687,-0.20208228,0.06465248,-0.20038229,0.02559160,-0.04876597,0.00296101,-0.01437924,0.09909985,-0.35474280
-5.85592796,0.17954608,-0.63096906,0.00189136,-0.00985818,0.00689940,-0.01603605,0.06517146,-0.22793414,0.04511271,-0.18442356,0.05754481,-0.18852959,0.02535532,-0.04443237,0.00253305,-0.01283710,0.08869395,-0.32717308
-5.84992496,0.16507243,-0.57709424,0.00155586,-0.00881943,0.00744705,-0.01481919,0.05792585,-0.21183404,0.04051842,-0.16750378,0.05131177,-0.17653044,0.02583739,-0.04032593,0.00218677,-0.01139659,0.08007139,-0.30046674
-5.84392196,0.15474678,-0.52545192,0.00127093,-0.00783966,0.00824403,-0.01361315,0.05173648,-0.19593927,0.03702879,-0.15139832,0.04597663,-0.16446602,0.02709207,-0.03645133,0.00191688,-0.01006100,0.07325599,-0.27472682
-5.83791896,0.14863954,-0.47623746,0.00103092,-0.00692383,0.00931287,-0.01243147,0.04661401,-0.18034499,0.03463058,-0.13617167,0.04155445,-0.15242623,0.02917646,-0.03281286,0.00171849,-0.00883193,0.06826812,-0.25005409
-5.83191596,0.14682578,-0.42962686,0.00083040,-0.00607529,0.01067702,-0.01128648,0.04256239,-0.16514901,0.03331388,-0.12187668,0.03805348,-0.14050614,0.03214989,-0.02941419,0.00158720,-0.00770940,0.06512680,-0.22654440
-5.82591296,0.14938674,-0.38577344,0.00066423,-0.00529591,0.01236049,-0.01018919,0.03958039,-0.15044832,0.03307290,-0.10855425,0.03547650,-0.12880253,0.03607303,-0.02625824,0.00151918,-0.00669206,0.06385115,-0.20428611
