energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,5.46010737,0.03796425,0.49377059,0.38499689,0.07678046,2.56423885,0.94015882,0.70131843
-5.99399700,5.32040567,0.03739791,0.48256872,0.37668497,0.07614696,2.49833759,0.91584300,0.68686011
-5.98799400,5.17901915,0.03677003,0.47240421,0.36797629,0.07549807,2.42939076,0.89070001,0.67291057
-5.98199100,5.03624284,0.03608884,0.46321226,0.35883685,0.07481506,2.35769386,0.86484349,0.65942083
-5.97598799,4.89218300,0.03536234,0.45488384,0.34923690,0.07407627,2.28350362,0.83836735,0.64630339
-5.96998499,4.74679813,0.03459809,0.44727367,0.33915387,0.07325848,2.20704931,0.81134945,0.63344028
-5.96398199,4.59994327,0.03380298,0.44020926,0.32857485,0.07233830,2.12854452,0.78385552,0.62069194
-5.95797899,4.45141509,0.03298309,0.43350027,0.31749846,0.07129353,2.04819864,0.75594333,0.60790623
-5.95197599,4.30099547,0.03214356,0.42694808,0.30593620,0.07010443,1.96622729,0.72766656,0.59492754
-5.94597299,4.14849162,0.03128851,0.42035498,0.29391308,0.06875479,1.88286125,0.69907855,0.58160526
-5.93996998,3.99377131,0.03042105,0.41353274,0.28146773,0.06723279,1.79835334,0.67023550,0.56780167
-5.93396698,3.83679198,0.02954335,0.40631035,0.26865192,0.06553170,1.71298314,0.64119931,0.55339882
-5.92796398,3.67762326,0.02865679,0.39854067,0.25552954,0.06365021,1.62705950,0.61203980,0.53830431
-5.92196098,3.51646263,0.02776214,0.39010582,0.24217523,0.06159265,1.54092084,0.58283647,0.52245595
-5.91595798,3.35364441,0.02685982,0.38092140,0.22867264,0.05936885,1.45493362,0.55367972,0.50582510
-5.90995498,3.18964272,0.02595024,0.37093939,0.21511250,0.05699388,1.36948915,0.52467165,0.48841896
-5.90395198,3.02506896,0.02503407,0.36014980,0.20159063,0.05448757,1.28499927,0.49592653,0.47028163
-5.89794897,2.86066491,0.02411264,0.34858116,0.18820587,0.05187393,1.20189126,0.46757087,0.45149425
-5.89194597,2.69729234,0.02318824,0.33630005,0.17505826,0.04918044,1.12060234,0.43974331,0.43217415
-5.88594297,2.53592005,0.02226447,0.32340958,0.16224723,0.04643736,1.04157428,0.41259430,0.41247329
-5.87993997,2.37760945,0.02134648,0.31004709,0.14987019,0.04367688,0.96524840,0.38628563,0.39257603
-5.87393697,2.22349919,0.02044124,0.29638125,0.13802135,0.04093248,0.89206117,0.36098983,0.37269634
-5.86793397,2.07478983,0.01955767,0.28260853,0.12679089,0.03823822,0.82244075,0.33688953,0.35307464
-5.86193097,1.93272871,0.01870674,0.26894921,0.11626449,0.03562809,0.75680441,0.31417659,0.33397422
-5.85592796,1.79859567,0.01790150,0.25564310,0.10652310,0.03313554,0.69555705,0.29305124,0.31567749
-5.84992496,1.67368952,0.01715698,0.24294491,0.09764311,0.03079297,0.63909063,0.27372102,0.29848195
-5.84392196,1.55931544,0.01649009,0.23111944,0.08969670,0.02863141,0.58778452,0.25639950,0.28269599
-5.83791896,1.45677311,0.01591937,0.22043662,0.08275242,0.02668024,0.54200653,0.24130485,0.26863457
-5.83191596,1.36734553,0.01546472,0.21116635,0.07687592,0.02496696,0.50211452,0.22865811,0.25661472
-5.82591296,1.29228809,0.01514704,0.20357332,0.07213068,0.02351705,0.46845836,0.21868118,0.24695093
-5.81990995,1.23281781,0.01498783,0.19791172,0.06857885,0.02235382,0.44138202,0.21159452,0.23995041
-5.81390695,1.19010243,0.01500875,0.19441989,0.06628195,0.02149837,0.42122547,0.20761449,0.23590824
-5.80790395,1.16524908,0.01523112,0.19331511,0.06530152,0.02096949,0.40832647,0.20695039,0.23510240
-5.80190095,1.15929252,0.01567542,0.19478830,0.06569957,0.02078355,0.40302164,0.20980123,0.23778880
-5.79589795,1.17318276,0.01636082,0.19899901,0.06753888,0.02095448,0.40564709,0.21635218,0.24419632
-5.78989495,1.20777224,0.01730457,0.20607065,0.07088304,0.02149362,0.41653810,0.22677095,0.25452185
-5.78389195,1.26380248,0.01852159,0.21608608,0.07579626,0.02240964,0.43602792,0.24120396,0.26892566
-5.77788894,1.34189063,0.02002391,0.22908375,0.08234292,0.02370844,0.46444553,0.25977269,0.28752699
-5.77188594,1.44251600,0.02182027,0.24505457,0.09058694,0.02539300,0.50211224,0.28256997,0.31040010
-5.76588294,1.56600696,0.02391571,0.26393961,0.10059075,0.02746327,0.54933707,0.30965669,0.33757096
-5.75987994,1.71252851,0.02631124,0.28562883,0.11241417,0.02991609,0.60641089,0.34105880,0.36901459
-5.75387694,1.88207070,0.02900355,0.30996093,0.12611294,0.03274506,0.67359913,0.37676481,0.40465330
-5.74787394,2.07443817,0.03198486,0.33672461,0.14173708,0.03594051,0.75113314,0.41672384,0.44435589
-5.74187094,2.28924101,0.03524284,0.36566101,0.15932894,0.03948945,0.83920005,0.46084427,0.48793775
-5.73586793,2.52588677,0.03876057,0.39646762,0.17892116,0.04337552,0.93793125,0.50899298,0.53516210
-5.72986493,2.78357368,0.04251667,0.42880348,0.20053422,0.04757910,1.04738940,0.56099522,0.58574212
-5.72386193,3.06128496,0.04648550,0.46229555,0.22417394,0.05207729,1.16755415,0.61663495,0.63934402
-5.71785893,3.35778391,0.05063744,0.49654615,0.24982871,0.05684399,1.29830678,0.67565561,0.69559082
-5.71185593,3.67160964,0.05493926,0.53114109,0.27746654,0.06185001,1.43941390,0.73776122,0.75406679
-5.70585293,4.00107333,0.05935454,0.56565833,0.30703199,0.06706317,1.59051083,0.80261757,0.81432216
-5.69984992,4.34425503,0.06384418,0.59967671,0.33844312,0.07244838,1.75108508,0.86985354,0.87587815
-5.69384692,4.69900111,0.06836693,0.63278458,0.37158836,0.07796773,1.92046059,0.93906238,0.93823194
