energy_ev,total_up,As_p_up,As_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.56002924,0.85071502,0.00000000,3.02862987,2.03888669,0.06502246,1.41985885
-5.99399700,4.61457730,0.84057572,0.00000000,3.00109969,2.07548421,0.06720718,1.44818872
-5.98799400,4.66923419,0.83207051,0.00000000,2.98271535,2.11020645,0.06915065,1.47516562
-5.98199100,4.72211915,0.82480900,0.00000000,2.97177437,2.14237913,0.07082523,1.50021974
-5.97598799,4.77127830,0.81837824,0.00000000,2.96639490,2.17132183,0.07220685,1.52277509
-5.96998499,4.81474098,0.81235864,0.00000000,2.96458552,2.19636459,0.07327540,1.54226427
-5.96398199,4.85057801,0.80633973,0.00000000,2.96431591,2.21686563,0.07401519,1.55814345
-5.95797899,4.87696032,0.79993537,0.00000000,2.96358593,2.23222971,0.07441531,1.56990731
-5.95197599,4.89221652,0.79279780,0.00000000,2.96049090,2.24192717,0.07446982,1.57710354
-5.94597299,4.89488816,0.78463029,0.00000000,2.95328095,2.24551313,0.07417805,1.57934668
-5.93996998,4.88378137,0.77519809,0.00000000,2.94041304,2.24264675,0.07354471,1.57633088
-5.93396698,4.85801373,0.76433737,0.00000000,2.92059433,2.23311004,0.07257992,1.56784145
-5.92796398,4.81705544,0.75196219,0.00000000,2.89281626,2.21682579,0.07129923,1.55376484
-5.92196098,4.76076362,0.73806932,0.00000000,2.85637876,2.19387420,0.06972349,1.53409683
-5.91595798,4.68940890,0.72274100,0.00000000,2.81090460,2.16450748,0.06787872,1.50894874
-5.90995498,4.60369354,0.70614553,0.00000000,2.75634400,2.12916201,0.06579580,1.47855141
-5.90395198,4.50476025,0.68853600,0.00000000,2.69296999,2.08846717,0.06351016,1.44325671
-5.89794897,4.39419122,0.67024702,0.00000000,2.62136506,2.04325051,0.06106139,1.40353654
-5.89194597,4.27399693,0.65168964,0.00000000,2.54240004,1.99453836,0.05849274,1.35997917
-5.88594297,4.14659454,0.63334470,0.00000000,2.45720594,1.94355175,0.05585060,1.31328275
-5.87993997,4.01477595,0.61575449,0.00000000,2.36713993,1.89169701,0.05318392,1.26424628
-5.87393697,3.88166572,0.59951307,0.00000000,2.27374643,1.84055092,0.05054356,1.21375781
-5.86793397,3.75066958,0.58525533,0.00000000,2.17871448,1.79184042,0.04798164,1.16278033
-5.86193097,3.62541417,0.57364479,0.00000000,2.08383251,1.74741687,0.04555084,1.11233534
-5.85592796,3.50967910,0.56536053,0.00000000,1.99094169,1.70922529,0.04330370,1.06348461
-5.84992496,3.40732275,0.56108327,0.00000000,1.90188894,1.67926893,0.04129190,1.01731033
