energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.96681641,0.77304893,1.36992015,0.48540407,0.01472675,0.05378532,1.01660837
-5.99399700,2.88783174,0.77271276,1.31833837,0.48008911,0.01445642,0.05311460,0.98421626
-5.98799400,2.82326269,0.77706308,1.27182613,0.47936250,0.01424677,0.05280970,0.95508914
-5.98199100,2.77464390,0.78644704,1.23114914,0.48331249,0.01410593,0.05291803,0.92980961
-5.97598799,2.74324935,0.80111088,1.19699710,0.49193470,0.01403998,0.05347771,0.90892337
-5.96998499,2.73003362,0.82118228,1.16995733,0.50512662,0.01405264,0.05451619,0.89291581
-5.96398199,2.73558197,0.84665577,1.15049159,0.52268442,0.01414512,0.05604906,0.88219040
-5.95797899,2.76007164,0.87738217,1.13891715,0.54430219,0.01431606,0.05807924,0.87705009
-5.95197599,2.80324684,0.91306259,1.13539306,0.56957419,0.01456150,0.06059641,0.87768266
-5.94597299,2.86440880,0.95324771,1.13991225,0.59800008,0.01487505,0.06357689,0.88415067
-5.93996998,2.94242211,0.99734278,1.15229998,0.62899322,0.01524804,0.06698387,0.89638650
-5.93396698,3.03573751,1.04461827,1.17221863,0.66189215,0.01566988,0.07076801,0.91419285
-5.92796398,3.14243071,1.09422631,1.19917871,0.69597501,0.01612842,0.07486850,0.93724847
-5.92196098,3.26025623,1.14522246,1.23255554,0.73047647,0.01661038,0.07921449,0.96511910
-5.91595798,3.38671430,1.19659211,1.27161100,0.76460697,0.01710187,0.08372682,0.99727300
-5.90995498,3.51912845,1.24728087,1.31551932,0.79757353,0.01758891,0.08832012,1.03310042
-5.90395198,3.65473090,1.29622769,1.36339582,0.82860144,0.01805794,0.09290520,1.07193623
-5.89794897,3.79075236,1.34239959,1.41432745,0.85695626,0.01849637,0.09739150,1.11308463
-5.89194597,3.92451280,1.38482666,1.46740376,0.88196505,0.01889303,0.10168977,1.15584504
-5.88594297,4.05350951,1.42263593,1.52174714,0.90303631,0.01923856,0.10571469,1.19953800
-5.87993997,4.17549908,1.45508281,1.57654109,0.91967765,0.01952583,0.10938741,1.24353008
-5.87393697,4.28857000,1.48157872,1.63105544,0.93151058,0.01975009,0.11263791,1.28725685
-5.86793397,4.39120331,1.50171392,1.68466782,0.93828181,0.01990920,0.11540710,1.33024297
-5.86193097,4.48231901,1.51527461,1.73688049,0.93987069,0.02000363,0.11764850,1.37211877
-5.85592796,4.56130691,1.52225356,1.78733230,0.93629244,0.02003639,0.11932953,1.41263287
-5.84992496,4.62804120,1.52285404,1.83580571,0.92769718,0.02001294,0.12043235,1.45166039
-5.84392196,4.68287894,1.51748698,1.88222888,0.91436486,0.01994087,0.12095411,1.48920671
-5.83791896,4.72664330,1.50676151,1.92667332,0.89669636,0.01982962,0.12090676,1.52540703
-5.83191596,4.76059319,1.49146953,1.96934773,0.87520127,0.01969013,0.12031637,1.56052186
-5.82591296,4.78638148,1.47256503,2.01058884,0.85048293,0.01953442,0.11922197,1.59492905
-5.81990995,4.80600439,1.45113909,2.05084999,0.82322145,0.01937523,0.11767405,1.62911298
-5.81390695,4.82174493,1.42839170,2.09068865,0.79415537,0.01922557,0.11573275,1.66365154
-5.80790395,4.83611327,1.40560155,2.13075353,0.76406283,0.01909843,0.11346593,1.69920179
-5.80190095,4.85178690,1.38409480,2.17177219,0.73374291,0.01900646,0.11094702,1.73648480
-5.79589795,4.87155293,1.36521412,2.21453977,0.70399774,0.01896169,0.10825298,1.77627059
-5.78989495,4.89825457,1.35028871,2.25990922,0.67561601,0.01897543,0.10546235,1.81936351
-5.78389195,4.93474317,1.34060628,2.30878316,0.64935817,0.01905811,0.10265339,1.86658856
-5.77788894,4.98383655,1.33738739,2.36210728,0.62594375,0.01921927,0.09990254,1.91877892
-5.77188594,5.04828366,1.34176265,2.42086493,0.60604073,0.01946762,0.09728311,1.97676464
-5.76588294,5.13073510,1.35475294,2.48607216,0.59025711,0.01981106,0.09486428,2.04136246
-5.75987994,5.23371823,1.37725256,2.55877259,0.57913443,0.02025683,0.09271030,2.11336660
-5.75387694,5.35961558,1.41001539,2.64003101,0.57314313,0.02081161,0.09088005,2.19353988
-5.74787394,5.51064454,1.45364360,2.73092496,0.57267932,0.02148165,0.08942669,2.28260508
-5.74187094,5.68883686,1.50857882,2.83253323,0.57806280,0.02227285,0.08839756,2.38123581
-5.73586793,5.89601604,1.57509536,2.94592069,0.58953583,0.02319081,0.08783412,2.49004660
-5.72986493,6.13377140,1.65329547,3.07211878,0.60726257,0.02424085,0.08777188,2.60958179
-5.72386193,6.40342797,1.74310619,3.21210163,0.63132881,0.02542796,0.08824039,2.74030314
